,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2008,Jacob Tamme,TE,22,22,Kentucky,6-3,236,4.58,30.0,18,109.0,6.99,4.27,Indianapolis Colts / 4th / 127th pick / 2008
1,2,2008,Darrell Strong,TE,21,0,Pittsburgh,6-4,268,4.78,25.0,17,110.0,6.86,4.36,
2,3,2008,Craig Stevens,TE,23,5,California,6-3,254,4.59,27.5,27,114.0,7.07,4.31,Tennessee Titans / 3rd / 85th pick / 2008
3,4,2008,Tom Santi,TE,22,2,Virginia,6-3,250,4.8,36.0,14,121.0,7.08,4.27,Indianapolis Colts / 6th / 196th pick / 2008
4,5,2008,Martin Rucker,TE,22,0,Missouri,6-5,251,4.75,,20,,,,Cleveland Browns / 4th / 111th pick / 2008
5,6,2008,Evan Moore,TE,23,5,Stanford,6-6,233,4.74,27.0,16,110.0,7.08,4.43,
6,7,2008,Dustin Keller,TE,23,24,Purdue,6-2,242,4.53,38.0,26,131.0,6.88,4.14,New York Jets / 1st / 30th pick / 2008
7,8,2008,Joey Haynos,TE,23,1,Maryland,6-8,259,4.87,30.5,17,123.0,6.92,4.42,
8,9,2008,Jermichael Finley,TE,20,29,Texas,6-4,243,4.82,27.5,20,117.0,7.15,4.38,Green Bay Packers / 3rd / 91st pick / 2008
9,10,2008,Derek Fine,TE,24,2,Kansas,6-3,251,4.83,29.0,24,115.0,6.8,4.19,Buffalo Bills / 4th / 132nd pick / 2008
10,11,2008,Kellen Davis,TE,22,5,Michigan State,6-6,262,4.59,28.0,22,118.0,7.25,4.38,Chicago Bears / 5th / 158th pick / 2008
11,12,2008,Fred Davis,TE,22,15,USC,6-3,255,4.68,,24,,,,Washington Redskins / 2nd / 48th pick / 2008
12,13,2008,Brad Cottam,TE,23,2,Tennessee,6-7,270,4.63,33.0,24,,,,Kansas City Chiefs / 3rd / 76th pick / 2008
13,14,2008,John Carlson,TE,23,17,Notre Dame,6-5,251,4.88,30.5,20,113.0,7.12,4.28,Seattle Seahawks / 2nd / 38th pick / 2008
14,15,2008,Martellus Bennett,TE,20,41,Texas A&M,6-6,259,4.68,34.0,18,118.0,7.64,4.53,Dallas Cowboys / 2nd / 61st pick / 2008
15,16,2008,Gary Barnidge,TE,22,16,Louisville,6-6,243,4.61,31.0,22,117.0,6.92,4.23,Carolina Panthers / 5th / 141st pick / 2008
