,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2008,Devin Thomas,WR,21,4,Michigan State,6-2,216,4.41,28.0,,126.0,7.15,4.26,Washington Redskins / 2nd / 34th pick / 2008
1,2,2008,Limas Sweed,WR,23,1,Texas,6-4,215,4.48,35.0,,,,,Pittsburgh Steelers / 2nd / 53rd pick / 2008
2,3,2008,Taj Smith,WR,24,0,Syracuse,6-0,187,4.59,35.0,,119.0,7.15,4.5,
3,4,2008,Marcus Smith,WR,23,0,New Mexico,6-1,221,4.51,26.5,20.0,111.0,7.1,4.42,Baltimore Ravens / 4th / 106th pick / 2008
4,5,2008,Jerome Simpson,WR,22,18,Coastal Carolina,6-2,199,4.42,37.5,,136.0,7.08,4.52,Cincinnati Bengals / 2nd / 46th pick / 2008
5,6,2008,Eddie Royal,WR,21,40,Virginia Tech,5-10,184,4.39,36.0,24.0,124.0,7.07,4.34,Denver Broncos / 2nd / 42nd pick / 2008
6,7,2008,Kevin Robinson,WR,23,0,Utah State,5-11,202,4.69,27.5,,115.0,7.31,4.77,Kansas City Chiefs / 6th / 182nd pick / 2008
7,8,2008,Darius Reynaud,WR,23,3,West Virginia,5-9,201,4.48,34.5,20.0,130.0,6.88,4.32,
8,9,2008,Maurice Purify,WR,22,0,Nebraska,6-3,224,4.5,28.5,,117.0,6.95,4.29,
9,10,2008,Jordy Nelson,WR,22,85,Kansas State,6-3,217,4.51,31.0,,123.0,7.03,4.35,Green Bay Packers / 2nd / 36th pick / 2008
10,11,2008,Josh Morgan,WR,22,23,Virginia Tech,6-0,219,4.46,,,,,,San Francisco 49ers / 6th / 174th pick / 2008
11,12,2008,Kenneth Moore,WR,23,1,Wake Forest,5-11,195,4.47,28.0,,120.0,7.09,4.3,Detroit Lions / 5th / 136th pick / 2008
12,13,2008,Mario Manningham,WR,21,25,Michigan,6-0,181,4.59,32.0,16.0,117.0,7.34,4.27,New York Giants / 3rd / 95th pick / 2008
13,14,2008,Malcolm Kelly,WR,21,3,Oklahoma,6-4,224,4.68,,,,,,Washington Redskins / 2nd / 51st pick / 2008
14,15,2008,Jaymar Johnson,WR,23,0,Jackson State,5-11,177,4.5,32.0,14.0,118.0,6.75,4.18,Minnesota Vikings / 6th / 193rd pick / 2008
15,16,2008,Darnell Jenkins,WR,25,0,Miami (FL),5-9,187,4.52,26.5,13.0,115.0,7.33,4.37,
16,17,2008,Dexter Jackson,WR,21,0,Appalachian State,5-9,182,4.33,29.5,,122.0,6.81,4.38,Tampa Bay Buccaneers / 2nd / 58th pick / 2008
17,18,2008,DeSean Jackson,WR,21,91,California,5-10,169,4.35,,,120.0,,,Philadelphia Eagles / 2nd / 49th pick / 2008
18,19,2008,Paul Hubbard,WR,22,0,Wisconsin,6-3,221,4.49,29.5,15.0,126.0,,,Cleveland Browns / 6th / 191st pick / 2008
19,20,2008,Lavelle Hawkins,WR,21,7,California,5-11,187,4.57,,14.0,117.0,,,Tennessee Titans / 4th / 126th pick / 2008
20,21,2008,Justin Harper,WR,23,0,Virginia Tech,6-3,213,4.56,28.5,,120.0,7.03,4.43,Baltimore Ravens / 7th / 215th pick / 2008
21,22,2008,James Hardy,WR,22,1,Indiana,6-5,217,4.45,31.5,18.0,125.0,6.84,4.2,Buffalo Bills / 2nd / 41st pick / 2008
22,23,2008,Pierre Garcon,WR,21,66,Mount Union,6-0,210,4.42,36.5,20.0,125.0,6.9,4.19,Indianapolis Colts / 6th / 205th pick / 2008
23,24,2008,Will Franklin,WR,22,1,Missouri,6-0,214,4.37,34.5,,,,,Kansas City Chiefs / 4th / 105th pick / 2008
24,25,2008,Harry Douglas,WR,23,36,Louisville,5-11,176,4.51,31.0,,120.0,6.57,4.12,Atlanta Falcons / 3rd / 84th pick / 2008
25,26,2008,Early Doucet,WR,22,11,LSU,6-0,209,4.59,,,,,,Arizona Cardinals / 3rd / 81st pick / 2008
26,27,2008,Andre Caldwell,WR,22,13,Florida,6-0,204,4.35,33.0,,124.0,6.75,4.11,Cincinnati Bengals / 3rd / 97th pick / 2008
27,28,2008,Keenan Burton,WR,23,3,Kentucky,6-0,201,4.44,38.5,10.0,125.0,6.77,4.2,St. Louis Rams / 4th / 128th pick / 2008
28,29,2008,Davone Bess,WR,22,30,Hawaii,5-10,194,4.64,31.5,12.0,118.0,6.97,4.27,
29,30,2008,Earl Bennett,WR,20,20,Vanderbilt,5-11,209,4.48,26.0,15.0,110.0,7.15,4.22,Chicago Bears / 3rd / 70th pick / 2008
30,31,2008,Donnie Avery,WR,23,23,Houston,5-11,192,4.43,,16.0,,,,St. Louis Rams / 2nd / 33rd pick / 2008
31,32,2008,Adrian Arrington,WR,22,1,Michigan,6-3,203,4.55,,,,,,New Orleans Saints / 7th / 237th pick / 2008
32,33,2008,Danny Amendola,WR,22,47,Texas Tech,5-10,183,4.58,27.5,13.0,103.0,6.81,4.25,
