,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2011,D.J. Williams,TE,22,1,Arkansas,6-2,245,4.59,33.5,20.0,111.0,7.29,4.51,Green Bay Packers / 5th / 141st pick / 2011
1,2,2011,Julius Thomas,TE,22,22,Portland State,6-5,246,4.64,35.5,16.0,111.0,6.96,4.31,Denver Broncos / 4th / 129th pick / 2011
2,3,2011,Luke Stocker,TE,22,4,Tennessee,6-5,258,4.68,33.0,27.0,115.0,7.03,4.4,Tampa Bay Buccaneers / 4th / 104th pick / 2011
3,4,2011,Lee Smith,TE,23,4,Marshall,6-6,266,4.94,29.0,25.0,108.0,7.13,4.28,New England Patriots / 5th / 159th pick / 2011
4,5,2011,Weslye Saunders,TE,22,0,South Carolina,6-5,270,4.93,33.5,19.0,116.0,,,
5,6,2011,Kyle Rudolph,TE,21,38,Notre Dame,6-6,259,4.83,,,,,,Minnesota Vikings / 2nd / 43rd pick / 2011
6,7,2011,Zack Pianalto,TE,21,0,North Carolina,6-3,256,4.78,32.0,22.0,108.0,6.85,4.41,
7,8,2011,Lance Kendricks,TE,23,18,Wisconsin,6-3,243,4.65,34.5,25.0,122.0,6.94,4.15,St. Louis Rams / 2nd / 47th pick / 2011
8,9,2011,Rob Housler,TE,22,9,Florida Atlantic,6-5,248,4.46,37.0,22.0,117.0,6.9,4.21,Arizona Cardinals / 3rd / 69th pick / 2011
9,10,2011,Virgil Green,TE,22,9,Nevada,6-3,249,4.54,42.5,23.0,130.0,6.9,4.4,Denver Broncos / 7th / 204th pick / 2011
10,11,2011,Cameron Graham,TE,22,0,Louisville,6-3,244,5.0,31.0,18.0,105.0,7.19,4.51,
11,12,2011,Jordan Cameron,TE,22,14,USC,6-5,254,4.53,37.5,23.0,119.0,6.82,4.03,Cleveland Browns / 4th / 102nd pick / 2011
