,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2011,T.J. Yates,QB,23,6,North Carolina,6-3,219,5.06,29.5,,104,6.96,4.12,Houston Texans / 5th / 152nd pick / 2011
1,2,2011,Scott Tolzien,QB,23,3,Wisconsin,6-2,212,4.92,29.5,,116,6.84,4.12,
2,3,2011,Tyrod Taylor,QB,21,43,Virginia Tech,6-1,217,4.47,37.5,,126,6.78,4.09,Baltimore Ravens / 6th / 180th pick / 2011
3,4,2011,Ricky Stanzi,QB,23,0,Iowa,6-4,223,4.87,32.5,,110,6.95,4.43,Kansas City Chiefs / 5th / 135th pick / 2011
4,5,2011,Christian Ponder,QB,23,23,Florida State,6-2,229,4.63,34.0,,116,6.85,4.09,Minnesota Vikings / 1st / 12th pick / 2011
5,6,2011,Cam Newton,QB,21,123,Auburn,6-5,248,4.56,35.0,,126,6.92,4.18,Carolina Panthers / 1st / 1st pick / 2011
6,7,2011,Greg McElroy,QB,22,1,Alabama,6-2,220,4.84,33.0,,107,7.11,4.45,New York Jets / 7th / 208th pick / 2011
7,8,2011,Ryan Mallett,QB,22,4,Arkansas,6-7,253,5.37,24.0,,103,,,New England Patriots / 3rd / 74th pick / 2011
8,9,2011,Jake Locker,QB,22,16,Washington,6-2,231,4.51,35.0,,120,6.77,4.12,Tennessee Titans / 1st / 8th pick / 2011
9,10,2011,Colin Kaepernick,QB,23,49,Nevada,6-5,233,4.53,32.5,,115,6.85,4.18,San Francisco 49ers / 2nd / 36th pick / 2011
10,11,2011,Blaine Gabbert,QB,21,17,Missouri,6-4,234,4.61,33.5,,120,6.84,4.26,Jacksonville Jaguars / 1st / 10th pick / 2011
11,12,2011,Pat Devlin,QB,22,0,Pittsburgh,6-3,225,4.81,33.0,,116,7.08,4.32,
12,13,2011,Andy Dalton,QB,23,98,TCU,6-2,215,4.83,29.5,,106,6.93,4.27,Cincinnati Bengals / 2nd / 35th pick / 2011
