,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2010,Keiland Williams,RB,23,5,LSU,5-11,233,4.52,,,,,,
1,2,2010,Keith Toston,RB,22,2,Oklahoma State,6-0,213,4.66,32.0,22.0,110.0,,4.67,
2,3,2010,Ben Tate,RB,21,15,Auburn,5-11,220,4.34,40.5,26.0,124.0,6.91,4.12,Houston Texans / 2nd / 58th pick / 2010
3,4,2010,James Starks,RB,24,30,Buffalo,6-2,218,4.5,36.0,15.0,119.0,6.89,4.23,Green Bay Packers / 6th / 193rd pick / 2010
4,5,2010,C.J. Spiller,RB,22,37,Clemson,5-11,196,4.37,,18.0,,,,Buffalo Bills / 1st / 9th pick / 2010
5,6,2010,Lonyae Miller,RB,21,0,Fresno State,5-11,221,4.43,36.5,26.0,120.0,7.2,4.54,
6,7,2010,Joe McKnight,RB,21,7,USC,5-11,198,4.4,36.5,18.0,120.0,,,New York Jets / 4th / 112th pick / 2010
7,8,2010,Ryan Mathews,RB,22,48,Fresno State,6-0,218,4.37,36.0,19.0,121.0,7.0,4.33,San Diego Chargers / 1st / 12th pick / 2010
8,9,2010,Javarris James,RB,22,1,Miami (FL),6-0,212,4.58,36.0,21.0,115.0,,,
9,10,2010,Brandon James,RB,22,0,Florida,5-6,176,4.47,,14.0,,,,
10,11,2010,Montario Hardesty,RB,23,4,Tennessee,6-0,225,4.49,41.0,21.0,124.0,6.87,4.14,Cleveland Browns / 2nd / 59th pick / 2010
11,12,2010,Toby Gerhart,RB,22,17,Stanford,6-0,231,4.5,38.0,22.0,118.0,6.94,4.25,Minnesota Vikings / 2nd / 51st pick / 2010
12,13,2010,Jonathan Dwyer,RB,20,8,Georgia Tech,5-11,229,4.64,33.0,15.0,107.0,7.56,4.67,Pittsburgh Steelers / 6th / 188th pick / 2010
13,14,2010,Anthony Dixon,RB,22,8,Mississippi State,6-1,233,4.67,33.0,15.0,121.0,7.09,4.49,San Francisco 49ers / 6th / 173rd pick / 2010
14,15,2010,LeGarrette Blount,RB,23,46,Oregon,6-0,241,4.7,35.0,18.0,117.0,6.85,4.49,
15,16,2010,Jahvid Best,RB,21,13,California,5-10,199,4.34,32.5,18.0,113.0,6.75,4.17,Detroit Lions / 1st / 30th pick / 2010
16,17,2010,Joique Bell,RB,23,26,Wayne State (MI),5-11,220,4.68,36.5,,120.0,6.84,4.17,
