,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2000,Spergon Wynn,QB,21,2,Texas State,6-3,229,4.91,34.0,,108,7.71,4.59,Cleveland Browns / 6th / 183rd pick / 2000
1,2,2000,Chris Redman,QB,22,10,Louisville,6-3,222,5.37,26.5,,98,7.8,4.78,Baltimore Ravens / 3rd / 75th pick / 2000
2,3,2000,Tim Rattay,QB,22,13,Louisiana Tech,6-0,215,4.91,25.5,,100,7.34,4.21,San Francisco 49ers / 7th / 212th pick / 2000
3,4,2000,Chad Pennington,QB,23,62,Marshall,6-3,229,4.81,33.5,,111,7.12,4.16,New York Jets / 1st / 18th pick / 2000
4,5,2000,Tee Martin,QB,21,0,Tennessee,6-2,227,4.58,34.5,,113,,,Pittsburgh Steelers / 5th / 163rd pick / 2000
5,6,2000,Doug Johnson,QB,22,8,Florida,6-2,226,4.95,29.5,,96,,,
6,7,2000,Jarious Jackson,QB,22,0,Notre Dame,6-0,226,4.68,,,109,,,Denver Broncos / 7th / 214th pick / 2000
7,8,2000,Todd Husak,QB,21,0,Stanford,6-3,216,5.2,27.5,,99,7.17,4.41,Washington Redskins / 6th / 202nd pick / 2000
8,9,2000,Joe Hamilton,QB,22,0,Georgia Tech,5-10,192,4.81,,,106,,,Tampa Bay Buccaneers / 7th / 234th pick / 2000
9,10,2000,Marc Bulger,QB,22,64,West Virginia,6-2,208,4.97,,,100,7.46,4.34,New Orleans Saints / 6th / 168th pick / 2000
10,11,2000,Travis Brown,QB,22,1,Northern Arizona,6-3,218,5.01,29.0,,101,7.54,4.87,
11,12,2000,Tom Brady,QB,22,280,Michigan,6-4,211,5.28,24.5,,99,7.2,4.38,New England Patriots / 6th / 199th pick / 2000
