,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2000,Austin Wheatley,TE,22,0,Iowa,6-4,254,4.66,32.5,,121.0,6.97,4.18,New Orleans Saints / 5th / 158th pick / 2000
1,2,2000,James Whalen,TE,22,1,Kentucky,6-2,228,4.78,31.0,,110.0,7.42,4.22,Tampa Bay Buccaneers / 5th / 157th pick / 2000
2,3,2000,Jay Tant,TE,22,0,Northwestern,6-3,255,4.75,,31.0,,,,Arizona Cardinals / 5th / 164th pick / 2000
3,4,2000,Dave Stachelski,TE,23,0,Boise State,6-3,250,4.78,38.0,24.0,115.0,6.84,4.14,New England Patriots / 5th / 141st pick / 2000
4,5,2000,Erron Kinney,TE,22,17,Florida,6-6,272,4.9,,,,,,Tennessee Titans / 3rd / 68th pick / 2000
5,6,2000,John Jones,TE,24,0,Pittsburgh,6-4,248,4.63,38.5,13.0,125.0,7.33,4.43,
6,7,2000,Bubba Franks,TE,22,22,Miami (FL),6-6,265,4.85,,,,,,Green Bay Packers / 1st / 14th pick / 2000
7,8,2000,Zeron Flemister,TE,23,4,Iowa,6-4,249,4.72,37.0,14.0,116.0,6.92,4.16,
8,9,2000,Casey Crawford,TE,22,0,Virginia,6-6,244,4.83,,18.0,,,,
9,10,2000,Anthony Becht,TE,22,14,West Virginia,6-6,270,4.78,33.5,,123.0,6.94,4.08,New York Jets / 1st / 27th pick / 2000
