,Player,Team,Rank,Pos,Bye,Best,Worst,Avg,Std Dev,ADP
159,Jalen Reagor,PHI,148,WR53,9.0,72.0,251.0,149.9,36.2,142.0
160,Kirk Cousins,MIN,149,QB22,7.0,70.0,251.0,149.1,26.5,164.0
161,Justin Jefferson,MIN,150,WR54,7.0,72.0,374.0,153.1,39.8,131.0
162,Jimmy Garoppolo,SF,151,QB23,11.0,77.0,254.0,156.1,26.3,138.0
163,San Francis,DST,152,DST1,11.0,45.0,248.0,138.1,23.3,96.0
164,Curtis Samuel,CAR,153,WR55,13.0,106.0,240.0,157.7,29.6,175.0
165,Nyheim Hines,IND,154,RB55,7.0,81.0,259.0,147.2,34.6,189.0
166,Breshad Perriman,NYJ,155,WR56,11.0,87.0,255.0,158.8,32.4,174.0
167,Brandon Aiyuk,SF,156,WR57,11.0,72.0,282.0,167.2,35.5,212.0
168,Pittsburgh (PIT)P,DST,157,DST2,8.0,48.0,200.0,141.6,22.2,103.0
169,Eric Ebron,PIT,158,TE21,8.0,54.0,337.0,163.1,37.3,166.0
170,Robby Anderson,CAR,159,WR58,13.0,75.0,270.0,160.7,30.8,157.0
171,N'Keal Harry,NE,160,WR59,6.0,64.0,278.0,166.8,32.1,188.0
172,Allen Lazard,GB,161,WR60,5.0,89.0,239.0,164.7,30.1,195.0
173,Philip Rivers,IND,162,QB24,7.0,97.0,284.0,162.3,29.1,150.0
174,DeSean Jackson,PHI,163,WR61,9.0,39.0,329.0,160.7,42.5,165.0
175,Drew Lock,DEN,164,QB25,8.0,88.0,248.0,163.0,28.6,160.0
176,Baltimore (BAL)B,DST,165,DST3,8.0,61.0,194.0,145.2,18.8,104.0
177,Teddy Bridgewater,CAR,166,QB26,13.0,90.0,284.0,168.8,34.2,162.0
178,Buffalo (BUF)B,DST,167,DST4,11.0,52.0,255.0,155.3,24.1,117.0
179,Ian Thomas,CAR,168,TE22,13.0,108.0,350.0,177.5,41.5,191.0
180,Sammy Watkins,KC,169,WR62,10.0,108.0,294.0,171.5,29.4,148.0
181,Harrison Butker,KC,170,K1,10.0,59.0,234.0,164.7,22.9,116.0
182,New Engla,DST,171,DST5,6.0,66.0,256.0,157.0,22.9,134.0
183,Chicago (CHI)C,DST,172,DST6,11.0,79.0,248.0,164.2,25.0,128.0
184,Sam Darnold,NYJ,173,QB27,11.0,93.0,282.0,181.7,36.1,196.0
185,Justin Tucker,BAL,174,K2,8.0,54.0,211.0,165.6,21.2,114.0
186,Justin Jackson,LAC,175,RB56,10.0,86.0,277.0,165.9,44.2,194.0
187,Parris Campbell,IND,176,WR63,7.0,107.0,280.0,178.6,31.6,213.0
188,New Orlea,DST,177,DST7,6.0,49.0,220.0,169.5,25.0,144.0
189,A.J. Dillon,GB,178,RB57,5.0,50.0,301.0,170.3,44.8,184.0
190,Michael Pittm,IND,179,WR64,7.0,63.0,342.0,179.7,34.3,186.0
191,Wil Lutz,NO,180,K3,6.0,66.0,214.0,173.7,21.5,126.0
192,Derek Carr,LV,181,QB28,6.0,89.0,283.0,186.2,43.7,170.0
193,Irv Smi,MIN,182,TE23,7.0,108.0,361.0,184.9,39.0,218.0
195,Greg Zuerlein,DAL,183,K4,10.0,56.0,217.0,178.2,22.2,133.0
196,Carlos Hyde,SEA,184,RB58,6.0,81.0,308.0,179.0,45.9,205.0
197,Kansas Ci,DST,185,DST8,10.0,73.0,293.0,177.0,25.3,146.0
198,Joshua Kelley,LAC,186,RB59,10.0,82.0,313.0,179.9,45.6,246.0
199,Los Angel,DST,187,DST9,9.0,85.0,290.0,182.6,32.3,216.0
200,Minnesota (MIN)M,DST,188,DST10,7.0,120.0,276.0,182.7,30.3,161.0
201,Hunter Renfrow,LV,189,WR65,6.0,86.0,282.0,193.8,31.4,178.0
202,Larry Fitzgerald,ARI,190,WR66,8.0,112.0,261.0,189.2,26.9,169.0
203,Greg Olsen,SEA,191,TE24,6.0,121.0,365.0,195.0,37.9,179.0
204,Robbie Gould,SF,192,K5,11.0,72.0,297.0,194.2,25.5,154.0
205,James Washington,PIT,193,WR67,8.0,102.0,312.0,193.4,32.9,219.0
206,Darrynton Evans,TEN,194,RB60,7.0,105.0,301.0,176.4,40.3,228.0
207,Laviska Shenau,JAC,195,WR68,7.0,93.0,311.0,202.3,39.2,240.0
208,Denver (DEN)D,DST,196,DST11,8.0,96.0,293.0,196.7,27.1,236.0
209,Matt Gay,TB,197,K6,13.0,83.0,264.0,200.3,25.6,220.0
210,Jamaal Williams,GB,198,RB61,5.0,101.0,289.0,179.8,47.4,198.0
211,Randall Cobb,HOU,199,WR69,8.0,109.0,255.0,195.9,26.6,230.0
212,nan n,nan,nan,,,,,,,
213,Matt Prater,DET,200,K7,5.0,86.0,324.0,203.6,27.2,176.0
214,O.J. Howard,TB,201,TE25,13.0,100.0,299.0,205.9,39.5,187.0
215,Philadelphia (PHI)P,DST,202,DST12,9.0,97.0,253.0,197.3,24.1,244.0
216,Alshon Jeffery,PHI,203,WR70,9.0,107.0,305.0,194.9,38.5,163.0
217,Corey Davis,TEN,204,WR71,7.0,123.0,265.0,196.9,25.5,207.0
218,Zane Gonzalez,ARI,205,K8,8.0,77.0,302.0,211.4,32.4,199.0
219,Giovani Bernard,CIN,206,RB62,9.0,119.0,315.0,192.5,36.8,242.0
220,Steven Sims,WAS,207,WR72,8.0,109.0,367.0,207.6,44.5,313.0
221,Jake Elliott,PHI,208,K9,9.0,84.0,258.0,210.2,25.8,256.0
222,Los Angel,DST,209,DST13,10.0,74.0,290.0,191.0,33.5,231.0
223,Ka'imi Fairbairn,HOU,210,K10,8.0,78.0,300.0,213.8,28.7,208.0
224,Tennessee (TEN)T,DST,211,DST14,7.0,107.0,297.0,208.1,26.4,252.0
225,Anthony McFarla,PIT,212,RB63,8.0,119.0,352.0,195.9,42.1,238.0
226,Dede Westbrook,JAC,213,WR73,7.0,97.0,297.0,197.4,29.1,200.0
227,Dwayne Haskins,WAS,214,QB29,8.0,99.0,367.0,227.6,43.3,282.0
228,Seattle (SEA)S,DST,215,DST15,6.0,103.0,294.0,214.5,33.7,254.0
229,Denzel Mims,NYJ,216,WR74,11.0,122.0,300.0,203.4,29.6,201.0
230,Indianapolis (IND)I,DST,217,DST16,7.0,65.0,279.0,213.8,36.3,280.0
231,Cole Beasley,BUF,218,WR75,11.0,137.0,296.0,204.8,25.4,237.0
232,Green B,DST,219,DST17,5.0,111.0,302.0,223.7,28.0,215.0
233,Dan Bailey,MIN,220,K11,7.0,87.0,287.0,226.6,29.3,276.0
234,Michael Badgley,LAC,221,K12,10.0,81.0,291.0,223.3,33.1,193.0
235,Dawson Knox,BUF,222,TE26,11.0,130.0,367.0,218.9,40.1,243.0
236,Tyrod Taylor,LAC,223,QB30,10.0,114.0,337.0,224.2,50.6,253.0
237,Benny Sne,PIT,224,RB64,8.0,120.0,305.0,210.8,38.4,268.0
238,Jace Sternberger,GB,225,TE27,5.0,118.0,325.0,215.6,40.6,261.0
239,Mason Crosby,GB,226,K13,5.0,76.0,289.0,226.3,32.2,217.0
240,Gerald Everett,LAR,227,TE28,9.0,127.0,340.0,227.0,43.4,287.0
242,Younghoe Koo,ATL,228,K14,10.0,130.0,320.0,225.6,35.2,288.0
243,Kyle Rudolph,MIN,229,TE29,7.0,100.0,368.0,223.4,40.9,171.0
244,Dallas (DAL)D,DST,230,DST18,10.0,114.0,293.0,229.5,33.7,273.0
245,John Ross,CIN,231,WR76,9.0,140.0,340.0,216.1,34.6,206.0
246,Tampa B,DST,232,DST19,13.0,64.0,305.0,226.2,37.3,283.0
247,Brandon McManus,DEN,233,K15,8.0,101.0,295.0,235.8,33.8,274.0
248,Jason Myers,SEA,234,K16,6.0,75.0,286.0,235.5,31.8,292.0
249,Cleveland (CLE)C,DST,235,DST20,9.0,135.0,302.0,233.7,33.8,277.0
250,Will Dissly,SEA,236,TE30,6.0,75.0,353.0,226.5,47.9,192.0
251,Malcolm Brown,LAR,237,RB65,9.0,120.0,322.0,214.7,39.8,233.0
252,DeAndre Washington,KC,238,RB66,10.0,115.0,322.0,209.8,48.2,290.0
253,Chris Boswell,PIT,239,K17,8.0,89.0,298.0,242.0,34.6,294.0
