,Player,Team,Rank,Pos,Bye,Best,Worst,Avg,Std Dev,ADP
241,Michael Badgley,LAC,227,K11,10.0,126.0,309.0,229.7,27.5,234.0
242,Tee Higgins,CIN,228,WR79,9.0,151.0,343.0,219.4,34.0,201.0
243,Bryce Love,WAS,229,RB67,8.0,85.0,331.0,227.7,63.8,306.0
244,Green B,DST,230,DST16,5.0,143.0,306.0,234.5,23.9,246.0
245,Kyle Rudolph,MIN,231,TE28,7.0,127.0,336.0,226.3,40.2,209.0
246,Indianapolis (IND)I,DST,232,DST17,7.0,85.0,304.0,226.7,36.0,259.0
247,Will Dissly,SEA,233,TE29,6.0,69.0,291.0,218.0,41.2,249.0
248,Chris Thompson,JAC,234,RB68,7.0,126.0,356.0,234.9,47.7,203.0
249,Mohamed Sanu,NE,235,WR80,6.0,108.0,328.0,224.7,25.9,237.0
250,Mason Crosby,GB,236,K12,5.0,133.0,300.0,235.4,23.3,247.0
252,Gus Edwards,BAL,237,RB69,8.0,148.0,386.0,226.2,45.9,235.0
253,Ito Smith,ATL,238,RB70,10.0,105.0,354.0,235.0,38.5,257.0
254,Tampa B,DST,239,DST18,13.0,111.0,340.0,237.2,42.9,268.0
255,Josh Reynolds,LAR,240,WR81,9.0,154.0,323.0,236.6,32.7,244.0
256,Jalen Richard,LV,241,RB71,6.0,106.0,327.0,243.6,39.7,258.0
257,Jerick McKinnon,SF,242,RB72,11.0,115.0,356.0,235.8,56.7,288.0
258,Dan Bailey,MIN,243,K13,7.0,113.0,289.0,244.7,22.9,184.0
259,Cleveland (CLE)C,DST,244,DST19,9.0,121.0,309.0,245.9,29.3,262.0
260,Dallas (DAL)D,DST,245,DST20,10.0,90.0,312.0,244.9,30.5,252.0
261,Nick Foles,CHI,246,QB31,11.0,95.0,352.0,258.3,47.2,284.0
262,Ryan Fitzpatrick,MIA,247,QB32,11.0,98.0,358.0,255.3,52.9,223.0
263,Gerald Everett,LAR,248,TE30,9.0,135.0,338.0,238.9,36.6,270.0
264,Younghoe Koo,ATL,249,K14,10.0,121.0,323.0,243.6,37.7,274.0
265,Jason Myers,SEA,250,K15,6.0,116.0,292.0,251.4,28.7,269.0
266,New Yo,DST,251,DST21,11.0,155.0,345.0,244.5,34.9,233.0
267,Miles Boykin,BAL,252,WR82,8.0,151.0,323.0,236.3,27.8,276.0
268,Danny Amendola,DET,253,WR83,5.0,168.0,369.0,238.7,27.0,272.0
269,Brandon McManus,DEN,254,K16,8.0,127.0,332.0,248.9,27.2,256.0
270,Royce Freeman,DEN,255,RB73,8.0,98.0,365.0,239.8,57.4,226.0
271,Justice Hill,BAL,256,RB74,8.0,132.0,365.0,231.3,57.0,213.0
272,Chris Conley,JAC,257,WR84,7.0,184.0,302.0,233.7,21.1,265.0
273,Andy Isabella,ARI,258,WR85,8.0,146.0,395.0,236.6,36.6,243.0
274,Tre'Quan Smith,NO,259,WR86,6.0,173.0,335.0,237.6,28.6,254.0
275,Russell Gage,ATL,260,WR87,10.0,181.0,345.0,247.5,37.0,307.0
276,Chris Boswell,PIT,261,K17,8.0,120.0,297.0,258.8,33.3,278.0
277,Rex Burkhead,NE,262,RB75,6.0,101.0,361.0,244.8,36.6,273.0
278,David Njoku,CLE,263,TE31,9.0,105.0,368.0,248.8,45.3,245.0
279,Jimmy Graham,CHI,264,TE32,11.0,162.0,325.0,257.0,25.1,255.0
280,Joey Slye,CAR,265,K18,13.0,135.0,339.0,261.8,33.1,261.0
281,Peyton Barber,WAS,266,RB76,8.0,130.0,365.0,254.9,50.9,286.0
282,Stephen Hauschka,BUF,267,K19,11.0,175.0,300.0,273.8,24.8,277.0
283,Houston (HOU)H,DST,268,DST22,8.0,149.0,312.0,276.3,23.5,280.0
284,Tyler Eifert,JAC,269,TE33,7.0,107.0,342.0,252.3,39.3,
285,Tua Tagovailoa,MIA,270,QB33,11.0,104.0,355.0,279.6,54.2,289.0
286,Darwin Thompson,KC,271,RB77,10.0,166.0,362.0,259.5,39.9,279.0
287,KJ Hamler,DEN,272,WR88,8.0,184.0,373.0,257.9,38.6,264.0
288,Dion Lewis,NYG,273,RB78,11.0,155.0,331.0,267.8,34.5,266.0
289,Jaylen Samuels,PIT,274,RB79,8.0,170.0,380.0,269.7,49.5,263.0
290,Marquez Valdes-Scantling,GB,275,WR89,5.0,108.0,370.0,256.2,26.1,293.0
291,Chase Claypool,PIT,276,WR90,8.0,122.0,372.0,254.6,39.7,242.0
292,Phillip Dorsett,SEA,277,WR91,6.0,203.0,376.0,263.0,30.3,287.0
293,LeSean McCoy,TB,278,RB80,13.0,104.0,358.0,240.1,69.8,308.0
294,Brian Hill,ATL,279,RB81,10.0,130.0,376.0,270.2,42.7,
295,Adam Humphries,TEN,280,WR92,7.0,193.0,348.0,266.8,29.3,303.0
297,Vance McDonald,PIT,281,TE34,8.0,141.0,348.0,278.8,32.0,282.0
298,J.J. Arcega-Whiteside,PHI,282,WR93,9.0,122.0,383.0,275.5,38.6,298.0
299,Demarcus Robinson,KC,283,WR94,10.0,198.0,384.0,273.7,32.8,297.0
300,Josh Lambo,JAC,284,K20,7.0,174.0,309.0,279.3,23.6,290.0
301,Austin Seibert,CLE,285,K21,9.0,166.0,308.0,282.6,21.1,227.0
302,Bryan Edwards,LV,286,WR95,6.0,101.0,395.0,248.3,65.6,187.0
303,Frank Gore,NYJ,287,RB82,11.0,112.0,391.0,276.9,57.1,229.0
304,Lamar Miller,NE,288,RB83,6.0,129.0,380.0,256.2,69.0,260.0
305,Auden Tate,CIN,289,WR96,9.0,173.0,386.0,271.6,35.3,285.0
306,Washington (WAS)W,DST,290,DST23,8.0,184.0,355.0,288.7,31.6,294.0
307,Zach Pascal,IND,291,WR97,7.0,208.0,378.0,271.1,33.0,281.0
308,Jacksonville (JAC)J,DST,292,DST24,7.0,145.0,347.0,288.5,32.3,301.0
309,Mike Boone,MIN,293,RB84,7.0,185.0,381.0,276.3,34.2,305.0
310,Antonio Gandy-Golden,WAS,294,WR98,8.0,129.0,385.0,271.6,45.4,
311,Devonta Freeman,FA,295,RB85,,84.0,376.0,254.4,54.8,230.0
312,Mitch Trubisky,CHI,296,QB34,11.0,113.0,357.0,303.6,40.6,292.0
313,Darrel Williams,KC,297,RB86,10.0,148.0,388.0,289.9,46.4,
314,Atlanta (ATL)A,DST,298,DST25,10.0,183.0,334.0,300.0,25.2,
315,David Moore,SEA,299,WR99,6.0,209.0,393.0,277.8,32.2,299.0
316,Cameron Brate,TB,300,TE35,13.0,223.0,381.0,293.1,30.3,300.0
317,Kendrick Bourne,SF,301,WR100,11.0,101.0,396.0,274.4,48.6,
318,Brett Maher,NYJ,302,K22,11.0,192.0,342.0,293.5,26.3,309.0
319,Daniel Carlson,LV,303,K23,6.0,197.0,332.0,300.9,20.0,
320,Dare Ogunbowale,TB,304,RB87,13.0,177.0,361.0,291.0,37.3,
321,Lynn Bowd,LV,305,RB88,6.0,118.0,370.0,256.6,59.5,216.0
322,Willie Snead,BAL,306,WR101,8.0,222.0,412.0,290.6,34.8,
323,Detroit (DET)D,DST,307,DST26,5.0,148.0,345.0,305.5,23.1,
324,Jakobi Meyers,NE,308,WR102,6.0,216.0,391.0,289.4,26.9,
325,Nelson Agholor,LV,309,WR103,6.0,186.0,398.0,281.9,40.1,291.0
326,Justin Herbert,LAC,310,QB35,10.0,118.0,364.0,305.9,45.5,
327,Carolina (CAR)C,DST,311,DST27,13.0,152.0,352.0,306.5,30.9,
328,Devin Duvernay,BAL,312,WR104,8.0,128.0,411.0,284.6,48.2,220.0
329,Reggie Bonnafon,CAR,313,RB89,13.0,174.0,370.0,304.5,39.4,
330,Dustin Hopkins,WAS,314,K24,8.0,206.0,353.0,308.4,26.6,
331,Van Jefferson,LAR,315,WR105,9.0,141.0,413.0,294.4,35.4,304.0
332,Aldrick Rosas,FA,316,K25,,196.0,353.0,298.2,20.2,
333,Chase McLaughlin,IND,317,K26,7.0,167.0,353.0,292.1,34.0,248.0
334,Lamical Perine,NYJ,318,RB90,11.0,165.0,368.0,289.2,40.4,
335,Patrick Laird,MIA,319,RB91,11.0,195.0,393.0,304.5,35.7,
336,DaeSean Hamilton,DEN,320,WR106,8.0,188.0,417.0,303.6,40.0,
337,Darren Fells,HOU,321,TE36,8.0,122.0,325.0,274.5,37.1,
338,Justin Rohrwasser,NE,322,K27,6.0,122.0,337.0,284.0,36.1,149.0
339,T.J. Yeldon,BUF,323,RB92,11.0,189.0,378.0,315.7,35.0,
340,Jordan Wilkins,IND,324,RB93,7.0,187.0,384.0,305.4,41.7,
341,Jarrett Stidham,NE,325,QB36,6.0,119.0,385.0,312.5,45.3,275.0
342,Keke Coutee,HOU,326,WR107,8.0,147.0,418.0,301.1,37.7,
343,Ted Ginn,CHI,327,WR108,11.0,202.0,423.0,308.3,41.5,
344,Stephen Gostkowski,FA,328,K28,,189.0,336.0,241.0,41.2,283.0
345,Trey Burton,IND,329,TE37,7.0,112.0,388.0,292.1,42.4,302.0
346,Arizona (ARI)A,DST,330,DST28,8.0,150.0,346.0,308.0,26.1,
347,Las Veg,DST,331,DST29,6.0,154.0,355.0,312.6,29.4,
348,Wayne Gallman,NYG,332,RB94,11.0,202.0,387.0,317.8,30.8,
349,Bo Scarbrough,DET,333,RB95,5.0,203.0,380.0,316.9,35.0,
350,Qadree Ollison,ATL,334,RB96,10.0,195.0,392.0,325.8,29.1,
351,Greg Ward,PHI,335,WR109,9.0,169.0,425.0,304.6,49.1,
352,Jacob Hollister,SEA,336,TE38,6.0,232.0,391.0,297.3,41.3,295.0
353,DeeJay Dallas,SEA,337,RB97,6.0,144.0,375.0,304.3,41.7,
355,Jordan Akins,HOU,338,TE39,8.0,246.0,361.0,296.9,28.9,
356,Derrius Guice,FA,339,RB98,,58.0,354.0,173.7,105.2,312.0
357,C.J. Uzomah,CIN,340,TE40,9.0,160.0,357.0,297.0,38.2,
358,Randy Bullock,CIN,341,K29,9.0,125.0,346.0,314.6,20.5,
359,Eno Benjamin,ARI,342,RB99,8.0,146.0,385.0,302.2,52.4,
360,Travis Homer,SEA,343,RB100,6.0,256.0,386.0,326.4,26.3,
361,Antonio Brown,FA,344,WR110,,52.0,424.0,273.5,63.4,199.0
362,Dante Pettis,SF,345,WR111,11.0,81.0,432.0,301.1,47.7,
363,Marcus Mariota,LV,346,QB37,6.0,121.0,387.0,324.1,49.0,
364,Myles Gaskin,MIA,347,RB101,11.0,250.0,385.0,324.8,26.1,
365,Jameis Winston,NO,348,QB38,6.0,122.0,390.0,326.8,42.4,
366,Keelan Cole,JAC,349,WR112,7.0,241.0,431.0,318.4,37.4,
367,Taysom Hill,NO,350,QB39,6.0,125.0,385.0,321.6,49.7,
368,Devin Asiasi,NE,351,TE41,6.0,172.0,365.0,306.0,49.2,
369,Dan Arnold,ARI,352,TE42,8.0,153.0,402.0,290.2,55.5,
370,Jason Witten,LV,353,TE43,6.0,159.0,376.0,314.4,44.3,
371,Cole Kmet,CHI,354,TE44,11.0,191.0,382.0,323.8,32.1,251.0
372,Jeff Wilson,SF,355,RB102,11.0,155.0,379.0,319.5,32.8,
373,Nick Boyle,BAL,356,TE45,8.0,232.0,400.0,307.0,39.5,
374,Josh Gordon,FA,357,WR113,,192.0,310.0,280.6,25.9,
375,Justin Watson,TB,358,WR114,13.0,270.0,380.0,326.3,27.6,
376,Olabisi Johnson,MIN,359,WR115,7.0,195.0,382.0,296.5,47.1,
377,Kalen Ballage,MIA,360,RB103,11.0,125.0,387.0,326.3,37.4,
378,Ryan Griffin,NYJ,361,TE46,11.0,178.0,389.0,326.9,31.1,
379,New Yo,DST,362,DST30,11.0,153.0,355.0,323.0,21.4,
380,Miami (MIA)M,DST,363,DST31,11.0,146.0,347.0,309.1,22.1,
381,Greg Joseph,TEN,364,K30,7.0,149.0,340.0,285.1,38.6,
382,Tyler Johnson,TB,365,WR116,13.0,264.0,379.0,327.7,27.8,
383,Mike Davis,CAR,366,RB104,13.0,189.0,416.0,331.7,41.4,
384,Corey Clement,PHI,367,RB105,9.0,245.0,368.0,325.0,36.3,
385,Cincinnati (CIN)C,DST,368,DST32,9.0,119.0,355.0,318.4,41.8,
386,Andy Dalton,DAL,369,QB40,10.0,123.0,397.0,337.9,40.1,
387,KeeSean Johnson,ARI,370,WR117,8.0,246.0,375.0,334.0,27.3,
388,Demaryius Thomas,FA,371,WR118,,215.0,300.0,242.7,23.2,
389,Tajae Sharpe,MIN,372,WR119,7.0,260.0,366.0,314.0,31.3,
390,Adam Vinatieri,FA,373,K31,,249.0,374.0,315.2,27.3,
391,Kai Forbath,FA,374,K32,,203.0,371.0,311.2,23.8,
392,Trent Taylor,SF,375,WR120,11.0,223.0,435.0,322.0,58.2,
393,Eddy Pineiro,CHI,376,K33,11.0,243.0,368.0,308.4,30.8,
394,Jeremy Sprinkle,WAS,377,TE47,8.0,260.0,421.0,329.6,35.8,
395,Jalen Hurts,PHI,378,QB41,9.0,125.0,387.0,323.2,60.5,
396,Cordarrelle Patterson,CHI,379,WR121,11.0,223.0,383.0,315.9,47.7,
397,Ty Montgomery,NO,380,RB106,6.0,243.0,388.0,336.5,23.9,
398,Paul Richards,FA,381,WR122,,241.0,358.0,284.5,27.9,
399,Sam Sloman,LAR,382,K34,9.0,124.0,369.0,284.6,59.6,
400,Jacoby Brissett,IND,383,QB42,7.0,124.0,396.0,334.2,33.0,
401,Trayveon Williams,CIN,384,RB107,9.0,185.0,386.0,344.5,31.2,
402,Ty Johnson,DET,385,RB108,5.0,255.0,357.0,326.8,19.1,
403,Taylor Gabriel,FA,386,WR123,,206.0,433.0,288.3,64.3,
404,Zay Jones,LV,387,WR124,6.0,183.0,378.0,334.3,29.9,
405,Jakeem Grant,MIA,388,WR125,11.0,261.0,386.0,317.3,35.4,
406,Dontrell Hilliard,CLE,389,RB109,9.0,255.0,374.0,345.3,19.5,
407,Scott Miller,TB,390,WR126,13.0,208.0,372.0,331.8,40.6,
408,Jason Sanders,MIA,391,K35,11.0,251.0,353.0,315.4,23.3,
409,Trey Quinn,WAS,392,WR127,8.0,197.0,379.0,301.9,55.6,
411,Rashard Higgins,CLE,393,WR128,9.0,251.0,377.0,345.3,31.3,
412,Delanie Walker,FA,394,TE48,,260.0,401.0,314.3,39.5,
413,Dexter Williams,GB,395,RB110,5.0,263.0,387.0,340.6,28.6,
414,Isaiah Ford,MIA,396,WR129,11.0,213.0,396.0,317.4,52.5,
415,Kyle Juszczyk,SF,397,RB111,11.0,258.0,358.0,331.3,22.0,
416,Hakeem Butler,ARI,398,WR130,8.0,268.0,373.0,334.0,36.2,
417,Foster Moreau,LV,399,TE49,6.0,294.0,407.0,343.6,26.9,
418,Jake Kumerow,GB,400,WR131,5.0,267.0,378.0,335.3,32.6,
419,Anthony Firkser,TEN,401,TE50,7.0,260.0,430.0,333.0,38.2,
420,Devontae Booker,LV,402,RB112,6.0,190.0,364.0,325.3,33.1,
421,Equanimeous S,GB,403,WR132,5.0,210.0,369.0,318.3,40.5,
422,Quintez Cephus,DET,404,WR133,5.0,220.0,370.0,332.5,25.6,
423,Kerrith Why,PIT,405,RB113,8.0,265.0,364.0,338.5,23.0,
424,Bilal Powell,FA,406,RB114,,293.0,392.0,339.2,24.0,
425,Kaden Smith,NYG,407,TE51,11.0,246.0,419.0,338.9,36.8,
426,Adam Trautman,NO,408,TE52,6.0,241.0,404.0,350.3,24.9,
427,J.D. McKissic,WAS,409,RB115,8.0,178.0,366.0,319.2,35.6,
428,Donovan Peoples-Jones,CLE,410,WR134,9.0,262.0,395.0,357.8,32.8,
429,Logan Thomas,WAS,411,TE53,8.0,298.0,429.0,340.1,36.5,267.0
430,Kahale Warring,HOU,412,TE54,8.0,173.0,379.0,303.2,60.1,
431,Thaddeus Moss,FA,413,TE55,,228.0,426.0,330.6,57.8,
432,Albert Okwuegbunam,DEN,414,TE56,8.0,243.0,422.0,349.1,27.0,
433,Maxx Williams,ARI,415,TE57,8.0,236.0,384.0,348.5,35.2,
434,Chandler Catanzaro,FA,416,K36,,134.0,341.0,291.6,79.3,
435,Ricky Seals-Jones,KC,417,TE58,10.0,305.0,428.0,359.8,27.7,
436,C.J. Anderson,FA,418,RB116,,301.0,386.0,346.2,16.4,
437,Jordan Reed,SF,419,TE59,11.0,266.0,390.0,333.5,31.3,
438,Rodney Anderson,FA,420,RB117,,255.0,366.0,312.2,37.2,
439,Dalton Keene,NE,421,TE60,6.0,250.0,393.0,352.6,22.4,
