,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
0,Tyreek Hill,WR,KAN,0,0,0,0,0,0,0,0,11,12,186,3,0,36.6,47.6,42.1
1,Deebo Samuel,WR,SFO,0,0,0,0,0,1,1,0,8,13,156,2,0,27.700000000000003,35.7,31.700000000000003
2,Sam Darnold,QB,CAR,301,2,2,39,26,6,35,2,0,0,0,0,0,31.54,31.54,31.54
3,D.J. Moore,WR,CAR,0,0,0,0,0,1,6,0,8,12,113,2,0,23.9,31.9,27.9
4,Cordarrelle Patterson,RB,ATL,0,0,0,0,0,6,34,0,5,6,82,3,0,29.6,34.6,32.1
5,Terry McLaurin,WR,WAS,0,0,0,0,0,0,0,0,6,13,123,2,0,24.3,30.3,27.3
6,Patrick Mahomes,QB,KAN,278,5,1,30,24,5,26,0,0,0,0,0,0,31.720000000000002,31.720000000000002,31.720000000000002
7,Austin Ekeler,RB,LAC,0,0,0,0,0,15,117,1,3,5,28,1,0,26.500000000000004,29.500000000000004,28.000000000000004
8,Jalen Hurts,QB,PHI,387,2,0,48,32,8,47,0,0,0,0,0,0,28.18,28.18,28.18
9,Daniel Jones,QB,NYG,402,2,1,40,28,4,27,0,0,0,0,0,0,24.78,24.78,24.78
10,Saquon Barkley,RB,NYG,0,0,0,0,0,13,52,1,5,6,74,1,0,24.6,29.6,27.1
11,Matt Ryan,QB,ATL,283,4,0,42,25,1,17,0,0,0,0,0,0,29.02,29.02,29.02
12,Derrick Henry,RB,TEN,0,0,0,0,0,33,157,1,2,2,20,0,0,23.700000000000003,25.700000000000003,24.700000000000003
13,Taylor Heinicke,QB,WAS,290,3,0,33,23,5,43,0,0,0,0,0,0,27.900000000000002,27.900000000000002,27.900000000000002
14,Dak Prescott,QB,DAL,188,4,0,22,14,4,35,0,0,0,0,0,0,27.02,27.02,27.02
15,C.J. Uzomah,TE,CIN,0,0,0,0,0,0,0,0,5,6,95,2,0,21.5,26.5,24.0
16,David Montgomery,RB,CHI,0,0,0,0,0,23,106,2,0,0,0,0,0,22.6,22.6,22.6
17,Joe Burrow,QB,CIN,348,2,0,32,25,3,4,0,0,0,0,0,0,22.32,22.32,22.32
18,Diontae Johnson,WR,PIT,0,0,0,0,0,0,0,0,9,13,92,1,0,15.200000000000001,24.200000000000003,19.700000000000003
19,Corey Davis,WR,NYJ,0,0,0,0,0,0,0,0,4,7,111,1,0,17.1,21.1,19.1
20,Aaron Rodgers,QB,GNB,248,2,0,36,20,3,2,1,0,0,0,0,0,24.12,24.12,24.12
21,Randall Cobb,WR,GNB,0,0,0,0,0,0,0,0,5,6,69,2,0,18.9,23.9,21.4
22,Tyler Boyd,WR,CIN,0,0,0,0,0,0,0,0,9,11,118,0,0,11.8,20.8,16.3
23,Jonathan Taylor,RB,IND,0,0,0,0,0,16,103,1,3,3,11,0,0,17.400000000000002,20.400000000000002,18.900000000000002
24,Ezekiel Elliott,RB,DAL,0,0,0,0,0,20,143,1,0,1,0,0,0,20.3,20.3,20.3
25,Kyler Murray,QB,ARI,268,2,0,32,24,6,39,0,0,0,0,0,0,22.619999999999997,22.619999999999997,22.619999999999997
26,Russell Wilson,QB,SEA,149,2,0,23,16,4,26,1,0,0,0,0,0,22.560000000000002,22.560000000000002,22.560000000000002
27,Clyde Edwards-Helaire,RB,KAN,0,0,0,0,0,14,102,0,2,3,12,1,0,17.400000000000002,19.400000000000002,18.400000000000002
28,Lamar Jackson,QB,BAL,316,1,0,37,22,7,28,0,0,0,0,0,0,19.44,19.44,19.44
29,DeVonta Smith,WR,PHI,0,0,0,0,0,0,0,0,7,10,122,0,0,12.200000000000001,19.200000000000003,15.700000000000001
30,Darnell Mooney,WR,CHI,0,0,0,0,0,1,10,0,5,7,125,0,0,13.5,18.5,16.0
31,Stefon Diggs,WR,BUF,0,0,0,0,0,0,0,0,7,11,114,0,0,11.4,18.4,14.9
32,Justin Herbert,QB,LAC,222,3,0,38,25,3,4,0,0,0,0,0,0,21.28,21.28,21.28
33,Najee Harris,RB,PIT,0,0,0,0,0,15,62,1,6,7,29,0,0,15.1,21.1,18.1
34,Josh Allen,QB,BUF,248,2,1,30,20,6,41,0,0,0,0,0,0,20.020000000000003,20.020000000000003,20.020000000000003
35,Van Jefferson,WR,LAR,0,0,0,0,0,0,0,0,6,6,90,1,0,15.0,21.0,18.0
36,Chase Edmonds,RB,ARI,0,0,0,0,0,12,120,0,4,5,19,0,0,13.9,17.9,15.9
37,Kenneth Gainwell,RB,PHI,0,0,0,0,0,3,31,1,6,8,58,0,0,14.9,20.9,17.9
38,Dawson Knox,TE,BUF,0,0,0,0,0,0,0,0,5,8,37,2,0,15.7,20.7,18.2
39,James Conner,RB,ARI,0,0,0,0,0,18,50,2,2,2,16,0,0,18.6,20.6,19.6
40,Kenny Golladay,WR,NYG,0,0,0,0,0,0,0,0,6,7,116,0,0,11.600000000000001,17.6,14.600000000000001
41,James Robinson,RB,JAX,0,0,0,0,0,18,78,2,1,2,-2,0,0,19.6,20.6,20.1
42,Justin Jefferson,WR,MIN,0,0,0,0,0,0,0,0,6,7,84,1,0,14.4,20.4,17.4
43,Trey Lance,QB,SFO,157,2,0,18,9,7,41,0,0,0,0,0,0,18.380000000000003,18.380000000000003,18.380000000000003
44,Matthew Stafford,QB,LAR,280,2,1,41,26,6,21,0,0,0,0,0,0,19.300000000000004,19.300000000000004,19.300000000000004
45,Kalif Raymond,WR,DET,0,0,0,0,0,0,0,0,3,6,46,2,0,16.6,19.6,18.1
46,Mo Alie-Cox,TE,IND,0,0,0,0,0,0,0,0,3,5,42,2,0,16.2,19.2,17.7
47,Marquise Brown,WR,BAL,0,0,0,0,0,0,0,0,4,5,91,1,0,15.1,19.1,17.1
48,Jamison Crowder,WR,NYJ,0,0,0,0,0,0,0,0,7,9,61,1,0,12.100000000000001,19.1,15.600000000000001
49,Jared Cook,TE,LAC,0,0,0,0,0,0,0,0,6,7,70,1,0,13.0,19.0,16.0
50,Jared Goff,QB,DET,299,2,0,38,24,3,8,0,0,0,0,0,2,16.76,16.76,16.76
51,Taysom Hill,WR,NOR,9,0,1,3,2,6,28,2,2,2,26,0,0,15.76,17.759999999999998,16.759999999999998
52,Ryan Tannehill,QB,TEN,298,1,0,49,30,3,9,0,0,0,0,0,0,16.82,16.82,16.82
53,Zach Wilson,QB,NYJ,297,2,1,34,21,3,-2,0,0,0,0,0,0,17.680000000000003,17.680000000000003,17.680000000000003
54,Mac Jones,QB,NWE,275,2,1,40,31,1,-1,0,0,0,0,0,0,16.9,16.9,16.9
55,Carson Wentz,QB,IND,228,2,0,32,24,5,8,0,0,0,0,0,0,17.92,17.92,17.92
