,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
0,A.J. Brown,WR,TEN,0,0,0,1,0,0,0,0,10,11,155,1,0,21.5,31.5,26.5
1,Michael Carter,RB,NYJ,0,0,0,0,0,15,77,1,9,14,95,0,0,23.2,32.2,27.7
2,Tom Brady,QB,TAM,375,4,2,40,28,1,2,0,0,0,0,0,1,25.2,25.2,25.2
3,Mike White,QB,NYJ,405,3,2,45,37,5,-1,0,0,0,0,0,0,24.099999999999998,24.099999999999998,24.099999999999998
4,Chris Godwin,WR,TAM,0,0,0,0,0,0,0,0,8,12,140,1,0,20.0,28.0,24.0
5,Michael Pittman Jr.,WR,IND,0,0,0,0,0,0,0,0,10,15,86,2,0,20.6,30.6,25.6
6,Jimmy Garoppolo,QB,SFO,322,0,0,28,17,5,4,2,0,0,0,0,0,25.28,25.28,25.28
7,Josh Allen,QB,BUF,249,2,0,42,29,8,55,1,0,0,0,0,0,29.46,29.46,29.46
8,Justin Fields,QB,CHI,175,1,1,27,19,10,103,1,0,0,0,0,0,25.3,25.3,25.3
9,Amari Cooper,WR,DAL,0,0,0,0,0,0,0,0,8,13,122,1,0,18.200000000000003,26.200000000000003,22.200000000000003
10,Tyler Lockett,WR,SEA,0,0,0,0,0,0,0,0,12,13,142,0,0,14.200000000000001,26.200000000000003,20.200000000000003
11,Cooper Kupp,WR,LAR,0,0,0,0,0,0,0,0,7,9,115,1,0,17.5,24.5,21.0
12,Tyreek Hill,WR,KAN,0,0,0,0,0,0,0,0,12,18,94,1,0,15.4,27.4,21.4
13,Matthew Stafford,QB,LAR,305,3,0,32,21,0,0,0,0,0,0,0,0,24.200000000000003,24.200000000000003,24.200000000000003
14,Deebo Samuel,WR,SFO,0,0,0,0,0,0,0,0,6,9,171,0,0,17.1,23.1,20.1
15,Joe Mixon,RB,CIN,0,0,0,0,0,14,33,1,4,5,58,1,0,21.1,25.1,23.1
16,Austin Ekeler,RB,LAC,0,0,0,0,0,11,64,1,6,10,60,0,0,18.4,24.4,21.4
17,Davis Mills,QB,HOU,310,2,1,38,29,0,0,0,0,0,0,0,0,18.4,18.4,18.4
18,Cole Beasley,WR,BUF,0,0,0,1,0,0,0,0,10,13,110,0,0,11.0,21.0,16.0
19,Aaron Jones,RB,GNB,0,0,0,0,0,15,59,1,7,11,51,0,0,17.0,24.0,20.5
20,Ryan Tannehill,QB,TEN,265,3,2,33,23,2,26,0,0,0,0,0,0,21.200000000000003,21.200000000000003,21.200000000000003
21,Elijah Mitchell,RB,SFO,0,0,0,0,0,18,137,1,0,0,0,0,0,19.700000000000003,19.700000000000003,19.700000000000003
22,Geno Smith,QB,SEA,195,2,0,24,20,2,8,1,0,0,0,0,0,22.6,22.6,22.6
23,Darrell Henderson,RB,LAR,0,0,0,0,0,14,90,1,1,2,3,1,0,21.3,22.3,21.8
24,D.K. Metcalf,WR,SEA,0,0,0,0,0,0,0,0,6,6,43,2,0,16.3,22.3,19.3
25,Cooper Rush,QB,DAL,325,2,1,40,24,1,2,0,0,0,0,0,1,17.2,17.2,17.2
