,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
0,Cooper Kupp,WR,LAR,0,0,0,0,0,0,0,0,10,13,156,2,0,27.6,37.6,32.6
1,Ja'Marr Chase,WR,CIN,0,0,0,0,0,0,0,0,8,10,201,1,0,26.1,34.1,30.1
2,Alvin Kamara,RB,NOR,0,0,0,0,0,20,51,0,10,11,128,1,0,23.900000000000002,33.900000000000006,28.900000000000002
3,Mike Evans,WR,TAM,0,0,0,0,0,0,0,0,6,10,76,3,0,25.6,31.6,28.6
4,Joe Burrow,QB,CIN,416,3,1,38,23,1,0,0,0,0,0,0,0,26.64,26.64,26.64
5,A.J. Brown,WR,TEN,0,0,0,0,0,0,0,0,8,9,133,1,0,19.3,27.3,23.3
6,Matthew Stafford,QB,LAR,334,3,0,41,28,2,-2,0,0,0,0,0,0,25.16,25.16,25.16
7,Tua Tagovailoa,QB,MIA,291,4,2,40,32,4,29,0,0,0,0,0,0,26.54,26.54,26.54
8,D'Andre Swift,RB,DET,0,0,0,0,0,13,48,0,8,10,96,1,0,20.400000000000002,28.400000000000002,24.400000000000002
9,Damien Harris,RB,NWE,0,0,0,0,0,14,106,2,2,2,7,0,0,23.3,25.3,24.3
10,Terry McLaurin,WR,WAS,0,0,0,0,0,0,0,0,7,12,122,1,0,18.200000000000003,25.200000000000003,21.700000000000003
11,Chris Godwin,WR,TAM,0,0,0,0,0,0,0,0,8,11,111,1,0,17.1,25.1,21.1
12,D'Ernest Johnson,RB,CLE,0,0,0,0,0,22,146,1,2,2,22,0,0,22.8,24.8,23.8
13,Kyle Pitts,TE,ATL,0,0,0,0,0,0,0,0,7,8,163,0,0,16.3,23.3,19.8
14,Mac Jones,QB,NWE,307,2,0,36,24,3,19,0,0,0,0,0,0,22.18,22.18,22.18
15,Deebo Samuel,WR,SFO,0,0,0,0,0,0,0,0,7,11,100,1,1,14.0,21.0,17.5
16,Aaron Rodgers,QB,GNB,274,3,0,35,27,2,17,0,0,0,0,0,0,24.66,24.66,24.66
17,Jalen Hurts,QB,PHI,236,2,0,34,18,13,61,0,0,0,0,0,1,21.54,21.54,21.54
18,Tom Brady,QB,TAM,211,4,0,36,20,0,0,0,0,0,0,0,0,24.439999999999998,24.439999999999998,24.439999999999998
19,C.J. Uzomah,TE,CIN,0,0,0,0,0,0,0,0,3,3,91,2,0,21.1,24.1,22.6
20,Michael Pittman Jr.,WR,IND,0,0,0,0,0,0,0,0,4,4,105,1,0,16.5,20.5,18.5
21,Lamar Jackson,QB,BAL,257,1,0,31,15,12,88,0,0,0,0,0,0,23.08,23.08,23.08
22,Derek Carr,QB,LVR,323,2,1,34,31,2,1,0,0,0,0,0,0,19.020000000000003,19.020000000000003,19.020000000000003
23,Kyler Murray,QB,ARI,261,3,1,28,20,6,10,0,0,0,0,0,0,21.439999999999998,21.439999999999998,21.439999999999998
24,Matt Ryan,QB,ATL,336,2,1,40,25,3,0,0,0,0,0,0,1,17.439999999999998,17.439999999999998,17.439999999999998
25,Taylor Heinicke,QB,WAS,268,1,1,37,25,10,95,0,0,0,0,0,1,20.22,20.22,20.22
26,Jonathan Taylor,RB,IND,0,0,0,0,0,18,107,1,3,3,3,0,1,15.000000000000004,18.000000000000004,16.500000000000004
27,Mike Gesicki,TE,MIA,0,0,0,0,0,0,0,0,7,8,85,1,0,14.5,21.5,18.0
28,Khalil Herbert,RB,CHI,0,0,0,0,0,18,100,0,5,5,33,0,0,13.3,18.3,15.8
29,Carson Wentz,QB,IND,150,2,0,26,17,4,23,1,0,0,0,0,1,20.3,20.3,20.3
30,Kalif Raymond,WR,DET,0,0,0,0,0,1,1,0,6,8,115,0,0,11.6,17.6,14.6
31,Ryan Tannehill,QB,TEN,270,1,1,27,21,2,6,1,0,0,0,0,0,19.4,19.4,19.4
32,Brandon Bolden,RB,NWE,0,0,0,0,0,2,0,0,6,7,79,1,0,13.9,19.9,16.9
33,Elijah Mitchell,RB,SFO,0,0,0,0,0,18,107,1,0,0,0,0,0,16.700000000000003,16.700000000000003,16.700000000000003
34,Davante Adams,WR,GNB,0,0,0,0,0,0,0,0,6,7,76,1,0,13.600000000000001,19.6,16.6
35,Marquise Brown,WR,BAL,0,0,0,0,0,0,0,0,5,14,80,1,0,14.0,19.0,16.5
36,DeAndre Hopkins,WR,ARI,0,0,0,0,0,0,0,0,7,9,53,1,0,11.3,18.3,14.8
37,Foster Moreau,TE,LVR,0,0,0,0,0,0,0,0,6,6,60,1,0,12.0,18.0,15.0
38,Myles Gaskin,RB,MIA,0,0,0,0,0,15,67,0,4,4,10,1,0,13.7,17.7,15.7
39,D.K. Metcalf,WR,SEA,0,0,0,0,0,0,0,0,2,5,96,1,0,15.600000000000001,17.6,16.6
40,Daniel Jones,QB,NYG,203,1,0,33,23,8,28,0,1,1,16,0,0,16.520000000000003,17.520000000000003,17.020000000000003
41,Michael Carter,RB,NYJ,0,0,0,0,0,11,37,0,8,9,67,0,1,8.4,16.4,12.4
42,Javonte Williams,RB,DEN,0,0,0,0,0,4,20,0,6,7,32,1,0,11.2,17.2,14.2
43,Leonard Fournette,RB,TAM,0,0,0,0,0,15,81,1,2,4,9,0,0,15.0,17.0,16.0
44,Allen Lazard,WR,GNB,0,0,0,0,0,0,0,0,5,6,60,1,0,12.0,17.0,14.5
45,Kenyan Drake,RB,LVR,0,0,0,0,0,14,69,1,3,3,10,0,0,13.9,16.9,15.4
46,Jameis Winston,QB,NOR,222,1,0,35,19,8,40,0,0,0,0,0,0,16.880000000000003,16.880000000000003,16.880000000000003
47,Russell Gage,WR,ATL,0,0,0,0,0,0,0,0,4,6,67,1,0,12.7,16.7,14.7
48,Derrick Henry,RB,TEN,5,1,0,1,1,29,86,0,2,2,16,0,0,14.4,16.4,15.4
49,Robert Tonyan,TE,GNB,0,0,0,0,0,0,0,0,4,5,63,1,0,12.3,16.3,14.3
50,Zach Ertz,TE,ARI,0,0,0,0,0,1,4,0,3,5,66,1,0,13.0,16.0,14.5
51,Kendrick Bourne,WR,NWE,25,1,0,1,1,0,0,0,4,4,68,0,0,11.8,15.8,13.8
52,Josh Jacobs,RB,LVR,0,0,0,0,0,6,29,1,3,3,39,0,0,12.8,15.8,14.3
53,J.J. Taylor,RB,NWE,0,0,0,0,0,9,21,2,1,1,5,0,0,14.6,15.6,15.1
54,Dante Pettis,WR,NYG,16,0,0,1,1,0,0,0,5,5,39,1,0,10.54,15.54,13.04
55,Jaylen Waddle,WR,MIA,0,0,0,0,0,0,0,0,7,8,83,0,0,8.3,15.3,11.8
56,Kenneth Gainwell,RB,PHI,0,0,0,0,0,5,20,0,4,8,41,1,1,10.100000000000001,14.100000000000001,12.100000000000001
57,Christian Kirk,WR,ARI,0,0,0,0,0,0,0,0,4,5,50,1,0,11.0,15.0,13.0
58,Robert Woods,WR,LAR,0,0,0,0,0,0,0,0,6,6,70,0,0,7.0,13.0,10.0
59,Teddy Bridgewater,QB,DEN,187,2,1,33,23,2,3,0,0,0,0,0,0,13.780000000000001,13.780000000000001,13.780000000000001
60,Corey Davis,WR,NYJ,0,0,0,0,0,0,0,0,4,6,47,1,0,10.7,14.7,12.7
61,Devontae Booker,RB,NYG,0,0,0,0,0,14,51,1,2,3,15,0,0,12.600000000000001,14.600000000000001,13.600000000000001
62,Samaje Perine,RB,CIN,0,0,0,0,0,11,52,1,1,1,23,0,0,13.5,14.5,14.0
63,Van Jefferson,WR,LAR,0,0,0,0,0,0,0,0,4,7,43,1,0,10.3,14.3,12.3
64,Cordarrelle Patterson,RB,ATL,0,0,0,0,0,14,60,1,2,5,1,0,0,12.1,14.1,13.1
65,Travis Kelce,TE,KAN,0,0,0,0,0,0,0,0,7,12,65,0,0,6.5,13.5,10.0
66,Bryan Edwards,WR,LVR,0,0,0,0,0,0,0,0,3,4,43,1,0,10.3,13.3,11.8
67,D.J. Moore,WR,CAR,0,0,0,0,0,0,0,0,6,10,73,0,0,7.300000000000001,13.3,10.3
68,Tee Higgins,WR,CIN,0,0,0,0,0,0,0,0,7,15,62,0,0,6.2,13.2,9.7
69,Nelson Agholor,WR,NWE,0,0,0,0,0,0,0,0,2,5,51,1,0,11.100000000000001,13.100000000000001,12.100000000000001
70,Ty Johnson,RB,NYJ,0,0,0,0,0,5,6,0,6,7,65,0,0,7.1,13.1,10.1
71,Jared Goff,QB,DET,268,1,2,36,22,1,3,0,0,0,0,0,0,11.020000000000001,11.020000000000001,11.020000000000001
72,Devonta Freeman,RB,BAL,0,0,0,0,0,4,14,1,3,3,25,0,0,9.9,12.9,11.4
73,Hunter Renfrow,WR,LVR,0,0,0,0,0,0,0,0,7,8,58,0,0,5.800000000000001,12.8,9.3
74,Tyreek Hill,WR,KAN,0,0,0,0,0,1,18,0,6,9,49,0,0,6.7,12.7,9.7
75,Case Keenum,QB,CLE,199,1,0,33,21,4,7,0,0,0,0,0,0,12.66,12.66,12.66
76,Calvin Ridley,WR,ATL,0,0,0,0,0,0,0,0,4,10,26,1,0,8.6,12.6,10.6
77,James Conner,RB,ARI,0,0,0,0,0,10,64,1,0,0,0,0,0,12.4,12.4,12.4
78,Byron Pringle,WR,KAN,0,0,0,0,0,0,0,0,5,6,73,0,0,7.300000000000001,12.3,9.8
79,Dallas Goedert,TE,PHI,0,0,0,0,0,0,0,0,3,5,70,0,0,7.0,10.0,8.5
80,Joe Mixon,RB,CIN,0,0,0,0,0,12,59,1,0,0,0,0,0,11.9,11.9,11.9
