,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
0,Ja'Marr Chase,WR,CIN,0,0,0,0,0,0,0,0,11,12,266,3,0,44.6,55.6,50.1
1,Amon-Ra St. Brown,WR,DET,0,0,0,0,0,2,23,1,8,11,111,1,0,25.400000000000002,33.400000000000006,29.400000000000002
2,Joe Burrow,QB,CIN,446,4,0,39,30,5,10,0,0,0,0,0,0,34.84,34.84,34.84
3,Rashaad Penny,RB,SEA,0,0,0,0,0,25,170,2,2,3,15,0,0,30.5,32.5,31.5
4,Davante Adams,WR,GNB,0,0,0,0,0,0,0,0,11,14,136,1,0,19.6,30.6,25.1
5,Najee Harris,RB,PIT,0,0,0,0,0,28,188,1,3,3,18,0,0,26.6,29.6,28.1
6,D.K. Metcalf,WR,SEA,0,0,0,0,0,1,6,0,6,9,63,3,0,24.9,30.9,27.9
7,Tom Brady,QB,TAM,410,3,1,50,34,0,0,0,0,0,0,0,0,26.4,26.4,26.4
8,Russell Wilson,QB,SEA,236,4,0,29,20,6,24,0,0,0,0,0,0,27.839999999999996,27.839999999999996,27.839999999999996
9,Braxton Berrios,WR,NYJ,0,0,0,0,0,2,12,1,8,12,65,1,1,17.7,25.7,21.7
10,Devin Singletary,RB,BUF,0,0,0,0,0,23,110,2,0,1,0,0,0,23.0,23.0,23.0
11,Rhamondre Stevenson,RB,NWE,0,0,0,0,0,19,107,2,0,0,0,0,0,22.700000000000003,22.700000000000003,22.700000000000003
12,Darrel Williams,RB,KAN,0,0,0,0,0,14,88,2,3,3,19,0,0,22.7,25.7,24.2
13,Boston Scott,RB,PHI,0,0,0,0,0,14,47,2,4,4,39,0,0,20.6,24.6,22.6
14,Elijah Mitchell,RB,SFO,0,0,0,0,0,21,119,0,2,2,11,1,0,19.0,21.0,20.0
15,Dak Prescott,QB,DAL,226,3,0,38,24,5,20,0,0,0,0,0,1,21.04,21.04,21.04
16,Josh Allen,QB,BUF,120,0,3,26,11,15,81,2,0,0,0,0,0,18.9,18.9,18.9
17,Zay Jones,WR,LVR,0,0,0,0,0,1,-1,0,8,10,120,0,0,11.9,19.9,15.9
18,Kyler Murray,QB,ARI,263,2,0,38,26,9,44,0,0,0,0,0,0,22.92,22.92,22.92
19,AJ Dillon,RB,GNB,0,0,0,0,0,14,63,2,2,3,20,0,0,20.3,22.3,21.3
20,Mac Jones,QB,NWE,227,3,0,30,22,2,12,0,0,0,0,0,0,22.279999999999998,22.279999999999998,22.279999999999998
21,D'Onta Foreman,RB,TEN,0,0,0,0,0,26,132,1,0,0,0,0,0,19.200000000000003,19.200000000000003,19.200000000000003
22,Rob Gronkowski,TE,TAM,0,0,0,0,0,0,0,0,7,10,115,0,0,11.5,18.5,15.0
