,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
0,George Kittle,TE,SFO,0,0,0,0,0,1,5,0,9,12,181,2,0,30.6,39.6,35.1
1,Justin Jefferson,WR,MIN,0,0,0,1,0,1,4,0,11,14,182,1,0,24.599999999999998,35.599999999999994,30.099999999999998
2,Diontae Johnson,WR,PIT,0,0,0,0,0,0,0,0,8,11,105,2,0,22.5,30.5,26.5
3,Chris Godwin,WR,TAM,0,0,0,0,0,1,9,0,15,17,143,0,0,15.200000000000001,30.200000000000003,22.700000000000003
4,Javonte Williams,RB,DEN,0,0,0,0,0,23,102,0,6,9,76,1,0,23.8,29.8,26.8
5,Tom Brady,QB,TAM,368,4,1,51,38,1,-1,0,0,0,0,0,0,28.619999999999997,28.619999999999997,28.619999999999997
6,Tee Higgins,WR,CIN,0,0,0,0,0,0,0,0,9,14,138,1,0,19.8,28.8,24.3
7,Dallas Goedert,TE,PHI,0,0,0,0,0,0,0,0,6,6,105,2,0,22.5,28.5,25.5
8,Kyler Murray,QB,ARI,123,2,0,15,11,10,59,2,0,0,0,0,0,30.82,30.82,30.82
9,Cooper Kupp,WR,LAR,0,0,0,0,0,0,0,0,8,10,129,1,0,18.9,26.9,22.9
10,Justin Herbert,QB,LAC,317,3,1,35,26,1,6,0,0,0,0,0,0,23.28,23.28,23.28
11,Jonathan Taylor,RB,IND,0,0,0,0,0,32,143,2,0,0,0,0,1,24.3,24.3,24.3
12,David Montgomery,RB,CHI,0,0,0,0,0,21,90,1,8,9,51,0,0,20.1,28.1,24.1
13,Taysom Hill,QB,NOR,264,2,4,41,19,11,101,0,0,0,0,0,0,20.660000000000004,20.660000000000004,20.660000000000004
14,Russell Gage,WR,ATL,0,0,0,0,0,0,0,0,11,12,130,0,1,11.0,22.0,16.5
15,Sony Michel,RB,LAR,0,0,0,0,0,24,121,1,3,4,8,0,0,18.900000000000002,21.900000000000002,20.400000000000002
