,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
0,Josh Allen,QB,BUF,358,4,0,43,32,4,9,1,0,0,0,0,0,37.22,37.22,37.22
1,Mike Williams,WR,LAC,0,0,0,0,0,0,0,0,7,9,122,2,0,24.200000000000003,31.200000000000003,27.700000000000003
2,Davante Adams,WR,GNB,0,0,0,0,0,0,0,0,12,18,132,1,0,19.200000000000003,31.200000000000003,25.200000000000003
3,Matthew Stafford,QB,LAR,343,4,0,38,27,2,-2,0,0,0,0,0,0,29.52,29.52,29.52
4,Tom Brady,QB,TAM,432,1,0,55,41,3,14,1,0,0,0,0,0,28.68,28.68,28.68
5,Najee Harris,RB,PIT,0,0,0,0,0,14,40,0,14,19,102,0,0,14.200000000000001,28.200000000000003,21.200000000000003
6,Justin Herbert,QB,LAC,281,4,0,38,26,4,16,0,0,0,0,0,0,28.840000000000003,28.840000000000003,28.840000000000003
7,Cooper Kupp,WR,LAR,0,0,0,0,0,0,0,0,9,12,96,2,0,21.6,30.6,26.1
8,Justin Jefferson,WR,MIN,0,0,0,0,0,0,0,0,9,11,118,1,0,17.8,26.8,22.3
9,Sam Darnold,QB,CAR,304,0,0,34,23,8,11,2,0,0,0,0,0,25.259999999999998,25.259999999999998,25.259999999999998
10,Kirk Cousins,QB,MIN,323,3,0,38,30,1,2,0,0,0,0,0,0,25.12,25.12,25.12
11,Kareem Hunt,RB,CLE,0,0,0,0,0,10,81,1,6,7,74,0,0,21.5,27.5,24.5
12,Ezekiel Elliott,RB,DAL,0,0,0,0,0,17,95,2,3,3,21,0,0,23.6,26.6,25.1
13,Emmanuel Sanders,WR,BUF,0,0,0,0,0,0,0,0,5,6,94,2,0,21.4,26.4,23.9
14,Peyton Barber,RB,LVR,0,0,0,0,0,23,111,1,3,5,31,0,0,20.200000000000003,23.200000000000003,21.700000000000003
15,Alexander Mattison,RB,MIN,0,0,0,0,0,26,112,0,6,8,59,0,0,17.1,23.1,20.1
16,Dalton Schultz,TE,DAL,0,0,0,0,0,0,0,0,6,7,80,2,0,20.0,26.0,23.0
17,D.K. Metcalf,WR,SEA,0,0,0,0,0,0,0,0,6,9,107,1,0,16.700000000000003,22.700000000000003,19.700000000000003
18,Jalen Hurts,QB,PHI,326,2,2,39,25,9,35,0,0,0,0,0,0,20.54,20.54,20.54
19,James Robinson,RB,JAX,0,0,0,0,0,15,88,1,6,6,46,0,0,19.400000000000002,25.400000000000002,22.400000000000002
20,Derek Carr,QB,LVR,386,2,1,43,26,2,-2,0,0,0,0,0,0,21.24,21.24,21.24
21,Patrick Mahomes,QB,KAN,260,3,2,44,27,4,45,0,0,0,0,0,0,22.9,22.9,22.9
22,DeSean Jackson,WR,LAR,0,0,0,0,0,0,0,0,3,5,120,1,0,18.0,21.0,19.5
23,Brandin Cooks,WR,HOU,0,0,0,0,0,1,5,0,9,11,112,0,0,11.700000000000001,20.700000000000003,16.200000000000003
24,D'Andre Swift,RB,DET,0,0,0,1,0,14,47,1,7,7,60,0,0,16.7,23.7,20.2
25,D.J. Moore,WR,CAR,0,0,0,0,0,1,-1,0,8,12,126,0,0,12.500000000000002,20.5,16.5
26,Ryan Tannehill,QB,TEN,197,3,2,27,18,5,56,0,0,0,0,0,0,21.48,21.48,21.48
27,Taylor Heinicke,QB,WAS,212,2,2,24,14,8,21,1,1,1,-2,0,0,20.38,21.38,20.88
28,Austin Ekeler,RB,LAC,0,0,0,0,0,11,55,0,6,6,52,1,0,16.7,22.7,19.7
29,Ja'Marr Chase,WR,CIN,0,0,0,0,0,0,0,0,4,5,65,2,0,18.5,22.5,20.5
30,Kyler Murray,QB,ARI,316,0,1,34,28,7,19,1,0,0,0,0,0,18.54,18.54,18.54
31,Derrick Henry,RB,TEN,0,0,0,0,0,28,113,0,3,3,31,0,0,14.4,17.4,15.9
32,Kendrick Bourne,WR,NWE,0,0,0,0,0,0,0,0,6,8,96,1,0,15.600000000000001,21.6,18.6
33,Mike Evans,WR,TAM,0,0,0,0,0,0,0,0,8,10,106,0,0,10.600000000000001,18.6,14.600000000000001
34,Saquon Barkley,RB,NYG,0,0,0,0,0,16,51,1,6,7,43,0,0,15.400000000000002,21.400000000000002,18.400000000000002
35,Dak Prescott,QB,DAL,238,3,0,26,21,9,6,0,0,0,0,0,1,20.12,20.12,20.12
36,Clyde Edwards-Helaire,RB,KAN,0,0,0,0,0,17,100,0,2,2,9,1,1,14.899999999999999,16.9,15.899999999999999
37,Cole Beasley,WR,BUF,0,0,0,0,0,0,0,0,11,13,98,0,0,9.8,20.8,15.3
38,Alvin Kamara,RB,NOR,0,0,0,0,0,24,89,0,3,4,29,1,0,17.8,20.8,19.3
39,Travis Kelce,TE,KAN,0,0,0,0,0,0,0,0,7,11,104,0,0,10.4,17.4,13.9
40,Christian Kirk,WR,ARI,0,0,0,0,0,0,0,0,7,8,104,0,0,10.4,17.4,13.9
41,Jacoby Brissett,QB,MIA,215,0,0,49,32,7,37,1,0,0,0,0,0,18.3,18.3,18.3
42,Lamar Jackson,QB,BAL,287,1,1,31,16,7,58,0,0,0,0,0,0,19.28,19.28,19.28
43,Giovani Bernard,RB,TAM,0,0,0,0,0,0,0,0,9,10,51,1,0,11.100000000000001,20.1,15.600000000000001
44,Tyler Conklin,TE,MIN,0,0,0,0,0,0,0,0,7,8,70,1,0,13.0,20.0,16.5
45,Chris Godwin,WR,TAM,0,0,0,0,0,1,2,1,6,7,74,0,0,13.600000000000001,19.6,16.6
46,A.J. Green,WR,ARI,0,0,0,0,0,0,0,0,5,6,112,0,0,11.200000000000001,16.200000000000003,13.700000000000001
47,Keenan Allen,WR,LAC,0,0,0,0,0,0,0,0,8,12,50,1,0,11.0,19.0,15.0
48,Aaron Rodgers,QB,GNB,261,2,0,33,23,0,0,0,1,1,-4,0,0,18.04,19.04,18.54
