,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
0,Travis Kelce,TE,KAN,0,0,0,0,0,0,0,0,10,13,191,2,0,31.1,41.1,36.1
1,Mark Andrews,TE,BAL,0,0,0,0,0,0,0,0,10,13,136,2,0,25.6,35.6,30.6
2,Cooper Kupp,WR,LAR,0,0,0,0,0,1,1,0,9,13,136,2,0,25.700000000000003,34.7,30.200000000000003
3,Tyler Huntley,QB,BAL,215,2,0,40,28,13,73,2,0,0,0,0,0,35.900000000000006,35.900000000000006,35.900000000000006
4,Tyreek Hill,WR,KAN,0,0,0,0,0,0,0,0,12,13,148,1,0,20.8,32.8,26.8
5,Patrick Mahomes,QB,KAN,410,3,1,47,31,3,32,0,0,0,0,0,1,27.599999999999998,27.599999999999998,27.599999999999998
6,Brandin Cooks,WR,HOU,0,0,0,0,0,0,0,0,7,10,102,2,0,22.200000000000003,29.200000000000003,25.700000000000003
7,Jalen Hurts,QB,PHI,296,1,1,26,20,8,38,2,0,0,0,0,1,27.64,27.64,27.64
8,Duke Johnson,RB,MIA,0,0,0,0,0,22,107,2,1,1,20,0,0,24.700000000000003,25.700000000000003,25.200000000000003
9,Jonathan Taylor,RB,IND,0,0,0,0,0,29,170,1,0,0,0,0,0,23.0,23.0,23.0
10,Hunter Henry,TE,NWE,0,0,0,0,0,0,0,0,6,8,77,2,0,19.7,25.7,22.7
11,Gabriel Davis,WR,BUF,0,0,0,0,0,0,0,0,5,7,85,2,0,20.5,25.5,23.0
12,Christian Kirk,WR,ARI,0,0,0,0,0,0,0,0,9,12,94,1,0,15.4,24.4,19.9
13,Cam Newton,QB,CAR,156,1,1,38,18,15,71,1,0,0,0,0,0,21.34,21.34,21.34
14,Justin Herbert,QB,LAC,236,2,1,38,22,5,16,1,0,0,0,0,0,23.04,23.04,23.04
15,Aaron Rodgers,QB,GNB,268,3,0,31,23,4,11,0,0,0,0,0,0,23.82,23.82,23.82
16,Dallas Goedert,TE,PHI,0,0,0,0,0,0,0,0,7,9,135,0,0,13.5,20.5,17.0
17,Amon-Ra St. Brown,WR,DET,0,0,0,0,0,1,5,0,8,11,90,1,0,15.5,23.5,19.5
18,Russell Gage,WR,ATL,0,0,0,0,0,0,0,0,8,12,91,1,0,15.1,23.1,19.1
19,Jeff Wilson,RB,SFO,0,0,0,0,0,21,110,1,2,2,9,0,0,17.9,19.9,18.9
