,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
0,Lamar Jackson,QB,BAL,442,4,0,43,37,14,62,0,0,0,0,0,1,37.88,37.88,37.88
1,Justin Herbert,QB,LAC,398,4,0,43,26,4,29,1,0,0,0,0,0,40.82,40.82,40.82
2,Mark Andrews,TE,BAL,0,0,0,0,0,0,0,0,11,13,147,2,0,26.700000000000003,37.7,32.2
3,Tom Brady,QB,TAM,411,5,0,41,30,1,13,0,0,0,0,0,0,37.739999999999995,37.739999999999995,37.739999999999995
4,Davante Adams,WR,GNB,0,0,0,0,0,0,0,0,11,16,206,1,0,26.6,37.6,32.1
5,Josh Allen,QB,BUF,315,3,0,26,15,11,59,1,0,0,0,0,0,36.5,36.5,36.5
6,Mike Williams,WR,LAC,0,0,0,0,0,0,0,0,8,16,165,2,0,28.5,36.5,32.5
7,Marquise Brown,WR,BAL,0,0,0,0,0,0,0,0,9,10,125,2,0,24.5,33.5,29.0
8,Jonathan Taylor,RB,IND,0,0,0,0,0,15,53,1,3,4,116,1,0,28.900000000000002,31.900000000000002,30.400000000000002
9,Antonio Brown,WR,TAM,0,0,0,0,0,0,0,0,7,8,124,2,0,24.4,31.4,27.9
10,Derrick Henry,RB,TEN,0,0,0,0,0,29,130,3,0,0,0,0,0,31.0,31.0,31.0
11,Austin Ekeler,RB,LAC,0,0,0,0,0,17,66,2,5,5,53,1,1,27.900000000000002,32.900000000000006,30.400000000000002
12,Kadarius Toney,WR,NYG,0,0,0,1,0,1,7,0,10,13,189,0,0,19.6,29.6,24.6
13,Mike Evans,WR,TAM,0,0,0,0,0,0,0,0,6,8,113,2,0,23.3,29.3,26.3
14,Myles Gaskin,RB,MIA,0,0,0,0,0,5,25,0,10,10,74,2,0,21.9,31.9,26.9
15,Ja'Marr Chase,WR,CIN,0,0,0,0,0,0,0,0,6,10,159,1,0,21.9,27.9,24.9
