,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
0,James Conner,RB,ARI,0,0,0,0,0,21,96,2,5,5,77,1,0,35.3,40.3,37.8
1,Jonathan Taylor,RB,IND,0,0,0,0,0,19,172,2,2,2,28,0,0,32.0,34.0,33.0
2,Lamar Jackson,QB,BAL,266,3,2,41,27,21,120,0,0,0,0,0,0,30.64,30.64,30.64
3,Justin Herbert,QB,LAC,356,2,0,38,32,5,14,1,0,0,0,0,0,29.64,29.64,29.64
4,Nick Chubb,RB,CLE,0,0,0,0,0,14,137,2,2,2,26,0,0,28.300000000000004,30.300000000000004,29.300000000000004
5,Matt Ryan,QB,ATL,343,2,0,30,23,5,8,1,0,0,0,0,0,28.52,28.52,28.52
6,Josh Johnson,QB,NYJ,317,3,1,41,27,4,18,0,0,0,0,0,0,24.48,24.48,24.48
7,Joe Mixon,RB,CIN,0,0,0,0,0,13,64,2,5,5,46,0,0,23.0,28.0,25.5
8,Elijah Moore,WR,NYJ,0,0,0,0,0,0,0,0,7,8,84,2,0,20.4,27.4,23.9
9,DeVonta Smith,WR,PHI,0,0,0,0,0,0,0,0,5,6,116,1,0,17.6,22.6,20.1
10,Keenan Allen,WR,LAC,0,0,0,0,0,0,0,0,12,13,104,0,0,10.4,22.4,16.4
11,Carson Wentz,QB,IND,272,3,0,30,22,4,13,0,0,0,0,0,0,24.180000000000003,24.180000000000003,24.180000000000003
12,George Kittle,TE,SFO,0,0,0,0,0,0,0,0,6,8,101,1,1,14.100000000000001,20.1,17.1
13,Marquise Brown,WR,BAL,0,0,0,0,0,0,0,0,9,12,116,0,0,11.600000000000001,20.6,16.1
14,Jimmy Garoppolo,QB,SFO,326,2,1,40,28,1,3,0,0,0,0,0,0,19.34,19.34,19.34
15,Cordarrelle Patterson,RB,ATL,0,0,0,0,0,9,10,0,6,6,126,0,0,13.600000000000001,19.6,16.6
16,Teddy Bridgewater,QB,DEN,249,1,0,28,19,3,-1,1,0,0,0,0,0,19.86,19.86,19.86
17,Kirk Cousins,QB,MIN,187,2,0,28,17,1,1,1,0,0,0,0,0,21.58,21.58,21.58
18,Pat Freiermuth,TE,PIT,0,0,0,0,0,0,0,0,5,6,43,2,0,16.3,21.3,18.8
19,Nyheim Hines,RB,IND,0,0,0,0,0,6,74,1,4,6,34,0,0,16.8,20.8,18.8
20,Olamide Zaccheaus,WR,ATL,0,0,0,0,0,0,0,0,3,3,58,2,0,17.8,20.8,19.3
21,Darnell Mooney,WR,CHI,0,0,0,0,0,1,15,1,3,6,41,1,0,17.6,20.6,19.1
22,Cooper Kupp,WR,LAR,0,0,0,0,0,0,0,0,11,13,95,0,0,9.5,20.5,15.0
23,Alvin Kamara,RB,NOR,0,0,0,0,0,13,50,1,4,7,54,0,0,16.4,20.4,18.4
24,Malik Turner,WR,DAL,0,0,0,0,0,0,0,0,5,7,33,2,0,15.3,20.3,17.8
25,Dak Prescott,QB,DAL,232,2,1,39,19,2,16,0,0,0,0,0,0,16.880000000000003,16.880000000000003,16.880000000000003
26,Brandon Aiyuk,WR,SFO,0,0,0,0,0,1,-2,0,6,8,89,1,1,12.700000000000001,18.700000000000003,15.700000000000001
27,Justin Fields,QB,CHI,291,1,1,29,17,8,45,0,0,0,0,0,0,18.14,18.14,18.14
28,Tim Patrick,WR,DEN,0,0,0,0,0,0,0,0,4,5,85,1,0,14.5,18.5,16.5
29,Dalvin Cook,RB,MIN,0,0,0,0,0,17,110,0,3,3,12,0,0,12.2,15.2,13.7
30,Hunter Renfrow,WR,LVR,0,0,0,0,0,0,0,0,7,9,49,1,0,10.9,17.9,14.4
31,Travis Kelce,TE,KAN,0,0,0,0,0,0,0,0,5,8,68,1,0,12.8,17.8,15.3
32,Melvin Gordon,RB,DEN,0,0,0,0,0,21,80,1,2,2,15,0,0,15.5,17.5,16.5
33,Michael Pittman Jr.,WR,IND,0,0,0,0,0,0,0,0,5,6,64,1,0,12.4,17.4,14.9
34,Robert Woods,WR,LAR,0,0,0,0,0,1,6,0,7,10,98,0,0,10.4,17.4,13.9
35,Justin Jefferson,WR,MIN,0,0,0,0,0,1,11,0,3,5,69,1,0,14.0,17.0,15.5
36,Trevor Siemian,QB,NOR,249,2,0,41,25,0,0,0,0,0,0,0,1,15.96,15.96,15.96
37,Najee Harris,RB,PIT,0,0,0,0,0,22,62,1,3,3,16,0,0,13.799999999999999,16.799999999999997,15.299999999999999
38,Myles Gaskin,RB,MIA,0,0,0,0,0,20,34,1,6,6,23,0,1,9.700000000000001,15.700000000000001,12.700000000000001
39,Jalen Hurts,QB,PHI,162,1,0,17,11,10,62,0,0,0,0,0,0,16.68,16.68,16.68
40,Baker Mayfield,QB,CLE,218,2,0,21,14,0,0,0,0,0,0,0,0,16.72,16.72,16.72
41,Donovan Peoples-Jones,WR,CLE,0,0,0,0,0,0,0,0,2,3,86,1,0,14.6,16.6,15.6
42,Christian Kirk,WR,ARI,33,0,0,1,1,0,0,0,6,6,91,0,0,10.42,16.42,13.42
43,Devonta Freeman,RB,BAL,0,0,0,0,0,13,79,0,2,3,4,1,0,14.3,16.3,15.3
44,Colt McCoy,QB,ARI,249,1,0,26,22,7,23,0,0,0,0,0,0,16.26,16.26,16.26
45,Jaylen Waddle,WR,MIA,0,0,0,0,0,0,0,0,8,10,83,0,0,8.3,16.3,12.3
46,Ben Roethlisberger,QB,PIT,205,2,0,30,21,2,0,0,0,0,0,0,0,16.2,16.2,16.2
47,Darren Waller,TE,LVR,0,0,0,0,0,0,0,0,7,11,92,0,0,9.200000000000001,16.200000000000003,12.700000000000001
48,Kenyan Drake,RB,LVR,0,0,0,0,0,4,30,0,6,8,70,0,0,10.0,16.0,13.0
49,Devontae Booker,RB,NYG,0,0,0,0,0,21,99,0,3,3,23,0,0,12.200000000000001,15.200000000000001,13.700000000000001
50,Matthew Stafford,QB,LAR,294,1,2,48,31,2,13,0,0,0,0,0,0,13.06,13.06,13.06
51,Ryan Tannehill,QB,TEN,143,1,1,27,19,2,3,1,0,0,0,0,0,14.02,14.02,14.02
52,Cole Kmet,TE,CHI,0,0,0,0,0,0,0,0,6,8,87,0,0,8.700000000000001,14.700000000000001,11.700000000000001
53,Christian McCaffrey,RB,CAR,0,0,0,0,0,14,52,0,4,5,54,0,0,10.600000000000001,14.600000000000001,12.600000000000001
54,Stefon Diggs,WR,BUF,0,0,0,0,0,0,0,0,6,8,85,0,0,8.5,14.5,11.5
55,Javonte Williams,RB,DEN,0,0,0,0,0,17,111,0,0,0,0,0,0,11.100000000000001,11.100000000000001,11.100000000000001
56,Stephen Anderson,TE,LAC,0,0,0,0,0,0,0,0,4,4,39,1,0,9.9,13.9,11.9
57,Tee Higgins,WR,CIN,0,0,0,0,0,0,0,0,6,8,78,0,0,7.800000000000001,13.8,10.8
58,Josh Jacobs,RB,LVR,0,0,0,0,0,13,76,0,4,4,19,0,0,9.5,13.5,11.5
59,Russell Gage,WR,ATL,0,0,0,0,0,0,0,0,7,8,64,0,0,6.4,13.4,9.9
60,Derek Carr,QB,LVR,296,1,2,46,30,2,5,0,0,0,0,0,1,10.34,10.34,10.34
61,Jordan Howard,RB,PHI,0,0,0,0,0,17,71,1,0,0,0,0,0,13.100000000000001,13.100000000000001,13.100000000000001
62,Ty Johnson,RB,NYJ,0,0,0,0,0,4,21,0,2,3,40,1,1,10.1,12.1,11.1
63,AJ Dillon,RB,GNB,0,0,0,0,0,8,46,0,4,4,44,0,0,9.0,13.0,11.0
64,Jerry Jeudy,WR,DEN,0,0,0,0,0,0,0,0,6,8,69,0,0,6.9,12.9,9.9
65,Jordan Love,QB,GNB,190,1,1,34,19,5,23,0,0,0,0,0,0,11.900000000000002,11.900000000000002,11.900000000000002
66,Elijah Mitchell,RB,SFO,0,0,0,0,0,8,36,0,5,5,43,0,0,7.9,12.9,10.4
67,Donald Parham,TE,LAC,0,0,0,0,0,0,0,0,3,3,39,1,0,9.9,12.9,11.4
68,Devin Singletary,RB,BUF,0,0,0,0,0,6,16,0,7,8,43,0,0,5.9,12.9,9.4
69,Geoff Swaim,TE,TEN,0,0,0,0,0,0,0,0,4,4,29,1,0,8.9,12.9,10.9
70,Evan Engram,TE,NYG,0,0,0,0,0,0,0,0,3,3,38,1,0,9.8,12.8,11.3
71,Ryan Griffin,TE,NYJ,0,0,0,0,0,0,0,0,4,7,28,1,0,8.8,12.8,10.8
72,Josh Allen,QB,BUF,264,0,2,47,31,5,50,0,0,0,0,0,1,9.56,9.56,9.56
73,Ezekiel Elliott,RB,DAL,0,0,0,0,0,10,51,0,3,3,25,0,0,7.6000000000000005,10.600000000000001,9.100000000000001
74,Rhamondre Stevenson,RB,NWE,0,0,0,0,0,10,62,0,2,2,44,0,0,10.600000000000001,12.600000000000001,11.600000000000001
75,Patrick Ricard,FB,BAL,0,0,0,0,0,0,0,0,3,5,35,1,0,9.5,12.5,11.0
76,Diontae Johnson,WR,PIT,0,0,0,0,0,2,11,0,5,6,56,0,0,6.700000000000001,11.700000000000001,9.200000000000001
77,Keelan Cole,WR,NYJ,0,0,0,0,0,0,0,0,5,8,66,0,0,6.6000000000000005,11.600000000000001,9.100000000000001
78,Brandin Cooks,WR,HOU,0,0,0,0,0,0,0,0,6,14,56,0,0,5.6000000000000005,11.600000000000001,8.600000000000001
79,Jacoby Brissett,QB,MIA,244,1,2,43,26,1,7,0,0,0,0,0,1,8.459999999999999,8.459999999999999,8.459999999999999
80,Marquez Callaway,WR,NOR,0,0,0,0,0,0,0,0,3,6,25,1,0,8.5,11.5,10.0
81,Mark Ingram,RB,NOR,0,0,0,0,0,9,43,0,5,5,21,0,0,6.4,11.4,8.9
82,Cole Beasley,WR,BUF,0,0,0,0,0,0,0,0,8,11,33,0,0,3.3000000000000003,11.3,7.300000000000001
83,Deebo Samuel,WR,SFO,0,0,0,0,0,0,0,0,5,9,63,0,0,6.300000000000001,11.3,8.8
84,Austin Ekeler,RB,LAC,0,0,0,0,0,17,59,0,3,3,23,0,0,8.200000000000001,11.200000000000001,9.700000000000001
85,Deonte Harris,WR,NOR,0,0,0,0,0,0,0,0,6,8,52,0,0,5.2,11.2,8.2
86,Mack Hollins,WR,MIA,0,0,0,0,0,0,0,0,3,6,22,1,0,8.2,11.2,9.7
87,Kenny Stills,WR,NOR,0,0,0,0,0,0,0,0,2,5,30,1,0,9.0,11.0,10.0
88,Le'Veon Bell,RB,BAL,0,0,0,0,0,11,48,1,0,0,0,0,0,10.8,10.8,10.8
