,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
0,Leonard Fournette,RB,TAM,0,0,0,0,0,17,100,3,7,8,31,1,0,37.1,44.1,40.6
1,Joe Mixon,RB,CIN,0,0,0,0,0,28,165,2,4,4,-2,0,0,28.3,32.3,30.3
2,Jaylen Waddle,WR,MIA,0,0,0,0,0,0,0,0,9,10,137,1,0,19.700000000000003,28.700000000000003,24.200000000000003
3,Elijah Mitchell,RB,SFO,0,0,0,0,0,27,133,1,5,6,35,0,0,22.8,27.8,25.3
4,Cordarrelle Patterson,RB,ATL,0,0,0,0,0,16,108,2,2,3,27,0,0,25.5,27.5,26.5
5,Aaron Rodgers,QB,GNB,307,2,0,45,28,2,0,1,0,0,0,0,0,26.28,26.28,26.28
6,Josh Allen,QB,BUF,260,4,2,28,23,8,43,0,0,0,0,0,0,26.7,26.7,26.7
7,Dak Prescott,QB,DAL,375,2,0,47,32,1,3,0,0,0,0,0,0,23.3,23.3,23.3
8,Matthew Stafford,QB,LAR,302,3,1,38,21,1,-1,0,0,0,0,0,1,19.979999999999997,19.979999999999997,19.979999999999997
9,Antonio Gibson,RB,WAS,0,0,0,0,0,29,111,0,7,7,35,0,0,14.600000000000001,21.6,18.1
10,Tee Higgins,WR,CIN,0,0,0,0,0,0,0,0,6,8,114,1,0,17.4,23.4,20.4
11,Carson Wentz,QB,IND,306,3,2,44,27,3,21,0,0,0,0,0,1,20.340000000000003,20.340000000000003,20.340000000000003
12,Justin Herbert,QB,LAC,303,2,2,44,28,4,36,0,0,0,0,0,0,19.720000000000002,19.720000000000002,19.720000000000002
13,Hunter Renfrow,WR,LVR,0,0,0,0,0,1,2,0,8,9,134,0,0,13.6,21.6,17.6
14,Mac Jones,QB,NWE,310,2,0,32,23,2,11,0,0,0,0,0,0,21.5,21.5,21.5
15,Derek Carr,QB,LVR,373,1,0,39,24,2,21,0,0,0,0,0,0,21.020000000000003,21.020000000000003,21.020000000000003
16,Adam Thielen,WR,MIN,0,0,0,0,0,0,0,0,5,7,62,2,0,18.2,23.2,20.7
17,Kendrick Bourne,WR,NWE,0,0,0,0,0,0,0,0,5,6,61,2,0,18.1,23.1,20.6
18,J.D. McKissic,RB,WAS,0,0,0,0,0,7,30,1,5,5,26,1,0,17.6,22.6,20.1
19,Rob Gronkowski,TE,TAM,0,0,0,0,0,0,0,0,7,9,123,0,0,12.3,19.3,15.8
20,Dontrell Hilliard,RB,TEN,0,0,0,0,0,12,131,1,1,2,2,0,1,17.3,18.3,17.8
21,DeSean Jackson,WR,LVR,0,0,0,0,0,0,0,0,3,4,102,1,0,16.200000000000003,19.200000000000003,17.700000000000003
22,Austin Ekeler,RB,LAC,0,0,0,0,0,12,31,0,6,8,68,1,0,15.9,21.9,18.9
23,Davante Adams,WR,GNB,0,0,0,0,0,0,0,0,8,9,104,0,0,10.4,18.4,14.4
24,Deebo Samuel,WR,SFO,0,0,0,0,0,6,66,2,1,4,12,0,0,19.8,20.8,20.3
25,Darnell Mooney,WR,CHI,0,0,0,0,0,1,2,0,5,8,123,0,0,12.5,17.5,15.0
26,Stefon Diggs,WR,BUF,0,0,0,0,0,0,0,0,7,9,74,1,0,13.4,20.4,16.9
27,Cedrick Wilson Jr.,WR,DAL,0,0,0,0,0,0,0,0,7,10,104,0,0,10.4,17.4,13.9
28,Jack Doyle,TE,IND,0,0,0,0,0,0,0,0,6,7,81,1,0,14.1,20.1,17.1
29,Javonte Williams,RB,DEN,0,0,0,0,0,14,54,1,3,4,57,0,0,17.1,20.1,18.6
30,AJ Dillon,RB,GNB,0,0,0,0,0,20,69,0,5,5,21,1,0,15.0,20.0,17.5
31,Andy Dalton,QB,CHI,317,1,1,39,24,6,11,0,0,0,0,0,0,15.78,15.78,15.78
32,Jonathan Taylor,RB,IND,0,0,0,0,0,16,83,1,4,5,14,0,0,15.700000000000001,19.700000000000003,17.700000000000003
33,Russell Wilson,QB,SEA,247,2,0,31,20,2,16,0,0,0,0,0,0,19.480000000000004,19.480000000000004,19.480000000000004
34,Myles Gaskin,RB,MIA,0,0,0,0,0,16,49,2,2,2,3,0,0,17.2,19.2,18.2
35,Josh Jacobs,RB,LVR,0,0,0,0,0,22,87,1,2,4,25,0,0,17.200000000000003,19.200000000000003,18.200000000000003
36,Odell Beckham Jr.,WR,LAR,0,0,0,0,0,0,0,0,5,10,81,1,0,14.1,19.1,16.6
37,Jarvis Landry,WR,CLE,0,0,0,0,0,0,0,0,6,10,111,0,1,9.100000000000001,15.100000000000001,12.100000000000001
38,Michael Gallup,WR,DAL,0,0,0,0,0,0,0,0,5,8,106,0,0,10.600000000000001,15.600000000000001,13.100000000000001
39,Cooper Kupp,WR,LAR,0,0,0,1,0,0,0,0,7,10,96,0,0,9.600000000000001,16.6,13.100000000000001
40,Randall Cobb,WR,GNB,0,0,0,0,0,0,0,0,4,5,95,1,1,13.5,17.5,15.5
41,Diontae Johnson,WR,PIT,0,0,0,0,0,0,0,0,9,14,95,0,0,9.5,18.5,14.0
42,Van Jefferson,WR,LAR,0,0,0,0,0,0,0,0,3,9,93,1,0,15.3,18.3,16.8
43,Russell Gage,WR,ATL,0,0,0,0,0,0,0,0,6,7,62,1,0,12.2,18.2,15.2
