,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
0,Derrick Henry,RB,TEN,0,0,0,0,0,35,182,3,6,6,55,0,0,41.7,47.7,44.7
1,Aaron Jones,RB,GNB,0,0,0,0,0,17,67,1,6,6,48,3,0,35.5,41.5,38.5
2,Cooper Kupp,WR,LAR,0,0,0,0,0,1,-5,0,9,11,163,2,0,27.8,36.8,32.3
3,Kyler Murray,QB,ARI,400,3,2,36,29,5,31,1,0,0,0,0,0,33.1,33.1,33.1
4,Lamar Jackson,QB,BAL,239,1,2,26,18,16,107,2,0,0,0,0,0,32.260000000000005,32.260000000000005,32.260000000000005
5,Tyler Lockett,WR,SEA,0,0,0,0,0,0,0,0,8,11,178,1,0,23.8,31.8,27.8
6,Terry McLaurin,WR,WAS,0,0,0,0,0,0,0,0,11,14,107,1,0,16.700000000000003,27.700000000000003,22.200000000000003
7,Tom Brady,QB,TAM,276,5,0,36,24,1,6,0,0,0,0,0,1,29.64,29.64,29.64
8,Daniel Jones,QB,NYG,249,1,0,32,22,9,95,1,0,0,0,0,0,29.46,29.46,29.46
9,Patrick Mahomes,QB,KAN,343,3,1,31,24,1,3,0,0,0,0,0,0,24.02,24.02,24.02
10,Courtland Sutton,WR,DEN,0,0,0,0,0,0,0,0,9,12,159,0,0,15.9,24.9,20.4
11,Rondale Moore,WR,ARI,0,0,0,0,0,0,0,0,7,8,114,1,0,17.4,24.4,20.9
12,Derek Carr,QB,LVR,382,2,0,37,28,4,9,0,0,0,0,0,0,24.18,24.18,24.18
13,Travis Kelce,TE,KAN,0,0,0,0,0,0,0,0,7,8,109,1,0,16.9,23.9,20.4
14,Aaron Rodgers,QB,GNB,255,4,0,27,22,4,6,0,0,0,0,0,0,26.800000000000004,26.800000000000004,26.800000000000004
15,Marquise Brown,WR,BAL,0,0,0,0,0,0,0,0,6,10,113,1,0,17.3,23.3,20.3
16,Russell Wilson,QB,SEA,343,2,0,31,22,3,16,0,0,0,0,0,0,23.32,23.32,23.32
17,Tony Pollard,RB,DAL,0,0,0,0,0,13,109,1,3,3,31,0,0,20.0,23.0,21.5
18,Henry Ruggs III,WR,LVR,0,0,0,0,0,1,2,0,5,7,113,1,0,17.5,22.5,20.0
19,Kirk Cousins,QB,MIN,244,3,0,32,22,2,35,0,0,0,0,0,0,25.259999999999998,25.259999999999998,25.259999999999998
20,Christian McCaffrey,RB,CAR,0,0,0,0,0,24,72,1,5,6,65,0,0,19.7,24.7,22.2
21,Mike Evans,WR,TAM,0,0,0,0,0,0,0,0,5,9,75,2,0,19.5,24.5,22.0
22,Teddy Bridgewater,QB,DEN,328,2,0,34,26,4,1,0,0,0,0,0,0,21.220000000000002,21.220000000000002,21.220000000000002
23,Taylor Heinicke,QB,WAS,336,2,1,46,34,4,6,0,0,0,0,0,0,20.04,20.04,20.04
24,Cordarrelle Patterson,RB,ATL,0,0,0,0,0,7,11,1,5,7,58,1,0,18.9,23.9,21.4
25,Michael Pittman Jr.,WR,IND,0,0,0,0,0,0,0,0,8,12,123,0,0,12.3,20.3,16.3
26,Davante Adams,WR,GNB,0,0,0,0,0,0,0,0,8,9,121,0,0,12.100000000000001,20.1,16.1
27,Sam Darnold,QB,CAR,305,2,1,38,26,1,7,0,0,0,0,0,0,18.900000000000002,18.900000000000002,18.900000000000002
28,Brandin Cooks,WR,HOU,0,0,0,0,0,0,0,0,9,14,78,1,0,13.8,22.8,18.3
29,Austin Ekeler,RB,LAC,0,0,0,0,0,9,54,0,9,9,61,0,0,11.5,20.5,16.0
30,Diontae Johnson,WR,PIT,0,0,0,0,0,0,0,0,9,12,105,0,0,10.5,19.5,15.0
31,Matt Ryan,QB,ATL,300,2,3,46,35,2,3,0,0,0,0,0,0,14.3,14.3,14.3
32,Mike Williams,WR,LAC,0,0,0,0,0,0,0,0,7,10,91,1,0,15.1,22.1,18.6
33,D.J. Moore,WR,CAR,0,0,0,0,0,0,0,0,8,11,79,1,0,13.9,21.9,17.9
34,Jalen Hurts,QB,PHI,190,0,0,23,12,10,82,1,0,1,0,0,0,21.8,21.8,21.8
35,Julio Jones,WR,TEN,0,0,0,0,0,0,0,0,6,8,128,0,0,12.8,18.8,15.8
36,Freddie Swain,WR,SEA,0,0,0,0,0,1,5,0,5,5,95,1,0,16.0,21.0,18.5
37,T.J. Hockenson,TE,DET,0,0,0,0,0,0,0,0,8,9,66,1,0,12.600000000000001,20.6,16.6
38,Jared Goff,QB,DET,246,2,1,36,26,4,46,0,0,0,0,0,1,18.44,18.44,18.44
39,J.D. McKissic,RB,WAS,0,0,0,0,0,4,10,1,5,6,83,0,0,15.3,20.3,17.8
40,K.J. Osborn,WR,MIN,0,0,0,0,0,0,0,0,5,6,91,1,0,15.1,20.1,17.6
41,Rob Gronkowski,TE,TAM,0,0,0,0,0,0,0,0,4,5,39,2,0,15.9,19.9,17.9
42,Dalvin Cook,RB,MIN,0,0,0,0,0,22,131,0,2,3,17,0,0,14.8,16.8,15.8
43,Justin Herbert,QB,LAC,338,1,2,41,31,4,12,0,0,0,0,0,0,14.719999999999999,14.719999999999999,14.719999999999999
44,Jimmy Garoppolo,QB,SFO,189,1,0,30,22,11,20,1,0,0,0,0,0,19.560000000000002,19.560000000000002,19.560000000000002
45,Calvin Ridley,WR,ATL,0,0,0,0,0,0,0,0,7,10,63,1,0,12.3,19.3,15.8
46,Najee Harris,RB,PIT,0,0,0,0,0,10,38,0,5,5,43,1,0,14.1,19.1,16.6
47,Ryan Tannehill,QB,TEN,347,0,0,40,27,4,27,0,0,0,0,0,1,14.580000000000002,14.580000000000002,14.580000000000002
48,Carson Wentz,QB,IND,247,1,1,31,20,5,37,0,0,0,0,0,0,15.580000000000002,15.580000000000002,15.580000000000002
49,Justin Jefferson,WR,MIN,0,0,0,0,0,0,0,0,6,10,65,1,0,12.5,18.5,15.5
50,Baker Mayfield,QB,CLE,213,1,1,21,19,8,10,1,0,0,0,0,0,17.52,17.52,17.52
51,James White,RB,NWE,0,0,0,0,0,5,20,1,6,6,45,0,0,12.5,18.5,15.5
52,Matthew Stafford,QB,LAR,278,2,1,30,19,2,1,0,0,0,0,0,0,17.220000000000002,17.220000000000002,17.220000000000002
