,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
120,Tyler Huntley,QB,BAL,141,0,2,31,16,12,72,0,0,0,0,0,1,6.84,6.84,6.84
121,Brandon Allen,QB,CIN,136,1,0,29,15,1,3,0,0,0,0,0,0,9.740000000000002,9.740000000000002,9.740000000000002
122,Damiere Byrd,WR,CHI,0,0,0,0,0,0,0,0,5,6,47,0,0,4.7,9.7,7.2
123,Nico Collins,WR,HOU,0,0,0,0,0,0,0,0,3,7,67,0,0,6.7,9.7,8.2
124,Eno Benjamin,RB,ARI,0,0,0,0,0,7,31,0,4,4,25,0,0,5.6,9.6,7.6
125,Rex Burkhead,RB,HOU,0,0,0,0,0,12,24,0,3,4,42,0,0,6.6000000000000005,9.600000000000001,8.100000000000001
126,Najee Harris,RB,PIT,0,0,0,0,0,11,28,0,4,4,27,0,0,5.5,9.5,7.5
127,Freddie Swain,WR,SEA,0,0,0,0,0,0,0,0,1,1,25,1,0,8.5,9.5,9.0
128,D'Onta Foreman,RB,TEN,0,0,0,0,0,21,69,0,1,2,15,0,0,8.4,9.4,8.9
129,Breshad Perriman,WR,TAM,0,0,0,0,0,0,0,0,5,6,44,0,0,4.4,9.4,6.9
130,Jordan Love,QB,GNB,134,1,2,17,10,1,-1,0,0,0,0,0,0,5.26,5.26,5.26
131,Dalvin Cook,RB,MIN,0,0,0,0,0,14,79,0,1,1,3,0,0,8.200000000000001,9.200000000000001,8.700000000000001
132,K.J. Osborn,WR,MIN,0,0,0,0,0,0,0,0,1,4,21,1,0,8.1,9.1,8.6
133,Cole Kmet,TE,CHI,0,0,0,0,0,0,0,0,4,5,48,0,0,4.800000000000001,8.8,6.800000000000001
134,Adam Trautman,TE,NOR,0,0,0,0,0,0,0,0,1,1,18,1,0,7.8,8.8,8.3
135,JaQuan Hardy,RB,DAL,0,0,0,0,0,3,26,1,0,0,0,0,0,8.6,8.6,8.6
136,Le'Veon Bell,RB,TAM,0,0,0,0,0,3,14,0,1,1,1,1,0,7.5,8.5,8.0
137,Elijah Mitchell,RB,SFO,0,0,0,0,0,21,85,0,0,0,0,0,0,8.5,8.5,8.5
138,Dare Ogunbowale,RB,JAX,0,0,0,0,0,11,30,0,3,6,25,0,0,5.5,8.5,7.0
139,Javonte Williams,RB,DEN,0,0,0,0,0,12,46,0,2,2,18,0,0,6.4,8.4,7.4
140,Dawson Knox,TE,BUF,0,0,0,0,0,0,4,0,3,5,49,0,0,5.300000000000001,8.3,6.800000000000001
141,Ryquell Armstead,RB,JAX,0,0,0,0,0,9,52,0,2,2,10,0,0,6.2,8.2,7.2
142,Saquon Barkley,RB,NYG,0,0,0,0,0,11,30,0,3,4,19,0,0,4.9,7.9,6.4
143,Zach Gentry,TE,PIT,0,0,0,0,0,0,0,0,4,5,39,0,0,3.9000000000000004,7.9,5.9
144,Qadree Ollison,RB,ATL,0,0,0,0,0,1,19,1,0,1,0,0,0,7.9,7.9,7.9
145,AJ Dillon,RB,GNB,0,0,0,0,0,14,63,0,1,1,4,0,0,6.700000000000001,7.700000000000001,7.200000000000001
146,Zay Jones,WR,LVR,0,0,0,0,0,0,0,0,5,8,27,0,0,2.7,7.7,5.2
147,Ray-Ray McCloud,WR,PIT,0,0,0,0,0,0,0,0,4,9,37,0,0,3.7,7.7,5.7
148,Darrel Williams,RB,KAN,0,0,0,0,0,7,17,0,3,4,30,0,0,4.7,7.7,6.2
149,Olamide Zaccheaus,WR,ATL,0,0,0,0,0,0,0,0,3,3,47,0,0,4.7,7.7,6.2
150,Juwan Johnson,TE,NOR,0,0,0,0,0,0,0,0,1,2,5,1,0,6.5,7.5,7.0
151,Tyler Johnson,WR,TAM,0,0,0,0,0,0,0,0,5,7,22,0,0,2.2,7.2,4.7
152,Cole Beasley,WR,BUF,0,0,0,0,0,0,0,0,4,5,31,0,0,3.1,7.1,5.1
153,DeVonta Smith,WR,PHI,0,0,0,0,0,0,0,0,3,4,41,0,0,4.1000000000000005,7.1000000000000005,5.6000000000000005
154,Nick Chubb,RB,CLE,0,0,0,0,0,9,58,0,1,1,2,0,0,6.000000000000001,7.000000000000001,6.500000000000001
155,Foster Moreau,TE,LVR,0,0,0,0,0,0,0,0,2,2,50,0,0,5.0,7.0,6.0
156,Gabriel Davis,WR,BUF,0,0,0,0,0,0,0,0,3,14,39,0,0,3.9000000000000004,6.9,5.4
