,PLAYER,POS,AVG
200,Los Angeles Chargers,DS,204.5
201,O.J. Howard,TE,204.5
202,Anthony McFarland Jr.,RB,206.0
233,Cincinnati Bengals,DS,206.0
204,,RB,206.5
205,Joshua Kelley,RB,208.0
206,Greg Olsen,TE,210.5
203,Cam Newton,QB,211.0
239,Atlanta Falcons,DS,211.0
241,Devin Duvernay,WR,212.0
207,Randall Cobb,WR,213.5
208,Jaylen Samuels,RB,214.0
209,James Washington,WR,216.0
244,Willie Snead,WR,217.0
210,Cole Beasley,WR,217.5
246,Malcolm Brown,RB,218.0
211,Bryan Edwards,WR,219.0
248,Lynn Bowden Jr.,RB,219.0
192,Chris Thompson,RB,219.0
213,Giovani Bernard,RB,220.0
214,Chase Claypool,WR,221.0
215,Denver Broncos,DS,221.5
216,Laviska Shenault Jr.,WR,222.5
254,Jalen Hurts,QB,223.0
217,Dion Lewis,RB,224.5
219,Carlos Hyde,RB,225.0
222,Matt Prater,K8,228.5
224,Mohamed Sanu,WR,229.5
223,Jalen Richard,RB,229.5
259,Royce Freeman,RB,230.0
225,Benny Snell Jr.,RB,230.5
226,Philadelphia Eagles,DS,231.0
260,Washington Football Team,DS,231.0
227,Kyle Rudolph,TE,231.5
264,Detroit Lions,DS,234.0
229,Brian Hill,RB,234.0
231,Younghoe Koo,K9,236.0
266,C.J. Uzomah,TE,236.0
268,Christian Wade,RB,239.0
235,Dawson Knox,TE,239.0
237,Ryan Fitzpatrick,QB,239.5
236,Ito Smith,RB,240.5
242,Dan Bailey,K1,241.5
243,Ka'imi Fairbairn,K1,241.5
270,Michael Badgley,K1,242.0
245,Dallas Cowboys,DS,243.0
247,Seattle Seahawks,DS,243.5
249,Jake Elliott,K1,244.0
250,Tampa Bay Buccaneers,DS,244.5
251,Mason Crosby,K1,244.5
252,Jace Sternberger,TE,245.0
221,Jerick McKinnon,RB,245.5
255,Tennessee Titans,DS,246.5
256,Jimmy Graham,TE,247.0
240,Frank Gore,RB,248.0
273,Danny Amendola,WR,248.0
257,New York Jets,DS,248.5
253,DeAndre Washington,RB,249.0
275,Andy Isabella,WR,250.0
261,Tyrod Taylor,QB,250.5
263,Indianapolis Colts,DS,251.0
265,Brandon McManus,K1,251.5
267,Devin Asiasi,TE,253.5
269,Green Bay Packers,DS,254.0
279,David Njoku,TE,254.0
262,Jason Myers,K1,255.0
212,Darrel Williams,RB,256.5
282,Josh Reynolds,WR,257.0
274,Joey Slye,K1,259.5
277,Cleveland Browns,DS,260.0
278,Gerald Everett,TE,261.0
271,Chris Boswell,K1,261.5
281,Will Dissly,TE,262.5
234,Bryce Love,RB,262.5
284,Tre'Quan Smith,WR,264.0
287,Austin Seibert,K2,265.0
286,Dwayne Haskins,QB,268.0
291,Chris Conley,WR,274.0
292,Gus Edwards,RB,275.0
272,Josh Lambo,K1,276.5
293,KJ Hamler,WR,277.0
294,Greg Joseph,K2,280.0
280,Steven Sims,WR,281.5
295,Vance McDonald,TE,282.0
296,Chase McLaughlin,K2,284.0
290,Houston Texans,DS,285.0
276,Kendrick Bourne,WR,285.5
297,Miles Boykin,WR,286.0
298,Rex Burkhead,RB,287.0
285,Tyler Eifert,TE,288.0
299,Eno Benjamin,RB,288.0
300,Randy Bullock,K2,289.0
301,Jarrett Stidham,QB,290.0
302,Auden Tate,WR,291.0
283,Jacksonville Jaguars,DS,291.5
303,Justin Rohrwasser,K2,292.0
304,,K2,293.0
238,Devine Ozigbo,RB,294.0
305,Justin Herbert,QB,294.0
306,Zach Pascal,WR,295.0
307,Darwin Thompson,RB,296.0
308,Peyton Barber,RB,297.0
309,Nelson Agholor,WR,298.0
310,Tua Tagovailoa,QB,299.0
258,Mike Davis,RB,299.5
311,Lamical Perine,RB,300.0
312,,K2,301.0
289,Van Jefferson,WR,301.5
313,Nick Foles,QB,303.0
314,Jason Sanders,K2,305.0
288,Dan Arnold,TE,307.5
315,Adam Humphries,WR,310.0
316,Russell Gage,WR,312.0
317,Phillip Dorsett,WR,313.0
318,Cameron Brate,TE,314.0
319,Patrick Laird,RB,316.0
320,Sam Sloman,K2,317.0
321,Jacob Hollister,TE,318.0
322,Marquez Valdes-Scantling,WR,320.0
323,Mitch Trubisky,QB,322.0
324,Sam Ficken,K2,323.0
325,Demarcus Robinson,WR,324.0
326,Darren Fells,TE,325.0
327,J.J. Arcega-Whiteside,WR,327.0
328,Cole Kmet,TE,328.0
329,Dare Ogunbowale,RB,329.0
330,Mike Boone,RB,330.0
331,Marcus Mariota,QB,331.0
332,Tajae Sharpe,WR,332.0
333,Dustin Hopkins,K3,333.0
334,,K3,334.0
335,Eddy Pineiro,K3,335.0
336,Mason Rudolph,QB,337.0
337,Logan Thomas,TE,338.0
338,Daniel Carlson,K3,339.0
339,Jakobi Meyers,WR,340.0
340,Kaden Smith,TE,341.0
341,Kyle Juszczyk,RB,342.0
342,Reggie Bonnafon,RB,343.0
343,Antonio Gandy-Golden,WR,345.0
344,Jameis Winston,QB,346.0
345,Kirk Merritt,WR,347.0
346,JaMycal Hasty,RB,348.0
347,Greg Ward,WR,350.0
348,Artavis Pierce,RB,351.0
349,Miami Dolphins,DS,352.0
350,Olabisi Johnson,WR,353.0
351,Arizona Cardinals,DS,354.0
352,Drew Sample,TE,355.0
353,Scott Miller,WR,356.0
354,T.J. Yeldon,RB,357.0
355,Josiah Deguara,TE,358.0
356,J.D. McKissic,RB,359.0
357,Jordan Love,QB,360.0
358,Bo Scarbrough,RB,361.0
359,Kyle Allen,QB,362.0
360,,K3,363.0
361,Dante Pettis,WR,364.0
362,Ted Ginn,WR,365.0
363,Jason Witten,TE,366.0
364,DeeJay Dallas,RB,367.0
365,Hakeem Butler,WR,368.0
366,Carolina Panthers,DS,369.0
367,Tyler Bass,K3,371.0
368,John Kelly,RB,372.0
369,Quintez Cephus,WR,373.0
370,Ty Montgomery,RB,374.0
371,Adam Trautman,TE,375.0
372,Trent Taylor,WR,376.0
373,Corey Clement,RB,377.0
374,,RB,380.0
