,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2014,Larry Webster,TE,24,0,Bloomsburg,6-6,252,4.58,36.5,17.0,123.0,7.29,4.44,Detroit Lions / 4th / 136th pick / 2014
1,2,2014,Austin Seferian-Jenkins,TE,21,10,Washington,6-5,262,4.75,,20.0,,,,Tampa Bay Buccaneers / 2nd / 38th pick / 2014
2,3,2014,Richard Rodgers,TE,22,13,California,6-4,257,4.87,31.5,16.0,116.0,7.23,4.47,Green Bay Packers / 3rd / 98th pick / 2014
3,4,2014,Troy Niklas,TE,21,1,Notre Dame,6-6,270,4.84,32.0,27.0,114.0,7.57,4.55,Arizona Cardinals / 2nd / 52nd pick / 2014
4,5,2014,Jordan Najvar,TE,23,0,Baylor,6-6,256,4.93,32.5,18.0,112.0,7.14,4.47,
5,6,2014,Jake Murphy,TE,24,0,Utah,6-4,249,4.79,33.0,24.0,114.0,7.18,4.27,
6,7,2014,Arthur Lynch,TE,23,0,Georgia,6-5,258,4.82,29.5,28.0,116.0,7.38,4.35,Miami Dolphins / 5th / 155th pick / 2014
7,8,2014,Marcel Jensen,TE,24,0,Fresno State,6-6,259,4.85,35.0,24.0,115.0,7.38,4.6,
8,9,2014,Nic Jacobs,TE,22,0,McNeese State,6-5,269,4.89,,15.0,,,,
9,10,2014,Xavier Grimble,TE,21,2,USC,6-4,257,4.76,26.5,,113.0,,,
10,11,2014,Crockett Gillmore,TE,22,4,Colorado State,6-6,260,4.89,33.5,,120.0,7.42,4.44,Baltimore Ravens / 3rd / 99th pick / 2014
11,12,2014,C.J. Fiedorowicz,TE,22,6,Iowa,6-5,265,4.76,31.5,25.0,116.0,7.1,4.26,Houston Texans / 3rd / 65th pick / 2014
12,13,2014,Eric Ebron,TE,20,27,North Carolina,6-4,250,4.6,32.0,24.0,120.0,,,Detroit Lions / 1st / 10th pick / 2014
13,14,2014,Rob Blanchflower,TE,23,0,Massachusetts,6-4,256,4.82,,,,,,Pittsburgh Steelers / 7th / 230th pick / 2014
14,15,2014,Jace Amaro,TE,21,4,Texas Tech,6-5,265,4.74,33.0,28.0,118.0,7.42,4.3,New York Jets / 2nd / 49th pick / 2014
