,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2014,Keith Wenning,QB,23,0,Ball State,6-3,218,5.0,28.0,,100.0,7.07,4.25,Baltimore Ravens / 6th / 194th pick / 2014
1,2,2014,Dustin Vaughan,QB,23,0,West Texas A&M,6-5,235,4.95,29.0,,108.0,7.25,4.43,
2,3,2014,Logan Thomas,QB,22,3,Virginia Tech,6-6,248,4.61,35.5,,118.0,7.05,4.18,Arizona Cardinals / 4th / 120th pick / 2014
3,4,2014,Connor Shaw,QB,22,0,South Carolina,6-0,206,4.66,34.0,,116.0,7.07,4.33,
4,5,2014,Tom Savage,QB,23,4,Pittsburgh,6-4,228,4.97,27.0,,105.0,7.33,4.36,Houston Texans / 4th / 135th pick / 2014
5,6,2014,Aaron Murray,QB,23,0,Georgia,6-0,207,4.84,,,,,,Kansas City Chiefs / 5th / 163rd pick / 2014
6,7,2014,Stephen Morris,QB,21,0,Miami (FL),6-2,213,4.63,30.0,,111.0,7.36,4.49,
7,8,2014,Zach Mettenberger,QB,22,1,LSU,6-5,224,,,,,,,Tennessee Titans / 6th / 178th pick / 2014
8,9,2014,A.J. McCarron,QB,23,4,Alabama,6-3,220,4.94,28.0,,99.0,7.18,4.34,Cincinnati Bengals / 5th / 164th pick / 2014
9,10,2014,Johnny Manziel,QB,21,5,Texas A&M,6-0,207,4.68,31.5,,113.0,6.75,4.03,Cleveland Browns / 1st / 22nd pick / 2014
10,11,2014,Jimmy Garoppolo,QB,22,25,East. Illinois,6-2,226,4.97,30.5,,110.0,7.04,4.26,New England Patriots / 2nd / 62nd pick / 2014
11,12,2014,David Fales,QB,23,1,San Jose State,6-2,212,4.99,28.0,,103.0,7.55,4.5,Chicago Bears / 6th / 183rd pick / 2014
12,13,2014,Derek Carr,QB,22,61,Fresno State,6-2,214,4.69,34.5,,110.0,,4.2,Oakland Raiders / 2nd / 36th pick / 2014
13,14,2014,Teddy Bridgewater,QB,21,28,Louisville,6-2,214,,30.0,,113.0,7.17,4.2,Minnesota Vikings / 1st / 32nd pick / 2014
14,15,2014,Blake Bortles,QB,21,48,Central Florida,6-5,232,4.93,32.5,,115.0,7.08,4.21,Jacksonville Jaguars / 1st / 3rd pick / 2014
