,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2009,Derrick Williams,WR,22,0,Penn State,5-11,194,4.47,33.0,15.0,,,,Detroit Lions / 3rd / 82nd pick / 2009
1,2,2009,Mike Wallace,WR,22,69,Mississippi,6-0,199,4.33,40.0,14.0,129.0,6.9,4.27,Pittsburgh Steelers / 3rd / 84th pick / 2009
2,3,2009,Tiquan Underwood,WR,22,9,Rutgers,6-1,184,4.31,41.5,7.0,129.0,6.62,4.11,Jacksonville Jaguars / 7th / 253rd pick / 2009
3,4,2009,Patrick Turner,WR,21,1,USC,6-5,223,4.59,,,,,,Miami Dolphins / 3rd / 87th pick / 2009
4,5,2009,Mike Thomas,WR,21,22,Arizona,5-8,195,4.3,40.5,,126.0,6.65,4.28,Jacksonville Jaguars / 4th / 107th pick / 2009
5,6,2009,Brandon Tate,WR,21,17,North Carolina,6-0,183,4.52,,,,,,New England Patriots / 3rd / 83rd pick / 2009
6,7,2009,Sammie Stroughter,WR,23,5,Oregon State,5-9,189,4.45,30.0,13.0,110.0,7.03,4.28,Tampa Bay Buccaneers / 7th / 233rd pick / 2009
7,8,2009,Brian Robiskie,WR,21,3,Ohio State,6-3,209,4.46,37.5,,,6.72,4.19,Cleveland Browns / 2nd / 36th pick / 2009
8,9,2009,Greg Orton,WR,22,0,Purdue,6-3,207,4.61,38.0,22.0,125.0,6.9,4.33,
9,10,2009,Kevin Ogletree,WR,21,8,Virginia,6-0,196,4.36,36.0,,122.0,6.67,4.08,
10,11,2009,Jordan Norwood,WR,22,6,Penn State,5-11,179,4.58,38.0,,119.0,6.8,4.2,
11,12,2009,Hakeem Nicks,WR,21,44,North Carolina,6-1,212,4.51,36.0,,,,,New York Giants / 1st / 29th pick / 2009
12,13,2009,Louis Murphy,WR,21,20,Florida,6-2,203,4.32,,12.0,,,,Oakland Raiders / 4th / 124th pick / 2009
13,14,2009,Marko Mitchell,WR,23,0,Nevada,6-4,218,4.43,32.0,9.0,116.0,7.04,4.33,Washington Redskins / 7th / 243rd pick / 2009
14,15,2009,Kenny McKinley,WR,22,0,South Carolina,6-0,189,4.37,37.0,,113.0,6.96,4.1,Denver Broncos / 5th / 141st pick / 2009
15,16,2009,Mohamed Massaquoi,WR,22,13,Georgia,6-1,210,4.51,36.5,,127.0,,,Cleveland Browns / 2nd / 50th pick / 2009
16,17,2009,Jeremy Maclin,WR,20,59,Missouri,6-0,198,4.43,,,,,,Philadelphia Eagles / 1st / 19th pick / 2009
17,18,2009,Quinten Lawrence,WR,24,0,McNeese State,6-0,184,4.4,,20.0,,,,Kansas City Chiefs / 6th / 175th pick / 2009
18,19,2009,Johnny Knox,WR,22,20,Abilene Christian,5-11,185,4.34,35.0,,122.0,6.81,4.15,Chicago Bears / 5th / 140th pick / 2009
19,20,2009,Manuel Johnson,WR,22,0,Oklahoma,5-11,189,4.5,,,,,,Dallas Cowboys / 7th / 229th pick / 2009
20,21,2009,Juaquin Iglesias,WR,21,0,Oklahoma,6-1,210,4.44,34.5,,116.0,,4.4,Chicago Bears / 3rd / 99th pick / 2009
21,22,2009,Darrius Heyward-Bey,WR,22,25,Maryland,6-2,210,4.3,38.5,16.0,126.0,6.8,4.18,Oakland Raiders / 1st / 7th pick / 2009
22,23,2009,Percy Harvin,WR,20,48,Florida,5-11,192,4.39,,19.0,,,,Minnesota Vikings / 1st / 22nd pick / 2009
23,24,2009,Brian Hartline,WR,22,36,Ohio State,6-2,195,4.49,34.5,,120.0,6.65,4.12,Miami Dolphins / 4th / 108th pick / 2009
24,25,2009,Brandon Gibson,WR,21,19,Washington State,6-0,210,4.59,,,,,,Philadelphia Eagles / 6th / 194th pick / 2009
25,26,2009,Dominique Edison,WR,22,0,Stephen F. Austin,6-2,204,4.42,37.0,,120.0,,4.18,Tennessee Titans / 6th / 206th pick / 2009
26,27,2009,Jarett Dillard,WR,23,3,Rice,5-10,191,4.5,42.5,13.0,129.0,7.1,4.41,Jacksonville Jaguars / 5th / 144th pick / 2009
27,28,2009,Michael Crabtree,WR,21,65,Texas Tech,6-1,215,4.54,,,,,,San Francisco 49ers / 1st / 10th pick / 2009
28,29,2009,Quan Cosby,WR,26,0,Texas,5-9,196,4.5,,,,7.28,4.47,
29,30,2009,Austin Collie,WR,23,19,BYU,6-1,200,4.53,34.0,17.0,120.0,6.78,4.24,Indianapolis Colts / 4th / 127th pick / 2009
30,31,2009,Deon Butler,WR,23,4,Penn State,5-10,182,4.31,34.5,12.0,118.0,7.01,4.48,Seattle Seahawks / 3rd / 91st pick / 2009
31,32,2009,Kenny Britt,WR,20,40,Rutgers,6-3,218,4.47,37.0,23.0,124.0,,4.47,Tennessee Titans / 1st / 30th pick / 2009
32,33,2009,Ramses Barden,WR,23,4,Cal Poly,6-6,229,4.51,33.5,17.0,118.0,,4.26,New York Giants / 3rd / 85th pick / 2009
