,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2009,Javarris Williams,RB,22,0,Tennessee State,5-9,223,4.51,33.5,25.0,116.0,,,Kansas City Chiefs / 7th / 212th pick / 2009
1,2,2009,Beanie Wells,RB,20,15,Ohio State,6-1,235,4.38,33.5,25.0,128.0,,,Arizona Cardinals / 1st / 31st pick / 2009
2,3,2009,Tyrell Sutton,RB,22,2,Northwestern,5-8,211,4.64,33.0,,114.0,6.94,4.32,
3,4,2009,Kory Sheets,RB,23,0,Purdue,5-11,208,4.39,37.0,15.0,121.0,7.18,4.39,
4,5,2009,Bernard Scott,RB,25,9,Abilene Christian,5-10,200,4.44,36.0,21.0,125.0,6.82,4.08,Cincinnati Bengals / 6th / 209th pick / 2009
5,6,2009,Javon Ringer,RB,22,4,Michigan State,5-9,205,4.5,34.0,23.0,115.0,6.87,4.11,Tennessee Titans / 5th / 173rd pick / 2009
6,7,2009,Cedric Peerman,RB,22,4,Virginia,5-9,216,4.34,40.0,27.0,117.0,6.99,4.29,Baltimore Ravens / 6th / 185th pick / 2009
7,8,2009,Chris Ogbonnaya,RB,22,8,Texas,6-0,220,4.57,35.0,19.0,111.0,6.85,4.29,St. Louis Rams / 7th / 211th pick / 2009
8,9,2009,Knowshon Moreno,RB,21,35,Georgia,5-11,217,4.5,35.5,25.0,115.0,6.84,4.27,Denver Broncos / 1st / 12th pick / 2009
9,10,2009,LeSean McCoy,RB,20,104,Pittsburgh,5-10,198,4.5,,,,,,Philadelphia Eagles / 2nd / 53rd pick / 2009
10,11,2009,Jeremiah Johnson,RB,22,1,Oregon,5-9,209,4.57,35.0,20.0,115.0,,,
11,12,2009,Gartrell Johnson,RB,22,0,Colorado State,5-10,219,4.67,34.0,20.0,114.0,,,San Diego Chargers / 4th / 134th pick / 2009
12,13,2009,Rashad Jennings,RB,23,35,Liberty,6-1,231,4.52,34.0,29.0,120.0,6.86,4.2,Jacksonville Jaguars / 7th / 250th pick / 2009
13,14,2009,Shonn Greene,RB,23,25,Iowa,5-10,227,4.55,37.0,19.0,121.0,7.1,4.4,New York Jets / 3rd / 65th pick / 2009
14,15,2009,Mike Goodson,RB,21,7,Texas A&M,6-0,208,4.43,39.5,14.0,118.0,6.89,4.22,Carolina Panthers / 4th / 111th pick / 2009
15,16,2009,Arian Foster,RB,22,63,Tennessee,6-1,226,4.69,,23.0,,,,
16,17,2009,James Davis,RB,23,1,Clemson,5-11,218,4.45,32.0,17.0,109.0,7.15,4.37,Cleveland Browns / 6th / 195th pick / 2009
17,18,2009,Glen Coffee,RB,21,2,Alabama,6-0,209,4.5,36.0,24.0,121.0,7.35,4.51,San Francisco 49ers / 3rd / 74th pick / 2009
18,19,2009,Donald Brown,RB,21,28,Connecticut,5-10,210,4.46,41.5,,125.0,6.93,4.1,Indianapolis Colts / 1st / 27th pick / 2009
19,20,2009,Andre Brown,RB,22,7,North Carolina State,6-0,224,4.37,37.0,24.0,115.0,7.35,4.33,New York Giants / 4th / 129th pick / 2009
20,21,2009,Kahlil Bell,RB,22,5,UCLA,5-11,212,4.74,34.5,15.0,114.0,6.87,4.2,
