,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Indianapolis Colts,21538.020000000004,32.0,16156.019999999999,32.0,18847.020000000004,32.0,4004.1000000000004,27.0,3593.12,32.0,13940.800000000001,32.0,11249.800000000001,32.0,8558.8,32.0
San Diego Chargers,21344.359999999997,31.0,16102.36,31.0,18723.36,31.0,4230.3,31.0,3537.16,31.0,13576.900000000001,28.0,10955.900000000001,28.0,8334.899999999998,30.0
New York Giants,21285.239999999998,30.0,15801.240000000002,28.0,18543.239999999998,29.0,3889.7999999999997,22.0,3483.84,28.0,13911.600000000002,31.0,11169.6,31.0,8427.599999999999,31.0
Jacksonville Jaguars,21235.559999999994,29.0,15910.559999999998,30.0,18573.059999999998,30.0,4064.7999999999997,29.0,3525.36,30.0,13645.4,29.0,10982.9,29.0,8320.400000000001,29.0
Tennessee Titans,20960.42,28.0,15749.419999999998,27.0,18354.92,27.0,3945.6999999999994,25.0,3513.9199999999996,29.0,13500.799999999997,26.0,10895.299999999997,27.0,8289.8,27.0
Kansas City Chiefs,20948.86,27.0,15885.859999999999,29.0,18417.36,28.0,4348.800000000001,32.0,3449.1600000000003,27.0,13150.9,19.0,10619.4,21.0,8087.899999999999,24.0
Philadelphia Eagles,20923.920000000002,26.0,15384.919999999996,24.0,18154.42,26.0,3658.3,10.0,3421.3199999999997,25.0,13844.3,30.0,11074.8,30.0,8305.3,28.0
Houston Texans,20796.219999999998,25.0,15506.22,26.0,18151.219999999998,25.0,3890.9000000000005,23.0,3437.52,26.0,13467.8,25.0,10822.8,25.0,8177.799999999998,25.0
St. Louis Rams,20613.62,24.0,15421.620000000003,25.0,18017.62,24.0,4168.0,30.0,3309.3199999999997,20.0,13136.3,18.0,10540.3,19.0,7944.299999999999,18.0
Oakland Raiders,20603.72,23.0,15352.719999999998,23.0,17978.22,23.0,3956.1,26.0,3367.3199999999997,24.0,13280.299999999996,22.0,10654.8,22.0,8029.299999999999,22.0
Dallas Cowboys,20556.119999999995,22.0,15187.120000000003,22.0,17871.62,22.0,3818.5999999999995,21.0,3306.7199999999993,19.0,13430.799999999997,24.0,10746.3,24.0,8061.799999999999,23.0
Washington Redskins,20518.56,21.0,15182.559999999996,21.0,17850.56,21.0,3638.8999999999996,9.0,3362.76,23.0,13516.900000000001,27.0,10848.9,26.0,8180.9,26.0
Arizona Cardinals,20255.28,20.0,15071.28,19.0,17663.28,19.0,3800.3,20.0,3324.2799999999997,21.0,13130.699999999999,17.0,10538.699999999999,18.0,7946.699999999999,19.0
Denver Broncos,20231.119999999995,19.0,15109.119999999997,20.0,17670.12,20.0,3774.3000000000006,18.0,3362.5199999999995,22.0,13094.3,15.0,10533.300000000001,17.0,7972.299999999999,20.0
Green Bay Packers,20181.859999999993,18.0,14836.86,15.0,17509.359999999997,16.0,3586.9,7.0,3266.5600000000004,18.0,13328.4,23.0,10655.899999999998,23.0,7983.4,21.0
New York Jets,20180.139999999996,17.0,14920.139999999996,16.0,17550.14,18.0,3796.3,19.0,3222.24,16.0,13161.599999999999,20.0,10531.6,16.0,7901.6,16.0
New Orleans Saints,20111.239999999998,16.0,14740.24,14.0,17425.739999999998,14.0,3663.600000000001,11.0,3183.0399999999995,14.0,13264.599999999999,21.0,10579.099999999999,20.0,7893.5999999999985,15.0
