,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Minnesota Vikings,19824.239999999998,32.0,14761.239999999998,32.0,17292.739999999998,32.0,4025.2999999999997,23.0,3118.84,32.0,12680.1,32.0,10148.6,32.0,7617.099999999999,32.0
Chicago Bears,19579.479999999996,31.0,14629.48,31.0,17104.48,31.0,4150.299999999999,30.0,2981.48,29.0,12447.699999999999,30.0,9972.699999999999,30.0,7497.7,30.0
St. Louis Rams,19570.02,30.0,14532.02,30.0,17051.02,30.0,3947.9,17.0,3048.3199999999997,31.0,12573.800000000001,31.0,10054.8,31.0,7535.799999999999,31.0
Green Bay Packers,19430.259999999995,29.0,14418.26,29.0,16924.259999999995,29.0,4102.0,28.0,2942.3599999999997,27.0,12385.9,29.0,9879.9,29.0,7373.900000000001,29.0
Denver Broncos,19371.479999999992,28.0,14408.48,28.0,16889.979999999996,28.0,4355.300000000001,32.0,2837.4800000000005,16.0,12178.699999999999,27.0,9697.199999999999,25.0,7215.699999999999,23.0
Kansas City Chiefs,19124.0,27.0,14318.0,27.0,16721.0,27.0,4187.700000000001,31.0,2941.7999999999997,26.0,11994.5,17.0,9591.5,19.0,7188.5,21.0
Baltimore Ravens,19054.0,26.0,14190.999999999998,25.0,16622.5,25.0,4090.3,27.0,2904.2000000000003,25.0,12059.500000000002,23.0,9628.000000000002,22.0,7196.499999999999,22.0
Carolina Panthers,19018.399999999998,25.0,14275.4,26.0,16646.899999999998,26.0,3989.8999999999996,21.0,2989.0,30.0,12039.5,21.0,9668.0,24.0,7296.5,28.0
Seattle Seahawks,18997.819999999996,24.0,14136.82,23.0,16567.319999999996,23.0,3974.2999999999997,20.0,2882.72,23.0,12140.8,25.0,9710.3,27.0,7279.799999999999,27.0
Oakland Raiders,18990.1,23.0,14061.099999999999,22.0,16525.6,22.0,4069.7999999999997,26.0,2847.7999999999993,18.0,12072.5,24.0,9608.0,21.0,7143.5,18.0
Detroit Lions,18989.54,22.0,14060.539999999999,21.0,16525.04,21.0,3973.8,19.0,2851.64,19.0,12164.1,26.0,9699.599999999999,26.0,7235.099999999999,25.0
Tampa Bay Buccaneers,18964.98,21.0,14177.98,24.0,16571.48,24.0,3960.5,18.0,2951.2799999999997,28.0,12053.2,22.0,9659.700000000003,23.0,7266.200000000002,26.0
San Francisco 49ers,18896.399999999994,20.0,13907.400000000001,17.0,16401.899999999998,18.0,3806.9999999999995,9.0,2868.4,22.0,12221.0,28.0,9726.5,28.0,7232.0,24.0
Pittsburgh Steelers,18873.039999999997,19.0,14015.039999999999,20.0,16444.039999999997,20.0,4034.4000000000005,25.0,2845.04,17.0,11993.6,16.0,9564.599999999999,17.0,7135.599999999999,17.0
Dallas Cowboys,18865.32,18.0,13988.32,19.0,16426.82,19.0,4016.1999999999994,22.0,2868.32,21.0,11980.8,15.0,9542.3,15.0,7103.8,15.0
Cleveland Browns,18795.42,17.0,13951.419999999998,18.0,16373.419999999998,17.0,3928.5,15.0,2853.12,20.0,12013.8,19.0,9591.8,20.0,7169.799999999999,20.0
New Orleans Saints,18724.399999999998,16.0,13884.399999999998,16.0,16304.399999999998,16.0,3824.7999999999997,11.0,2899.6000000000004,24.0,12000.000000000002,18.0,9580.000000000002,18.0,7160.000000000001,19.0
San Diego Chargers,18667.42,15.0,13801.42,15.0,16234.42,15.0,4115.1,29.0,2717.5199999999995,8.0,11834.8,13.0,9401.800000000001,12.0,6968.799999999999,12.0
Cincinnati Bengals,18618.860000000004,14.0,13797.859999999999,14.0,16208.359999999997,14.0,3931.7000000000003,16.0,2823.7599999999998,15.0,11863.4,14.0,9452.9,14.0,7042.4,14.0
Arizona Cardinals,18426.439999999995,13.0,13512.44,11.0,15969.44,11.0,3626.0,1.0,2779.8399999999997,14.0,12020.6,20.0,9563.6,16.0,7106.599999999999,16.0
Tennessee Titans,18394.5,12.0,13687.5,13.0,16040.999999999998,13.0,4033.6,24.0,2745.4000000000005,12.0,11615.500000000002,5.0,9262.0,8.0,6908.499999999999,10.0
Jacksonville Jaguars,18386.16,11.0,13583.16,12.0,15984.660000000002,12.0,3827.7,12.0,2753.56,13.0,11804.900000000001,12.0,9403.4,13.0,7001.900000000001,13.0
Buffalo Bills,18273.54,10.0,13409.539999999999,10.0,15841.54,10.0,3899.4,14.0,2638.040000000001,2.0,11736.100000000002,10.0,9304.100000000002,9.0,6872.099999999999,7.0
Houston Texans,18191.979999999996,9.0,13365.979999999998,8.0,15778.98,9.0,3775.7000000000003,8.0,2688.0800000000004,5.0,11728.199999999999,9.0,9315.199999999999,10.0,6902.2,9.0
Indianapolis Colts,18174.679999999997,8.0,13375.679999999998,9.0,15775.179999999998,8.0,3691.3,4.0,2734.68,11.0,11748.7,11.0,9349.2,11.0,6949.700000000001,11.0
Miami Dolphins,18100.8,7.0,13315.8,5.0,15708.3,7.0,3761.3999999999996,6.0,2716.4000000000005,6.0,11623.000000000004,7.0,9230.500000000002,7.0,6838.0,5.0
Atlanta Falcons,18022.719999999998,6.0,13362.720000000001,7.0,15692.720000000003,6.0,3768.8999999999996,7.0,2716.52,7.0,11537.3,3.0,9207.300000000001,3.0,6877.3,8.0
Philadelphia Eagles,18008.06,5.0,13333.060000000003,6.0,15670.560000000001,5.0,3736.3999999999996,5.0,2726.76,10.0,11544.9,4.0,9207.4,4.0,6869.900000000001,6.0
Washington Redskins,17998.0,4.0,13186.0,4.0,15592.0,4.0,3656.4999999999995,2.0,2725.0,9.0,11616.500000000002,6.0,9210.500000000002,5.0,6804.5,3.0
New York Jets,17950.739999999998,3.0,13127.74,1.0,15539.24,3.0,3656.7,3.0,2653.4400000000005,3.0,11640.600000000002,8.0,9229.1,6.0,6817.6,4.0
New York Giants,17882.719999999998,2.0,13180.720000000001,3.0,15531.720000000001,2.0,3863.7999999999997,13.0,2605.12,1.0,11413.8,2.0,9062.8,2.0,6711.8,2.0
New England Patriots,17866.800000000003,1.0,13155.800000000001,2.0,15511.300000000001,1.0,3819.3999999999996,10.0,2666.4,4.0,11381.000000000002,1.0,9025.500000000002,1.0,6670.0,1.0
