,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Seattle Seahawks,19708.62,32.0,14742.62,32.0,17225.62,32.0,4150.1,32.0,3100.72,31.0,12457.800000000001,28.0,9974.800000000001,30.0,7491.8,30.0
Arizona Cardinals,19576.9,31.0,14522.900000000001,30.0,17049.9,31.0,3826.9,21.0,3100.0,30.0,12650.0,32.0,10122.999999999998,32.0,7596.000000000001,32.0
Indianapolis Colts,19484.379999999994,30.0,14546.380000000001,31.0,17015.379999999997,30.0,3817.2,19.0,3165.48,32.0,12501.7,31.0,10032.7,31.0,7563.700000000001,31.0
Jacksonville Jaguars,19437.72,29.0,14389.72,29.0,16913.72,29.0,3947.6999999999994,28.0,3035.72,27.0,12454.300000000003,26.0,9930.300000000001,26.0,7406.300000000001,26.0
St. Louis Rams,19347.08,28.0,14359.08,28.0,16853.08,28.0,3835.8,24.0,3046.080000000001,28.0,12465.2,29.0,9971.2,29.0,7477.200000000001,29.0
Kansas City Chiefs,19196.379999999997,27.0,14207.38,27.0,16701.88,27.0,3871.2000000000003,27.0,2985.4800000000005,23.0,12339.699999999997,23.0,9845.2,23.0,7350.7,22.0
Dallas Cowboys,19151.88,26.0,14094.880000000001,24.0,16623.38,25.0,3685.8,10.0,2982.8800000000006,22.0,12483.199999999999,30.0,9954.7,27.0,7426.2,27.0
Oakland Raiders,19108.98,25.0,14114.980000000001,25.0,16611.98,24.0,3603.7,1.0,3048.0799999999995,29.0,12457.2,27.0,9960.199999999999,28.0,7463.199999999999,28.0
New York Giants,19099.54,24.0,14198.539999999999,26.0,16649.04,26.0,3854.9,26.0,2987.0399999999995,24.0,12257.599999999999,19.0,9807.1,22.0,7356.6,23.0
Tennessee Titans,19062.600000000002,23.0,14045.599999999999,23.0,16554.1,23.0,3833.8999999999996,22.0,2952.2000000000007,19.0,12276.500000000002,21.0,9768.000000000002,19.0,7259.5,18.0
