,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
San Francisco 49ers,21377.56,32.0,15806.56,32.0,18592.06,32.0,3903.1,14.0,3509.56,32.0,13964.9,32.0,11179.4,32.0,8393.899999999998,32.0
Arizona Cardinals,21010.960000000003,31.0,15497.96,31.0,18254.46,31.0,3941.1,18.0,3399.96,30.0,13669.899999999998,30.0,10913.399999999998,30.0,8156.899999999999,29.0
Seattle Seahawks,20808.84,30.0,15325.839999999998,29.0,18067.34,29.0,3861.6,12.0,3348.64,28.0,13598.599999999999,29.0,10857.099999999997,27.0,8115.5999999999985,27.0
St. Louis Rams,20784.52,29.0,15184.52,26.0,17984.52,28.0,3716.0999999999995,4.0,3322.1200000000003,26.0,13746.300000000001,31.0,10946.3,31.0,8146.299999999998,28.0
Green Bay Packers,20777.24,28.0,15383.240000000002,30.0,18080.24,30.0,3763.1,6.0,3454.04,31.0,13560.100000000002,28.0,10863.100000000002,28.0,8166.099999999999,30.0
Minnesota Vikings,20516.840000000004,27.0,15242.84,27.0,17879.840000000004,26.0,3808.0,10.0,3344.240000000001,27.0,13364.6,26.0,10727.6,26.0,8090.599999999999,26.0
Washington Redskins,20487.979999999996,26.0,15321.979999999998,28.0,17904.979999999996,27.0,4184.700000000001,31.0,3252.08,25.0,13051.2,21.0,10468.2,25.0,7885.200000000002,25.0
Jacksonville Jaguars,20442.940000000002,25.0,15065.939999999999,25.0,17754.440000000002,25.0,4170.5,30.0,3125.8399999999992,17.0,13146.599999999999,25.0,10458.099999999999,24.0,7769.599999999999,21.0
Chicago Bears,20391.48,24.0,15047.48,24.0,17719.48,24.0,3454.0000000000005,1.0,3389.279999999999,29.0,13548.199999999997,27.0,10876.199999999997,29.0,8204.199999999999,31.0
Houston Texans,20312.2,23.0,14971.199999999997,22.0,17641.699999999997,23.0,4103.2,26.0,3117.9999999999995,16.0,13091.0,24.0,10420.5,22.0,7749.999999999999,20.0
Indianapolis Colts,20111.420000000002,22.0,14799.42,16.0,17455.420000000002,20.0,3949.6,19.0,3102.52,14.0,13059.299999999997,22.0,10403.299999999997,20.0,7747.299999999999,19.0
Pittsburgh Steelers,20103.199999999997,21.0,15012.199999999997,23.0,17557.699999999997,22.0,3915.3000000000006,16.0,3229.399999999999,23.0,12958.499999999998,20.0,10413.0,21.0,7867.5,24.0
Dallas Cowboys,20047.76,20.0,14959.759999999998,21.0,17503.76,21.0,4087.2000000000007,24.0,3138.16,21.0,12822.4,17.0,10278.400000000001,18.0,7734.400000000001,18.0
Baltimore Ravens,19927.780000000002,19.0,14823.779999999997,19.0,17375.78,18.0,3807.100000000001,9.0,3236.48,24.0,12884.2,19.0,10332.2,19.0,7780.2,22.0
San Diego Chargers,19926.54,18.0,14941.539999999999,20.0,17434.04,19.0,4162.0,29.0,3136.4399999999996,20.0,12628.1,9.0,10135.6,13.0,7643.1,16.0
New York Jets,19883.819999999996,17.0,14818.82,18.0,17351.32,17.0,4273.2,32.0,2975.32,5.0,12635.299999999997,11.0,10102.8,8.0,7570.300000000001,8.0
New Orleans Saints,19845.02,16.0,14816.02,17.0,17330.52,16.0,4104.1,27.0,3087.12,13.0,12653.800000000001,13.0,10139.300000000001,14.0,7624.800000000001,15.0
Philadelphia Eagles,19839.16,15.0,14746.159999999998,14.0,17292.66,15.0,4056.3000000000006,23.0,3109.96,15.0,12672.900000000001,14.0,10126.400000000001,12.0,7579.9000000000015,9.0
Denver Broncos,19803.0,14.0,14775.0,15.0,17288.999999999996,14.0,4037.600000000001,22.0,3134.4000000000005,19.0,12631.0,10.0,10117.000000000002,11.0,7603.0,14.0
Tennessee Titans,19801.760000000002,13.0,14512.759999999998,11.0,17157.260000000002,13.0,3897.3,13.0,3049.56,10.0,12854.899999999998,18.0,10210.4,17.0,7565.9,7.0
Detroit Lions,19745.2,12.0,14506.2,10.0,17125.7,10.0,3500.2,2.0,3180.0,22.0,13064.999999999998,23.0,10445.5,23.0,7826.0,23.0
Carolina Panthers,19681.26,11.0,14601.259999999997,12.0,17141.26,12.0,3914.9000000000005,15.0,3038.96,9.0,12727.399999999998,15.0,10187.399999999998,16.0,7647.4,17.0
Buffalo Bills,19653.8,10.0,14622.8,13.0,17138.3,11.0,4006.3000000000006,20.0,3031.0,8.0,12616.5,8.0,10100.999999999998,7.0,7585.499999999999,11.0
New York Giants,19653.660000000003,9.0,14486.659999999998,9.0,17070.16,9.0,3841.1000000000004,11.0,3058.16,11.0,12754.400000000001,16.0,10170.900000000001,15.0,7587.4000000000015,12.0
Cincinnati Bengals,19471.360000000004,8.0,14460.360000000002,8.0,16965.860000000004,8.0,3734.6000000000004,5.0,3127.3600000000006,18.0,12609.4,7.0,10103.9,9.0,7598.4,13.0
Cleveland Browns,19427.820000000003,7.0,14369.819999999998,7.0,16898.82,7.0,3711.900000000001,3.0,3073.1200000000003,12.0,12642.8,12.0,10113.8,10.0,7584.799999999999,10.0
Kansas City Chiefs,19352.879999999997,6.0,14364.88,6.0,16858.879999999997,6.0,4021.8000000000006,21.0,2984.88,6.0,12346.199999999999,4.0,9852.2,4.0,7358.200000000001,4.0
Atlanta Falcons,19254.52,5.0,14228.52,5.0,16741.519999999997,5.0,4091.7000000000003,25.0,2832.5199999999995,3.0,12330.3,3.0,9817.3,3.0,7304.299999999999,3.0
Tampa Bay Buccaneers,19228.88,4.0,14159.880000000001,3.0,16694.38,4.0,3793.2,7.0,2900.4800000000005,4.0,12535.2,6.0,10000.699999999999,6.0,7466.2,6.0
Oakland Raiders,19210.06,3.0,14173.059999999998,4.0,16691.559999999998,3.0,3799.5000000000005,8.0,2994.16,7.0,12416.400000000001,5.0,9897.9,5.0,7379.4000000000015,5.0
Miami Dolphins,19045.94,2.0,13956.939999999999,1.0,16501.44,1.0,3935.9,17.0,2799.44,2.0,12310.600000000002,2.0,9766.100000000002,2.0,7221.599999999999,2.0
New England Patriots,19035.239999999994,1.0,14025.24,2.0,16530.239999999998,2.0,4116.200000000001,28.0,2741.44,1.0,12177.599999999999,1.0,9672.599999999999,1.0,7167.599999999999,1.0
