,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Chicago Bears,21928.880000000005,32.0,16503.879999999997,32.0,19216.38,32.0,3944.5999999999995,19.0,3692.08,31.0,14292.199999999999,31.0,11579.699999999999,31.0,8867.2,31.0
Green Bay Packers,21838.82,31.0,16398.819999999996,31.0,19118.82,31.0,4024.6999999999994,24.0,3666.3200000000006,30.0,14147.800000000001,29.0,11427.8,29.0,8707.8,29.0
Detroit Lions,21827.140000000003,30.0,16344.140000000001,30.0,19085.640000000003,30.0,3711.3,6.0,3704.2400000000002,32.0,14411.6,32.0,11670.1,32.0,8928.6,32.0
Minnesota Vikings,21788.719999999998,29.0,16308.720000000001,29.0,19048.719999999998,29.0,4009.8,23.0,3569.12,27.0,14209.8,30.0,11469.800000000001,30.0,8729.8,30.0
New Orleans Saints,21707.960000000003,28.0,16294.960000000001,28.0,19001.460000000003,28.0,4186.9,32.0,3559.1600000000003,26.0,13961.9,24.0,11255.4,26.0,8548.9,26.0
Atlanta Falcons,21647.02,27.0,16219.020000000004,27.0,18933.020000000004,27.0,4102.6,29.0,3576.12,28.0,13968.3,26.0,11254.3,25.0,8540.3,25.0
Kansas City Chiefs,21540.3,26.0,16140.3,26.0,18840.3,26.0,3940.5999999999995,18.0,3580.2,29.0,14019.5,27.0,11319.5,28.0,8619.500000000002,28.0
Carolina Panthers,21482.14,25.0,15987.14,24.0,18734.64,25.0,3981.6,21.0,3536.4400000000005,25.0,13964.1,25.0,11216.6,23.0,8469.1,22.0
Denver Broncos,21356.4,24.0,16060.4,25.0,18708.4,24.0,3955.5999999999995,20.0,3518.8,23.0,13882.0,23.0,11234.0,24.0,8586.0,27.0
Tampa Bay Buccaneers,21204.52,23.0,15654.52,19.0,18429.520000000004,21.0,3581.9,2.0,3535.32,24.0,14087.3,28.0,11312.300000000001,27.0,8537.3,24.0
New York Jets,21133.74,22.0,15886.739999999998,23.0,18510.24,23.0,3932.1,17.0,3477.04,22.0,13724.600000000002,21.0,11101.100000000002,22.0,8477.6,23.0
San Diego Chargers,21092.719999999998,21.0,15802.72,22.0,18447.719999999998,22.0,3930.8999999999996,16.0,3436.5199999999995,20.0,13725.3,22.0,11080.3,21.0,8435.3,21.0
Washington Redskins,20980.62,20.0,15677.619999999999,21.0,18329.12,20.0,3821.399999999999,11.0,3452.92,21.0,13706.3,20.0,11054.800000000001,20.0,8403.300000000001,20.0
Dallas Cowboys,20908.56,19.0,15669.559999999998,20.0,18289.06,19.0,4075.3999999999996,27.0,3353.7600000000007,16.0,13479.400000000001,16.0,10859.900000000001,15.0,8240.4,15.0
Buffalo Bills,20813.420000000002,18.0,15584.419999999998,17.0,18198.920000000002,18.0,3868.6,14.0,3404.519999999999,19.0,13540.300000000001,18.0,10925.8,18.0,8311.3,19.0
Philadelphia Eagles,20741.419999999995,17.0,15386.419999999998,13.0,18063.919999999995,15.0,3778.9,8.0,3334.7199999999993,14.0,13627.800000000001,19.0,10950.300000000001,19.0,8272.800000000001,17.0
Oakland Raiders,20719.58,16.0,15549.579999999998,16.0,18134.58,17.0,3870.8999999999996,15.0,3390.48,18.0,13458.2,15.0,10873.2,16.0,8288.2,18.0
New York Giants,20666.399999999998,15.0,15402.400000000001,14.0,18034.4,14.0,3774.4,7.0,3358.0,17.0,13534.000000000002,17.0,10902.0,17.0,8270.000000000002,16.0
Miami Dolphins,20642.28,14.0,15615.280000000002,18.0,18128.78,16.0,4106.1,30.0,3331.4799999999996,13.0,13204.699999999999,14.0,10691.2,14.0,8177.7,14.0
New England Patriots,20539.360000000004,13.0,15488.36,15.0,18013.86,13.0,4061.8,26.0,3340.1599999999994,15.0,13137.400000000001,13.0,10611.9,13.0,8086.4,13.0
Houston Texans,20503.100000000002,12.0,15255.100000000002,12.0,17879.100000000002,12.0,4076.7,28.0,3308.4,12.0,13118.0,12.0,10494.0,12.0,7869.999999999999,12.0
Tennessee Titans,19927.5,11.0,14879.500000000002,11.0,17403.5,11.0,4034.9999999999995,25.0,3195.0000000000005,11.0,12697.500000000002,8.0,10173.5,9.0,7649.499999999999,9.0
