,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Philadelphia Eagles,19759.200000000004,32.0,14893.2,32.0,17326.2,32.0,4132.400000000001,29.0,3168.7999999999997,32.0,12458.0,31.0,10025.0,32.0,7592.000000000001,32.0
Dallas Cowboys,19657.24,31.0,14732.24,31.0,17194.74,31.0,4263.6,30.0,3069.04,29.0,12324.6,27.0,9862.1,26.0,7399.599999999999,27.0
Jacksonville Jaguars,19305.56,30.0,14369.560000000001,28.0,16837.56,29.0,4308.5,31.0,2903.1600000000003,17.0,12093.899999999998,13.0,9625.899999999998,13.0,7157.899999999999,14.0
New Orleans Saints,19304.44,29.0,14399.440000000002,30.0,16851.94,30.0,3737.2999999999997,8.0,3092.0400000000004,31.0,12475.1,32.0,10022.6,31.0,7570.1,31.0
Indianapolis Colts,19256.68,28.0,14221.68,23.0,16739.18,24.0,4064.5000000000005,26.0,2903.48,18.0,12288.7,24.0,9771.2,22.0,7253.7,17.0
Seattle Seahawks,19244.98,27.0,14273.980000000001,24.0,16759.48,26.0,4007.4999999999995,22.0,2925.28,21.0,12312.2,26.0,9826.699999999999,25.0,7341.2,24.0
Chicago Bears,19206.46,26.0,14182.46,20.0,16694.46,22.0,3795.899999999999,10.0,2976.16,24.0,12434.399999999998,30.0,9922.4,29.0,7410.4,28.0
Atlanta Falcons,19202.08,25.0,14362.080000000002,27.0,16782.08,27.0,3809.1,12.0,3082.2799999999993,30.0,12310.700000000003,25.0,9890.7,28.0,7470.7,29.0
New York Giants,19199.32,24.0,14371.320000000002,29.0,16785.32,28.0,4020.6,24.0,3027.919999999999,27.0,12150.800000000001,15.0,9736.800000000001,18.0,7322.8,23.0
Washington Redskins,19184.8,23.0,14274.800000000001,25.0,16729.8,23.0,4090.499999999999,27.0,2919.8,20.0,12174.5,16.0,9719.5,16.0,7264.499999999999,18.0
