,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Carolina Panthers,22987.6,32.0,16982.6,29.0,19985.1,31.0,3931.6000000000004,14.0,3965.9999999999995,31.0,15090.000000000002,32.0,12087.5,32.0,9085.0,31.0
Baltimore Ravens,22987.1,31.0,17118.1,32.0,20052.600000000002,32.0,4237.000000000001,31.0,3892.6,29.0,14857.499999999998,28.0,11923.0,29.0,8988.5,29.0
Cleveland Browns,22891.059999999998,30.0,17032.06,31.0,19961.559999999998,30.0,3942.0000000000005,16.0,3981.16,32.0,14967.9,30.0,12038.400000000001,31.0,9108.899999999998,32.0
Atlanta Falcons,22821.64,29.0,16906.64,27.0,19864.14,28.0,4043.100000000001,22.0,3918.4399999999996,30.0,14860.100000000004,29.0,11902.600000000002,28.0,8945.1,28.0
New Orleans Saints,22809.46,28.0,16882.46,26.0,19845.96,26.0,4107.8,23.0,3862.76,26.0,14838.900000000001,27.0,11875.400000000003,27.0,8911.900000000001,25.0
Pittsburgh Steelers,22788.160000000003,27.0,16937.16,28.0,19862.660000000003,27.0,4159.900000000001,27.0,3838.3599999999997,25.0,14789.899999999998,26.0,11864.399999999998,26.0,8938.900000000001,27.0
Denver Broncos,22746.500000000004,26.0,17013.5,30.0,19880.000000000004,29.0,4216.9000000000015,30.0,3883.6000000000004,27.0,14646.0,23.0,11779.5,25.0,8913.0,26.0
Tampa Bay Buccaneers,22632.72,25.0,16652.72,23.0,19642.72,25.0,3770.0000000000005,5.0,3889.9199999999996,28.0,14972.800000000001,31.0,11982.8,30.0,8992.8,30.0
Cincinnati Bengals,22502.74,24.0,16668.739999999998,24.0,19585.74,23.0,4034.900000000001,21.0,3794.2400000000002,23.0,14673.6,24.0,11756.6,24.0,8839.6,24.0
Los Angeles Chargers,22452.379999999997,23.0,16817.38,25.0,19634.879999999997,24.0,4300.700000000001,32.0,3784.48,22.0,14367.2,17.0,11549.699999999999,18.0,8732.199999999999,21.0
Oakland Raiders,22433.38,22.0,16625.38,22.0,19529.38,22.0,4154.8,26.0,3741.88,18.0,14536.7,20.0,11632.7,21.0,8728.699999999999,20.0
Dallas Cowboys,22246.38,21.0,16346.380000000001,16.0,19296.379999999997,21.0,3796.5000000000005,6.0,3773.6799999999994,21.0,14676.2,25.0,11726.2,23.0,8776.199999999999,22.0
Washington Redskins,22220.780000000002,20.0,16310.779999999999,14.0,19265.780000000002,19.0,3937.600000000001,15.0,3731.4800000000005,16.0,14551.699999999999,21.0,11596.699999999999,20.0,8641.7,18.0
Arizona Cardinals,22089.420000000002,19.0,16477.420000000002,21.0,19283.420000000002,20.0,3874.6000000000004,11.0,3826.5199999999995,24.0,14388.3,18.0,11582.3,19.0,8776.300000000001,23.0
Los Angeles Rams,21998.100000000002,18.0,16355.099999999999,17.0,19176.600000000002,15.0,4024.5,20.0,3759.6000000000004,20.0,14214.0,14.0,11392.5,14.0,8571.0,14.0
San Francisco 49ers,21988.74,17.0,16391.74,18.0,19190.24,17.0,4195.8,28.0,3668.8399999999997,12.0,14124.100000000002,11.0,11325.6,12.0,8527.099999999999,11.0
Kansas City Chiefs,21985.96,16.0,16428.96,20.0,19207.46,18.0,4121.599999999999,24.0,3714.9599999999996,14.0,14149.4,13.0,11370.9,13.0,8592.4,16.0
New York Giants,21960.5,15.0,16007.5,10.0,18984.0,13.0,3577.7000000000007,1.0,3742.7999999999993,19.0,14640.0,22.0,11663.5,22.0,8687.0,19.0
Seattle Seahawks,21950.119999999995,14.0,16404.12,19.0,19177.119999999995,16.0,4136.0,25.0,3738.32,17.0,14075.800000000003,10.0,11302.800000000001,10.0,8529.8,12.0
Jacksonville Jaguars,21817.5,13.0,15944.500000000002,9.0,18881.0,10.0,3727.4000000000005,3.0,3632.6000000000004,10.0,14457.500000000004,19.0,11521.0,17.0,8584.5,15.0
Chicago Bears,21815.800000000003,12.0,16345.800000000001,15.0,19080.8,14.0,4209.8,29.0,3695.9999999999995,13.0,13910.0,7.0,11175.000000000002,8.0,8440.0,9.0
Philadelphia Eagles,21799.0,11.0,16014.999999999998,11.0,18907.0,11.0,3800.9000000000005,7.0,3654.5999999999995,11.0,14343.5,16.0,11451.5,16.0,8559.5,13.0
Minnesota Vikings,21791.199999999997,10.0,16145.199999999999,13.0,18968.199999999997,12.0,3820.1,8.0,3720.5999999999995,15.0,14250.500000000002,15.0,11427.5,15.0,8604.5,17.0
Indianapolis Colts,21689.28,9.0,16040.279999999997,12.0,18864.78,9.0,3949.500000000001,17.0,3607.08,9.0,14132.7,12.0,11308.2,11.0,8483.7,10.0
New England Patriots,21319.74,8.0,15752.740000000002,8.0,18536.24,8.0,3998.2000000000007,19.0,3494.44,4.0,13827.100000000002,3.0,11043.600000000002,4.0,8260.1,4.0
Houston Texans,21287.8,7.0,15582.8,3.0,18435.3,3.0,3989.2000000000003,18.0,3413.6,2.0,13884.999999999998,6.0,11032.499999999998,3.0,8180.0,2.0
Miami Dolphins,21285.96,6.0,15728.960000000003,7.0,18507.46,7.0,3867.9000000000005,10.0,3537.159999999999,8.0,13880.9,5.0,11102.4,6.0,8323.9,7.0
Buffalo Bills,21271.52,5.0,15670.52,5.0,18471.02,5.0,3765.7999999999997,4.0,3529.92,7.0,13975.800000000001,8.0,11175.300000000001,9.0,8374.800000000001,8.0
Green Bay Packers,21265.92,4.0,15702.920000000002,6.0,18484.42,6.0,3898.0,13.0,3521.12,6.0,13846.800000000001,4.0,11065.3,5.0,8283.8,6.0
Detroit Lions,21213.659999999996,3.0,15664.66,4.0,18439.16,4.0,3889.2000000000003,12.0,3519.5599999999995,5.0,13804.900000000001,2.0,11030.400000000001,2.0,8255.9,3.0
Tennessee Titans,21200.36,2.0,15457.36,2.0,18328.86,2.0,3703.6,2.0,3473.3599999999997,3.0,14023.4,9.0,11151.899999999998,7.0,8280.399999999998,5.0
New York Jets,20986.0,1.0,15435.0,1.0,18210.5,1.0,3859.000000000001,9.0,3401.999999999999,1.0,13725.0,1.0,10949.5,1.0,8174.0,1.0
