,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
St. Louis Rams,20443.759999999995,31.0,15412.76,31.0,17928.26,31.0,3843.6000000000004,30.0,3415.7600000000007,31.0,13184.4,31.0,10668.900000000001,31.0,8153.4,31.0
Carolina Panthers,19799.04,30.0,14905.04,30.0,17352.04,30.0,3791.4000000000005,28.0,3199.04,30.0,12808.599999999999,26.0,10361.599999999999,29.0,7914.599999999999,30.0
Jacksonville Jaguars,19632.1,29.0,14775.099999999999,29.0,17203.6,29.0,3915.1,31.0,3184.0000000000005,29.0,12533.0,20.0,10104.5,22.0,7676.000000000001,25.0
Tampa Bay Buccaneers,19523.279999999995,28.0,14349.280000000002,26.0,16936.280000000002,27.0,3510.2,21.0,3060.8799999999997,23.0,12952.2,30.0,10365.2,30.0,7778.200000000001,27.0
San Francisco 49ers,19456.739999999998,27.0,14575.74,28.0,17016.239999999998,28.0,3633.6000000000004,24.0,3144.04,27.0,12679.1,24.0,10238.6,26.0,7798.1,28.0
Dallas Cowboys,19347.7,26.0,14431.699999999999,27.0,16889.7,26.0,3841.4,29.0,2987.8,18.0,12518.5,19.0,10060.500000000002,21.0,7602.500000000001,22.0
Green Bay Packers,19225.44,25.0,14004.439999999999,18.0,16614.94,22.0,3262.8999999999996,8.0,3062.44,24.0,12900.1,29.0,10289.6,27.0,7679.1,26.0
Pittsburgh Steelers,19178.739999999998,24.0,14206.739999999998,25.0,16692.739999999998,25.0,3637.0000000000005,25.0,3055.64,22.0,12486.100000000002,17.0,10000.100000000002,17.0,7514.1,16.0
Atlanta Falcons,19138.08,23.0,14188.079999999998,24.0,16663.079999999998,24.0,3139.4,3.0,3178.4800000000005,28.0,12820.199999999999,28.0,10345.199999999999,28.0,7870.2,29.0
New Orleans Saints,19112.04,22.0,14128.04,23.0,16620.04,23.0,3414.8,15.0,3070.64,25.0,12626.6,23.0,10134.6,24.0,7642.6,24.0
San Diego Chargers,19108.74,21.0,14067.740000000002,21.0,16588.24,21.0,3597.3999999999996,23.0,2949.2399999999993,15.0,12562.100000000002,22.0,10041.6,19.0,7521.1,17.0
Washington Redskins,19019.960000000003,20.0,14074.960000000001,22.0,16547.46,20.0,3515.0,22.0,2992.5600000000004,19.0,12512.4,18.0,10039.9,18.0,7567.4000000000015,21.0
Detroit Lions,18983.58,19.0,13824.580000000002,16.0,16404.08,17.0,3375.399999999999,12.0,2905.4800000000005,14.0,12702.7,25.0,10123.2,23.0,7543.700000000001,19.0
Chicago Bears,18913.14,18.0,13723.140000000001,12.0,16318.140000000001,16.0,3202.5999999999995,6.0,2898.4400000000005,13.0,12812.099999999999,27.0,10217.099999999999,25.0,7622.099999999999,23.0
Tennessee Titans,18822.64,17.0,14049.640000000003,20.0,16436.140000000003,19.0,3678.5,27.0,3000.04,20.0,12144.100000000002,7.0,9757.600000000002,8.0,7371.100000000002,11.0
Minnesota Vikings,18820.04,16.0,13792.040000000003,14.0,16306.040000000003,14.0,3311.4999999999995,10.0,2952.4400000000005,16.0,12556.1,21.0,10042.1,20.0,7528.099999999999,18.0
Baltimore Ravens,18785.78,15.0,14040.779999999999,19.0,16413.28,18.0,3677.100000000001,26.0,3002.48,21.0,12106.199999999999,6.0,9733.699999999999,6.0,7361.2,10.0
Cincinnati Bengals,18747.72,14.0,13807.720000000001,15.0,16277.720000000001,13.0,3399.4,13.0,2987.52,17.0,12360.800000000001,12.0,9890.800000000001,12.0,7420.800000000001,13.0
Arizona Cardinals,18745.2,13.0,13870.2,17.0,16307.700000000003,15.0,3494.2,19.0,2886.0,12.0,12365.000000000002,13.0,9927.500000000002,15.0,7490.000000000001,15.0
New York Giants,18739.28,12.0,13763.279999999999,13.0,16251.28,12.0,3483.2,18.0,2848.88,9.0,12407.2,15.0,9919.2,14.0,7431.2,14.0
Cleveland Browns,18563.14,11.0,13714.14,11.0,16138.64,11.0,3069.6000000000004,2.0,3082.4400000000005,26.0,12411.099999999999,16.0,9986.6,16.0,7562.100000000001,20.0
Philadelphia Eagles,18435.780000000002,10.0,13559.78,10.0,15997.78,10.0,3409.2000000000003,14.0,2847.8800000000006,8.0,12178.699999999999,8.0,9740.699999999999,7.0,7302.700000000001,6.0
Seattle Seahawks,18355.94,9.0,13477.940000000002,8.0,15916.94,8.0,3268.2,9.0,2875.6400000000003,11.0,12212.100000000002,9.0,9773.100000000002,9.0,7334.100000000001,9.0
Kansas City Chiefs,18355.38,8.0,13353.380000000003,5.0,15854.380000000003,6.0,3173.8,5.0,2871.88,10.0,12309.700000000003,11.0,9808.700000000003,11.0,7307.700000000002,7.0
Buffalo Bills,18332.480000000003,7.0,13506.48,9.0,15919.480000000001,9.0,3445.9,17.0,2811.88,5.0,12074.7,4.0,9661.7,4.0,7248.700000000001,5.0
Miami Dolphins,18306.96,6.0,13445.960000000003,7.0,15876.460000000003,7.0,3357.4,11.0,2846.16,7.0,12103.400000000001,5.0,9672.900000000001,5.0,7242.400000000001,4.0
Denver Broncos,18268.520000000004,5.0,13263.52,3.0,15766.020000000002,4.0,3053.8999999999996,1.0,2815.32,6.0,12399.300000000001,14.0,9896.8,13.0,7394.299999999999,12.0
