,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Atlanta Falcons,22966.979999999996,32.0,17062.98,32.0,20014.98,32.0,3745.4999999999995,27.0,4043.2799999999997,32.0,15178.200000000003,32.0,12226.2,32.0,9274.199999999999,32.0
Washington Redskins,22784.580000000005,31.0,16858.58,28.0,19821.579999999998,29.0,3739.9999999999995,26.0,3953.88,29.0,15090.7,30.0,12127.699999999999,30.0,9164.699999999999,29.0
Tampa Bay Buccaneers,22765.519999999997,30.0,16890.52,29.0,19828.019999999997,30.0,3784.9,31.0,3953.3199999999997,28.0,15027.3,29.0,12089.800000000001,29.0,9152.3,28.0
Carolina Panthers,22725.579999999998,29.0,16941.579999999994,31.0,19833.579999999998,31.0,3848.5999999999995,32.0,3976.2800000000007,30.0,14900.699999999999,27.0,12008.7,27.0,9116.7,27.0
Dallas Cowboys,22705.76,28.0,16798.76,27.0,19752.26,27.0,3623.7,22.0,3953.1599999999994,27.0,15128.900000000001,31.0,12175.4,31.0,9221.9,31.0
New York Jets,22672.659999999996,27.0,16940.66,30.0,19806.660000000003,28.0,3779.0,30.0,3988.7599999999998,31.0,14904.900000000001,28.0,12038.9,28.0,9172.900000000001,30.0
New York Giants,22459.2,26.0,16658.2,26.0,19558.7,26.0,3759.4,29.0,3890.8,26.0,14809.0,24.0,11908.5,23.0,9008.0,22.0
Philadelphia Eagles,22447.7,25.0,16619.7,25.0,19533.699999999997,25.0,3695.2,24.0,3885.0,24.0,14867.500000000002,26.0,11953.5,25.0,9039.499999999998,24.0
Houston Texans,22303.1,24.0,16502.1,23.0,19402.600000000002,24.0,3561.8,14.0,3877.7999999999993,22.0,14863.5,25.0,11963.000000000002,26.0,9062.5,26.0
Tennessee Titans,22281.159999999996,23.0,16504.16,24.0,19392.659999999996,23.0,3600.3,21.0,3879.9599999999996,23.0,14800.900000000001,23.0,11912.4,24.0,9023.9,23.0
New England Patriots,22166.179999999997,22.0,16450.18,22.0,19308.18,22.0,3524.7,13.0,3885.2799999999997,25.0,14756.199999999999,22.0,11898.199999999999,22.0,9040.2,25.0
New Orleans Saints,22149.319999999996,21.0,16280.319999999998,19.0,19214.819999999996,21.0,3709.2999999999997,25.0,3751.7199999999993,17.0,14688.300000000001,20.0,11753.800000000001,19.0,8819.300000000001,17.0
Buffalo Bills,22007.719999999994,20.0,16245.720000000001,18.0,19126.719999999998,19.0,3509.5,11.0,3808.9199999999996,18.0,14689.3,21.0,11808.3,21.0,8927.3,20.0
Miami Dolphins,22006.739999999998,19.0,16336.74,21.0,19171.739999999998,20.0,3523.4999999999995,12.0,3864.6400000000003,21.0,14618.6,19.0,11783.600000000002,20.0,8948.600000000002,21.0
Arizona Cardinals,21934.06,18.0,16103.06,17.0,19018.56,17.0,3631.9,23.0,3745.7599999999998,16.0,14556.4,16.0,11640.9,16.0,8725.4,16.0
Jacksonville Jaguars,21868.359999999997,17.0,16281.36,20.0,19074.859999999997,18.0,3599.1999999999994,20.0,3825.7599999999998,19.0,14443.4,15.0,11649.900000000001,17.0,8856.400000000001,18.0
Indianapolis Colts,21813.12,16.0,16086.119999999999,16.0,18949.62,16.0,3387.5999999999995,4.0,3828.7199999999993,20.0,14596.800000000001,18.0,11733.3,18.0,8869.8,19.0
Denver Broncos,21649.000000000004,15.0,15921.0,15.0,18785.0,15.0,3578.5,16.0,3674.9999999999995,14.0,14395.500000000002,14.0,11531.5,14.0,8667.5,15.0
Baltimore Ravens,21590.56,14.0,15697.560000000001,12.0,18644.06,14.0,3408.5,6.0,3623.1600000000003,12.0,14558.9,17.0,11612.4,15.0,8665.900000000001,14.0
Seattle Seahawks,21505.839999999997,13.0,15700.84,13.0,18603.339999999997,13.0,3585.3,17.0,3594.44,9.0,14326.100000000002,10.0,11423.600000000002,11.0,8521.099999999999,11.0
San Diego Chargers,21429.660000000003,12.0,15644.659999999996,10.0,18537.16,12.0,3410.7,7.0,3646.5599999999995,13.0,14372.399999999998,13.0,11479.899999999998,13.0,8587.400000000001,12.0
Cincinnati Bengals,21369.920000000002,11.0,15673.92,11.0,18521.92,10.0,3363.2,2.0,3679.9199999999996,15.0,14326.800000000001,11.0,11478.800000000001,12.0,8630.8,13.0
Detroit Lions,21355.520000000004,10.0,15710.52,14.0,18533.020000000004,11.0,3589.3,18.0,3616.9199999999996,11.0,14149.3,6.0,11326.8,7.0,8504.3,10.0
Minnesota Vikings,21288.600000000002,9.0,15614.599999999999,9.0,18451.600000000002,9.0,3753.1,28.0,3517.0,3.0,14018.5,4.0,11181.5,4.0,8344.5,3.0
St. Louis Rams,21277.760000000002,8.0,15592.760000000002,8.0,18435.260000000002,8.0,3506.3,9.0,3605.56,10.0,14165.9,7.0,11323.399999999998,6.0,8480.9,9.0
Pittsburgh Steelers,21267.02,7.0,15503.02,6.0,18385.02,7.0,3451.0999999999995,8.0,3571.1199999999994,7.0,14244.800000000001,8.0,11362.800000000001,9.0,8480.800000000001,8.0
Kansas City Chiefs,21214.58,6.0,15538.580000000002,7.0,18376.58,6.0,3507.4,10.0,3593.48,8.0,14113.700000000003,5.0,11275.700000000003,5.0,8437.7,5.0
San Francisco 49ers,21171.82,5.0,15377.820000000002,5.0,18274.82,5.0,3367.7000000000003,3.0,3548.3199999999997,5.0,14255.800000000001,9.0,11358.8,8.0,8461.8,6.0
Chicago Bears,21058.739999999998,4.0,15371.74,4.0,18215.24,4.0,3594.5,19.0,3486.6399999999994,2.0,13977.6,3.0,11134.1,2.0,8290.6,2.0
Cleveland Browns,21052.160000000003,3.0,15181.16,1.0,18116.660000000003,3.0,3172.1,1.0,3537.16,4.0,14342.9,12.0,11407.399999999998,10.0,8471.9,7.0
Green Bay Packers,20949.420000000002,2.0,15272.419999999998,2.0,18110.92,1.0,3568.100000000001,15.0,3475.5199999999995,1.0,13905.800000000001,1.0,11067.300000000001,1.0,8228.8,1.0
Oakland Raiders,20889.340000000004,1.0,15334.34,3.0,18111.84,2.0,3390.4999999999995,5.0,3554.24,6.0,13944.599999999999,2.0,11167.1,3.0,8389.6,4.0
