,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Tampa Bay Buccaneers,20658.08,32.0,15415.079999999998,31.0,18036.58,32.0,4518.0,31.0,3206.8800000000006,28.0,12933.2,30.0,10311.7,29.0,7690.2,28.0
Buffalo Bills,20630.019999999997,31.0,15439.019999999999,32.0,18034.519999999997,31.0,4168.3,17.0,3321.92,32.0,13139.800000000001,32.0,10544.300000000001,32.0,7948.8,32.0
Carolina Panthers,20356.659999999996,30.0,15282.66,30.0,17819.659999999996,30.0,4457.0,29.0,3158.7599999999998,25.0,12740.900000000001,24.0,10203.900000000001,24.0,7666.9,27.0
Oakland Raiders,20322.520000000004,29.0,15058.520000000002,26.0,17690.520000000004,27.0,4228.999999999999,22.0,3164.7200000000007,26.0,12928.8,29.0,10296.800000000001,28.0,7664.8,26.0
Miami Dolphins,20315.64,28.0,15175.64,29.0,17745.64,29.0,4169.9,18.0,3253.640000000001,29.0,12892.100000000002,28.0,10322.1,30.0,7752.099999999999,31.0
Denver Broncos,20303.18,27.0,15160.179999999998,28.0,17731.68,28.0,4380.200000000001,25.0,3128.28,24.0,12794.7,27.0,10223.2,26.0,7651.700000000001,24.0
New York Jets,20222.6,26.0,15091.599999999999,27.0,17657.1,26.0,4254.199999999999,23.0,3184.4000000000005,27.0,12784.0,26.0,10218.5,25.0,7653.0,25.0
New Orleans Saints,20194.28,25.0,15050.279999999999,24.0,17622.280000000002,25.0,4448.2,28.0,3088.88,20.0,12657.200000000003,20.0,10085.200000000003,21.0,7513.2,20.0
Kansas City Chiefs,20089.88,24.0,14902.880000000001,21.0,17496.38,21.0,4275.3,24.0,3097.8799999999997,23.0,12716.7,22.0,10123.2,22.0,7529.7,22.0
Minnesota Vikings,20086.719999999998,23.0,15026.720000000001,22.0,17556.72,23.0,4428.400000000001,27.0,3065.52,16.0,12592.8,19.0,10062.8,19.0,7532.8,23.0
Atlanta Falcons,20081.8,22.0,15048.800000000001,23.0,17565.3,24.0,4464.799999999999,30.0,3070.0,17.0,12547.000000000002,18.0,10030.500000000002,18.0,7514.0,21.0
San Francisco 49ers,20047.400000000005,21.0,15056.400000000001,25.0,17551.9,22.0,4050.2,15.0,3277.2,31.0,12720.0,23.0,10224.5,27.0,7729.0,29.0
