,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
New Orleans Saints,20630.86,31.0,15471.86,31.0,18051.36,31.0,4147.0,30.0,3273.9600000000005,29.0,13209.900000000001,31.0,10630.4,31.0,8050.9,30.0
Denver Broncos,20467.280000000002,30.0,15363.279999999999,30.0,17915.28,30.0,3988.7,27.0,3331.88,31.0,13146.700000000003,30.0,10594.7,29.0,8042.7,29.0
Carolina Panthers,20238.2,29.0,15211.2,29.0,17724.700000000004,29.0,4052.2999999999997,28.0,3247.4000000000005,28.0,12938.500000000002,25.0,10425.000000000002,27.0,7911.500000000001,28.0
San Francisco 49ers,20146.66,28.0,15049.659999999998,27.0,17598.16,27.0,3974.1999999999994,25.0,3203.5600000000004,27.0,12968.900000000003,27.0,10420.400000000001,26.0,7871.900000000001,26.0
Kansas City Chiefs,20138.82,27.0,15066.82,28.0,17602.82,28.0,3720.3,15.0,3278.7200000000003,30.0,13139.800000000003,29.0,10603.800000000001,30.0,8067.799999999999,31.0
Oakland Raiders,20027.239999999998,26.0,15034.24,26.0,17530.739999999998,26.0,3986.000000000001,26.0,3178.6400000000003,26.0,12862.600000000002,23.0,10366.100000000002,24.0,7869.6,25.0
St. Louis Rams,19778.939999999995,25.0,14660.939999999999,25.0,17219.940000000002,25.0,3805.4000000000005,20.0,3106.44,24.0,12867.100000000002,24.0,10308.100000000002,23.0,7749.100000000001,23.0
Atlanta Falcons,19775.06,24.0,14588.06,24.0,17181.559999999998,24.0,3752.3,16.0,3057.3600000000006,23.0,12965.400000000001,26.0,10371.900000000001,25.0,7778.400000000001,24.0
Seattle Seahawks,19643.08,23.0,14531.079999999998,23.0,17087.079999999998,23.0,3459.100000000001,4.0,3176.28,25.0,13007.7,28.0,10451.7,28.0,7895.700000000001,27.0
San Diego Chargers,19392.519999999997,22.0,14300.519999999999,22.0,16846.52,22.0,3572.9000000000005,9.0,3013.3200000000006,22.0,12806.300000000001,22.0,10260.300000000003,22.0,7714.3,22.0
