,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Miami Dolphins,19369.02,31.0,14407.019999999999,30.0,16888.02,31.0,3979.5,31.0,2952.7200000000003,27.0,12436.8,29.0,9955.8,29.0,7474.799999999998,29.0
St. Louis Rams,19284.68,30.0,14434.68,31.0,16859.68,30.0,3726.0,22.0,3044.4799999999996,31.0,12514.2,31.0,10089.2,31.0,7664.2,31.0
San Francisco 49ers,19239.499999999996,29.0,14369.499999999996,29.0,16804.499999999996,29.0,3792.0,25.0,3041.0,30.0,12406.5,28.0,9971.499999999998,30.0,7536.499999999998,30.0
New England Patriots,19165.12,28.0,14351.119999999999,28.0,16758.12,28.0,3979.4000000000005,30.0,2965.9199999999996,28.0,12219.8,18.0,9812.8,22.0,7405.799999999997,26.0
New Orleans Saints,19035.92,27.0,14138.92,27.0,16587.42,27.0,3827.0,27.0,2881.12,18.0,12327.800000000001,25.0,9879.3,27.0,7430.799999999999,27.0
Green Bay Packers,19013.899999999998,26.0,14042.900000000001,25.0,16528.4,26.0,3709.3000000000006,21.0,2901.5999999999995,21.0,12403.0,27.0,9917.5,28.0,7431.999999999999,28.0
Buffalo Bills,18895.219999999998,25.0,13973.219999999998,24.0,16434.219999999998,25.0,3674.7000000000003,19.0,2916.72,24.0,12303.800000000001,22.0,9842.8,23.0,7381.799999999998,24.0
Pittsburgh Steelers,18888.54,24.0,13873.539999999999,20.0,16381.04,23.0,3859.3,29.0,2836.6400000000003,12.0,12192.599999999999,15.0,9685.099999999999,15.0,7177.599999999999,11.0
Oakland Raiders,18840.899999999998,23.0,13896.900000000001,22.0,16368.900000000001,22.0,3505.2,13.0,3002.2000000000003,29.0,12333.5,26.0,9861.5,25.0,7389.499999999998,25.0
Atlanta Falcons,18814.559999999998,22.0,13878.559999999998,21.0,16346.559999999998,20.0,3606.3000000000006,15.0,2896.36,20.0,12311.9,23.0,9843.9,24.0,7375.899999999999,23.0
Carolina Panthers,18797.619999999995,21.0,13898.619999999999,23.0,16348.119999999999,21.0,3707.1000000000004,20.0,2874.7200000000003,17.0,12215.8,17.0,9766.3,18.0,7316.799999999999,21.0
Chicago Bears,18785.02,20.0,13794.02,19.0,16289.52,19.0,3806.1000000000004,26.0,2793.12,8.0,12185.8,14.0,9690.3,16.0,7194.800000000001,14.0
New York Jets,18779.32,19.0,14045.319999999996,26.0,16412.32,24.0,3852.3000000000006,28.0,2917.7200000000003,25.0,12009.3,8.0,9642.299999999997,11.0,7275.299999999998,18.0
Denver Broncos,18611.36,18.0,13750.359999999999,18.0,16180.859999999999,18.0,3663.7000000000003,18.0,2888.76,19.0,12058.9,10.0,9628.399999999998,9.0,7197.899999999999,15.0
Baltimore Ravens,18571.3,17.0,13498.3,12.0,16034.800000000001,16.0,3432.9999999999995,8.0,2825.7999999999997,10.0,12312.500000000002,24.0,9776.0,19.0,7239.499999999999,16.0
Dallas Cowboys,18548.280000000002,16.0,13676.279999999999,17.0,16112.28,17.0,3423.0,7.0,2902.08,22.0,12223.199999999997,19.0,9787.199999999997,21.0,7351.200000000001,22.0
Washington Redskins,18498.519999999997,15.0,13538.520000000002,15.0,16018.519999999999,15.0,3321.2999999999997,4.0,2934.9199999999996,26.0,12242.299999999997,20.0,9762.3,17.0,7282.299999999999,20.0
Cleveland Browns,18460.68,14.0,13279.68,4.0,15870.180000000004,7.0,3098.1,1.0,2905.88,23.0,12456.699999999999,30.0,9866.199999999999,26.0,7275.699999999998,19.0
Kansas City Chiefs,18451.96,13.0,13485.960000000001,10.0,15968.96,13.0,3456.2999999999997,11.0,2842.7600000000007,14.0,12152.9,11.0,9669.9,13.0,7186.899999999999,12.0
Tampa Bay Buccaneers,18428.659999999996,12.0,13408.66,9.0,15918.659999999998,12.0,3415.6000000000004,6.0,2857.16,15.0,12155.9,12.0,9645.9,12.0,7135.899999999999,9.0
Jacksonville Jaguars,18412.58,11.0,13378.58,8.0,15895.58,9.0,3447.5000000000005,10.0,2808.8799999999997,9.0,12156.199999999999,13.0,9639.199999999999,10.0,7122.199999999999,7.0
Philadelphia Eagles,18380.620000000003,10.0,13560.619999999999,16.0,15970.619999999999,14.0,3574.1,14.0,2840.72,13.0,11965.8,6.0,9555.8,7.0,7145.8,10.0
Minnesota Vikings,18356.9,9.0,13326.9,6.0,15841.900000000001,6.0,3232.0,2.0,2831.3999999999996,11.0,12293.499999999998,21.0,9778.5,20.0,7263.5,17.0
San Diego Chargers,18334.72,8.0,13491.720000000001,11.0,15913.220000000001,11.0,3733.6,23.0,2754.32,7.0,11846.8,5.0,9425.3,5.0,7003.799999999999,5.0
Indianapolis Colts,18297.260000000002,7.0,13511.259999999998,14.0,15904.259999999998,10.0,3755.6,24.0,2738.7600000000007,5.0,11802.900000000001,4.0,9409.900000000001,4.0,7016.899999999999,6.0
Arizona Cardinals,18284.64,6.0,13499.640000000003,13.0,15892.14,8.0,3443.6000000000004,9.0,2865.4399999999996,16.0,11975.600000000002,7.0,9583.100000000002,8.0,7190.599999999999,13.0
Cincinnati Bengals,18244.420000000002,5.0,13161.42,3.0,15702.920000000002,3.0,3305.2999999999993,3.0,2724.32,3.0,12214.799999999997,16.0,9673.3,14.0,7131.799999999999,8.0
Seattle Seahawks,18121.56,4.0,13355.560000000001,7.0,15738.560000000001,5.0,3660.0,17.0,2738.16,4.0,11723.399999999998,1.0,9340.4,3.0,6957.399999999999,3.0
New York Giants,18111.380000000005,3.0,13306.380000000001,5.0,15708.880000000001,4.0,3626.4,16.0,2754.2799999999997,6.0,11730.699999999997,2.0,9328.199999999999,2.0,6925.7,2.0
Detroit Lions,18080.44,2.0,13047.440000000002,2.0,15563.939999999999,2.0,3377.7000000000003,5.0,2669.6399999999994,2.0,12033.100000000002,9.0,9516.6,6.0,7000.099999999999,4.0
Tennessee Titans,17874.6,1.0,12925.6,1.0,15400.1,1.0,3497.0000000000005,12.0,2623.6000000000004,1.0,11753.999999999998,3.0,9279.5,1.0,6804.999999999999,1.0
