,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Tampa Bay Buccaneers,22724.14,32.0,16884.140000000003,32.0,19804.14,32.0,4193.199999999999,32.0,3836.8399999999992,31.0,14694.1,30.0,11774.100000000002,31.0,8854.1,31.0
Carolina Panthers,22410.239999999998,31.0,16501.24,30.0,19455.739999999998,31.0,3735.5,4.0,3855.64,32.0,14819.099999999995,32.0,11864.599999999999,32.0,8910.1,32.0
Atlanta Falcons,22364.4,30.0,16418.4,26.0,19391.4,28.0,3890.7,15.0,3764.2000000000003,29.0,14709.500000000002,31.0,11736.500000000002,30.0,8763.500000000002,29.0
New Orleans Saints,22344.920000000006,29.0,16448.920000000002,29.0,19396.920000000006,29.0,4047.2999999999993,25.0,3735.32,27.0,14562.300000000001,28.0,11614.300000000001,28.0,8666.3,27.0
Jacksonville Jaguars,22271.16,28.0,16448.16,28.0,19359.66,27.0,3842.6999999999994,8.0,3797.5600000000004,30.0,14630.900000000001,29.0,11719.4,29.0,8807.9,30.0
Indianapolis Colts,22260.14,27.0,16584.14,31.0,19422.14,30.0,4109.7,30.0,3757.8399999999997,28.0,14392.6,26.0,11554.6,27.0,8716.6,28.0
San Francisco 49ers,22183.56,26.0,16447.56,27.0,19315.56,26.0,4126.5,31.0,3685.16,22.0,14371.9,25.0,11503.899999999998,25.0,8635.900000000001,26.0
Tennessee Titans,22003.679999999997,25.0,16303.68,25.0,19153.679999999997,25.0,4091.1999999999994,29.0,3671.28,20.0,14241.2,19.0,11391.200000000003,20.0,8541.2,21.0
Minnesota Vikings,21928.499999999996,24.0,16233.500000000002,24.0,19081.0,24.0,4035.2,23.0,3671.7999999999997,21.0,14221.5,18.0,11374.0,19.0,8526.5,20.0
Philadelphia Eagles,21910.52,23.0,16135.519999999999,21.0,19023.020000000004,23.0,3980.2,19.0,3643.5200000000004,19.0,14286.799999999997,22.0,11399.3,21.0,8511.8,19.0
Chicago Bears,21886.420000000002,22.0,16142.42,22.0,19014.42,21.0,3857.5999999999995,11.0,3696.52,25.0,14332.300000000001,24.0,11460.300000000001,24.0,8588.300000000001,22.0
Los Angeles Chargers,21858.92,21.0,16181.92,23.0,19020.42,22.0,3890.8,16.0,3686.32,23.0,14281.8,21.0,11443.3,22.0,8604.8,25.0
Dallas Cowboys,21848.119999999995,20.0,16132.119999999999,20.0,18990.12,20.0,3848.6000000000004,10.0,3688.72,24.0,14310.8,23.0,11452.8,23.0,8594.8,23.0
New York Giants,21815.959999999995,19.0,15987.96,17.0,18901.959999999995,19.0,3672.6999999999994,1.0,3716.3599999999997,26.0,14426.9,27.0,11512.9,26.0,8598.900000000001,24.0
Green Bay Packers,21754.059999999994,18.0,15992.06,18.0,18873.059999999998,18.0,3978.5999999999995,18.0,3627.5600000000004,18.0,14147.900000000001,17.0,11266.9,17.0,8385.9,16.0
