,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Washington Redskins,22827.120000000003,32.0,16964.12,31.0,19895.620000000003,32.0,3940.9,24.0,3866.9200000000005,32.0,15019.3,32.0,12087.8,32.0,9156.3,32.0
Philadelphia Eagles,22727.760000000002,31.0,16973.760000000002,32.0,19850.760000000006,31.0,3987.6,28.0,3865.7599999999998,31.0,14874.4,30.0,11997.4,31.0,9120.4,31.0
New York Giants,22624.38,30.0,16811.379999999997,29.0,19717.88,30.0,3919.0,21.0,3802.6800000000003,29.0,14902.700000000003,31.0,11996.200000000003,30.0,9089.699999999999,30.0
Detroit Lions,22544.86,29.0,16816.86,30.0,19680.86,29.0,4035.0,31.0,3803.96,30.0,14705.900000000001,29.0,11841.9,29.0,8977.900000000001,29.0
Kansas City Chiefs,22320.720000000005,28.0,16639.72,28.0,19480.22,28.0,4045.8999999999996,32.0,3768.5200000000004,28.0,14506.300000000001,25.0,11665.800000000001,25.0,8825.3,25.0
Green Bay Packers,22284.74,27.0,16577.739999999998,27.0,19431.24,27.0,4011.7000000000003,30.0,3725.44,26.0,14547.6,26.0,11694.100000000002,26.0,8840.6,26.0
Dallas Cowboys,22265.52,26.0,16561.52,26.0,19413.52,26.0,3965.9,25.0,3725.32,25.0,14574.300000000001,28.0,11722.300000000003,28.0,8870.300000000001,28.0
Chicago Bears,22139.260000000002,25.0,16425.26,24.0,19282.26,25.0,3813.4999999999995,16.0,3765.3600000000006,27.0,14560.4,27.0,11703.4,27.0,8846.4,27.0
Denver Broncos,22081.120000000003,24.0,16469.119999999995,25.0,19275.119999999995,24.0,3966.1000000000004,26.0,3719.72,24.0,14395.300000000003,24.0,11589.300000000001,24.0,8783.3,24.0
San Diego Chargers,21991.74,23.0,16337.739999999998,22.0,19164.74,23.0,3935.3000000000006,23.0,3667.84,23.0,14388.600000000004,23.0,11561.600000000002,23.0,8734.6,23.0
Oakland Raiders,21949.980000000003,22.0,16347.980000000001,23.0,19148.980000000003,22.0,3974.8,27.0,3661.4800000000005,22.0,14313.700000000003,22.0,11512.700000000003,22.0,8711.699999999999,22.0
Cincinnati Bengals,21480.200000000004,21.0,16041.2,21.0,18760.700000000004,21.0,3992.499999999999,29.0,3572.2000000000007,21.0,13915.5,19.0,11196.000000000002,20.0,8476.5,21.0
Baltimore Ravens,21344.960000000003,20.0,15853.960000000001,20.0,18599.460000000003,20.0,3923.6,22.0,3538.96,19.0,13882.4,18.0,11136.9,17.0,8391.4,17.0
Pittsburgh Steelers,21331.699999999997,19.0,15796.699999999999,19.0,18564.199999999997,19.0,3797.0,14.0,3542.2000000000003,20.0,13992.5,21.0,11225.0,21.0,8457.5,20.0
Minnesota Vikings,21300.039999999997,18.0,15769.04,17.0,18534.54,18.0,3903.2000000000003,20.0,3464.24,16.0,13932.600000000002,20.0,11167.1,19.0,8401.600000000002,18.0
Cleveland Browns,21233.239999999998,17.0,15796.240000000002,18.0,18514.74,17.0,3867.5000000000005,19.0,3507.6400000000003,17.0,13858.100000000002,16.0,11139.600000000002,18.0,8421.099999999999,19.0
Tennessee Titans,21041.92,16.0,15632.92,16.0,18337.42,16.0,3793.5999999999995,13.0,3515.52,18.0,13732.8,12.0,11028.3,14.0,8323.8,16.0
Houston Texans,21019.020000000004,15.0,15520.02,15.0,18269.52,15.0,3836.1,18.0,3411.1200000000003,14.0,13771.800000000003,14.0,11022.300000000001,13.0,8272.8,14.0
New Orleans Saints,20889.080000000005,14.0,15324.080000000002,12.0,18106.58,14.0,3650.7,8.0,3376.6799999999994,9.0,13861.7,17.0,11079.199999999999,16.0,8296.699999999999,15.0
Seattle Seahawks,20872.36,13.0,15277.36,10.0,18074.86,11.0,3608.8999999999996,4.0,3431.56,15.0,13831.9,15.0,11034.399999999998,15.0,8236.9,11.0
Buffalo Bills,20843.64,12.0,15365.640000000001,14.0,18104.64,13.0,3713.4,11.0,3410.64,12.0,13719.600000000002,11.0,10980.6,11.0,8241.6,12.0
Indianapolis Colts,20827.320000000003,11.0,15346.320000000002,13.0,18086.820000000003,12.0,3812.3,15.0,3389.7200000000003,10.0,13625.3,10.0,10884.8,9.0,8144.299999999998,9.0
Carolina Panthers,20787.32,10.0,15302.32,11.0,18044.820000000003,10.0,3638.7999999999997,5.0,3410.7200000000003,13.0,13737.800000000003,13.0,10995.300000000001,12.0,8252.8,13.0
Miami Dolphins,20681.199999999997,9.0,15271.199999999999,9.0,17976.199999999997,9.0,3651.9999999999995,9.0,3409.2000000000003,11.0,13620.000000000002,9.0,10915.0,10.0,8210.0,10.0
New York Jets,20656.86,8.0,15218.86,8.0,17937.86,8.0,3826.7,17.0,3319.7599999999993,6.0,13510.400000000001,8.0,10791.4,7.0,8072.4,6.0
Jacksonville Jaguars,20582.860000000004,7.0,15194.860000000002,7.0,17888.860000000004,7.0,3765.3,12.0,3352.1600000000003,7.0,13465.4,5.0,10771.400000000001,6.0,8077.4000000000015,7.0
New England Patriots,20535.360000000004,6.0,15153.359999999999,6.0,17844.36,6.0,3666.3,10.0,3369.16,8.0,13499.9,6.0,10808.900000000001,8.0,8117.9000000000015,8.0
San Francisco 49ers,20379.7,5.0,14967.7,5.0,17673.700000000004,5.0,3648.9999999999995,7.0,3300.2,5.0,13430.500000000002,4.0,10724.5,4.0,8018.5,5.0
St. Louis Rams,20290.24,4.0,14849.24,4.0,17569.74,4.0,3639.7999999999993,6.0,3241.8399999999992,3.0,13408.6,3.0,10688.1,3.0,7967.600000000001,3.0
Tampa Bay Buccaneers,20203.48,3.0,14706.48,3.0,17454.98,3.0,3445.9999999999995,1.0,3251.2799999999997,4.0,13506.199999999999,7.0,10757.699999999999,5.0,8009.2,4.0
Arizona Cardinals,20108.000000000004,2.0,14662.999999999996,2.0,17385.500000000004,2.0,3601.2999999999997,3.0,3188.2000000000003,1.0,13318.500000000002,1.0,10596.000000000002,1.0,7873.5,1.0
Atlanta Falcons,20092.539999999997,1.0,14650.54,1.0,17371.539999999997,1.0,3468.2999999999997,2.0,3216.64,2.0,13407.600000000002,2.0,10686.6,2.0,7965.600000000001,2.0
