,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Seattle Seahawks,22338.14,32.0,16602.14,32.0,19470.14,32.0,3992.3999999999996,25.0,3803.64,32.0,14542.1,28.0,11674.099999999999,30.0,8806.099999999999,32.0
Tampa Bay Buccaneers,22267.1,31.0,16359.099999999995,30.0,19313.1,30.0,3914.1999999999994,23.0,3721.3999999999996,28.0,14631.500000000004,30.0,11677.500000000002,31.0,8723.5,30.0
New York Giants,22246.8,30.0,16286.8,29.0,19266.8,29.0,3693.6,8.0,3787.2000000000003,31.0,14766.000000000002,32.0,11786.000000000002,32.0,8806.0,31.0
Arizona Cardinals,22195.480000000003,29.0,16469.479999999996,31.0,19332.48,31.0,4092.199999999999,31.0,3728.08,30.0,14375.200000000003,20.0,11512.2,21.0,8649.2,24.0
Pittsburgh Steelers,22024.840000000004,28.0,16213.84,26.0,19119.34,27.0,3812.9999999999995,15.0,3696.2400000000002,26.0,14515.6,27.0,11610.1,27.0,8704.6,29.0
Carolina Panthers,22011.96,27.0,16275.959999999997,28.0,19143.96,28.0,4062.2999999999993,30.0,3630.7599999999998,17.0,14318.900000000001,17.0,11450.900000000003,18.0,8582.9,19.0
New Orleans Saints,21967.979999999996,26.0,16120.98,21.0,19044.479999999996,24.0,3849.2,16.0,3629.08,16.0,14489.700000000003,23.0,11566.2,24.0,8642.699999999999,23.0
Philadelphia Eagles,21955.56,25.0,15926.56,14.0,18941.06,16.0,3645.899999999999,6.0,3652.7599999999998,23.0,14656.9,31.0,11642.4,29.0,8627.9,22.0
Baltimore Ravens,21942.920000000002,24.0,16162.920000000002,24.0,19052.920000000002,25.0,3964.9999999999986,24.0,3635.120000000001,19.0,14342.800000000003,18.0,11452.800000000001,19.0,8562.8,17.0
Minnesota Vikings,21922.18,23.0,16003.179999999998,16.0,18962.68,19.0,3597.3,3.0,3725.68,29.0,14599.199999999999,29.0,11639.699999999999,28.0,8680.199999999999,25.0
Atlanta Falcons,21918.899999999998,22.0,16224.9,27.0,19071.9,26.0,3890.9000000000005,19.0,3647.9999999999995,22.0,14380.0,21.0,11533.0,22.0,8686.0,27.0
Denver Broncos,21918.42,21.0,16106.419999999998,19.0,19012.42,22.0,3759.6000000000004,12.0,3644.520000000001,20.0,14514.3,26.0,11608.300000000001,26.0,8702.3,28.0
Dallas Cowboys,21887.3,20.0,16126.3,22.0,19006.799999999996,21.0,3908.0999999999995,22.0,3617.2,13.0,14362.000000000002,19.0,11481.5,20.0,8601.0,21.0
San Diego Chargers,21858.020000000004,19.0,16189.02,25.0,19023.520000000004,23.0,3995.3,27.0,3625.9200000000005,15.0,14236.800000000001,13.0,11402.3,14.0,8567.8,18.0
Chicago Bears,21855.659999999996,18.0,16040.659999999998,17.0,18948.16,17.0,3638.1,5.0,3720.16,27.0,14497.4,24.0,11589.9,25.0,8682.400000000001,26.0
Los Angeles Rams,21855.46,17.0,16148.459999999997,23.0,19001.96,20.0,3994.899999999999,26.0,3632.1599999999994,18.0,14228.400000000001,12.0,11374.900000000001,12.0,8521.400000000001,14.0
Buffalo Bills,21802.140000000003,16.0,16117.14,20.0,18959.64,18.0,3881.7999999999997,18.0,3683.240000000001,25.0,14237.1,14.0,11394.6,13.0,8552.1,16.0
New York Jets,21729.620000000003,15.0,16071.620000000003,18.0,18900.620000000003,15.0,4053.5999999999995,29.0,3583.72,9.0,14092.300000000001,7.0,11263.300000000001,8.0,8434.300000000001,9.0
San Francisco 49ers,21672.059999999998,14.0,15854.06,10.0,18763.059999999998,14.0,3714.899999999999,9.0,3645.7599999999998,21.0,14311.4,15.0,11402.400000000001,15.0,8493.400000000001,13.0
Detroit Lions,21611.879999999997,13.0,15823.879999999997,9.0,18717.879999999994,9.0,3637.5999999999995,4.0,3656.0799999999995,24.0,14318.199999999999,16.0,11424.199999999997,16.0,8530.199999999999,15.0
Kansas City Chiefs,21603.3,12.0,15893.300000000001,11.0,18748.3,13.0,3894.1999999999994,20.0,3554.6000000000004,5.0,14154.500000000004,9.0,11299.500000000002,9.0,8444.5,10.0
Miami Dolphins,21563.5,11.0,15923.499999999996,12.0,18743.5,11.0,3896.0,21.0,3599.0,11.0,14068.5,6.0,11248.5,6.0,8428.5,8.0
Washington Redskins,21552.5,10.0,15631.5,5.0,18592.0,6.0,3423.4999999999995,1.0,3620.0,14.0,14509.0,25.0,11548.499999999998,23.0,8588.0,20.0
Houston Texans,21528.519999999997,9.0,15773.520000000002,8.0,18651.02,8.0,3726.0999999999995,11.0,3592.1200000000003,10.0,14210.3,10.0,11332.8,11.0,8455.3,11.0
Tennessee Titans,21516.439999999995,8.0,15926.439999999999,13.0,18721.44,10.0,4002.6,28.0,3580.2400000000007,8.0,13933.599999999999,3.0,11138.599999999999,3.0,8343.6,4.0
New England Patriots,21504.38,7.0,15991.38,15.0,18747.88,12.0,4190.0,32.0,3538.6800000000003,4.0,13775.699999999999,1.0,11019.199999999999,1.0,8262.7,2.0
Cleveland Browns,21498.96,6.0,15595.959999999997,2.0,18547.46,3.0,3587.999999999999,2.0,3528.5600000000004,3.0,14382.400000000001,22.0,11430.900000000001,17.0,8479.4,12.0
Cincinnati Bengals,21485.6,5.0,15763.6,7.0,18624.6,7.0,3806.2,14.0,3558.400000000001,6.0,14121.000000000002,8.0,11260.000000000002,7.0,8399.0,6.0
Green Bay Packers,21469.52,4.0,15626.519999999997,4.0,18548.019999999997,5.0,3646.0999999999995,7.0,3600.1200000000003,12.0,14223.300000000001,11.0,11301.8,10.0,8380.3,5.0
Jacksonville Jaguars,21365.979999999996,3.0,15729.979999999998,6.0,18547.979999999996,4.0,3761.6,13.0,3562.6800000000003,7.0,14041.700000000003,5.0,11223.700000000003,5.0,8405.7,7.0
Oakland Raiders,21325.879999999997,2.0,15624.879999999997,3.0,18475.38,2.0,3873.4999999999995,17.0,3452.6800000000003,1.0,13999.7,4.0,11149.2,4.0,8298.7,3.0
Indianapolis Colts,21079.160000000003,1.0,15456.16,1.0,18267.66,1.0,3721.1,10.0,3499.16,2.0,13858.900000000001,2.0,11047.400000000001,2.0,8235.900000000001,1.0
