,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Atlanta Falcons,21882.18,32.0,16142.18,24.0,19012.18,27.0,3869.0,28.0,3623.4800000000005,19.0,14389.7,30.0,11519.699999999999,28.0,8649.699999999999,24.0
Tampa Bay Buccaneers,21880.960000000003,31.0,16172.96,27.0,19026.96,29.0,3888.6,29.0,3630.96,22.0,14361.399999999998,27.0,11507.399999999998,25.0,8653.400000000001,26.0
Indianapolis Colts,21871.000000000004,30.0,16182.999999999998,29.0,19027.0,30.0,3761.1,20.0,3701.3999999999996,30.0,14408.5,31.0,11564.5,32.0,8720.5,31.0
Dallas Cowboys,21869.1,29.0,16379.099999999999,32.0,19124.1,32.0,3778.1,21.0,3787.9999999999995,32.0,14302.999999999998,24.0,11557.999999999998,31.0,8813.0,32.0
Carolina Panthers,21863.06,28.0,16164.059999999998,26.0,19013.56,28.0,3856.8000000000006,27.0,3630.3599999999997,21.0,14375.9,29.0,11526.4,29.0,8676.9,29.0
Houston Texans,21819.739999999998,27.0,16278.739999999998,31.0,19049.239999999998,31.0,4022.6000000000004,31.0,3674.04,27.0,14123.099999999997,16.0,11352.599999999999,17.0,8582.099999999999,19.0
New Orleans Saints,21793.0,26.0,16011.0,20.0,18902.0,22.0,3778.9,22.0,3582.6000000000004,14.0,14431.499999999998,32.0,11540.5,30.0,8649.5,23.0
Baltimore Ravens,21787.66,25.0,16193.659999999998,30.0,18990.66,26.0,4075.7999999999997,32.0,3585.9599999999996,15.0,14125.9,17.0,11328.900000000001,16.0,8531.9,16.0
Detroit Lions,21759.300000000003,24.0,16153.3,25.0,18956.3,25.0,3853.9000000000005,26.0,3652.4,24.0,14253.0,22.0,11449.999999999998,23.0,8646.999999999998,22.0
Cincinnati Bengals,21758.940000000002,23.0,16047.939999999999,23.0,18903.440000000002,23.0,3730.2,18.0,3661.6400000000003,26.0,14367.099999999999,28.0,11511.599999999999,26.0,8656.099999999999,27.0
Cleveland Browns,21751.039999999997,22.0,16041.04,22.0,18896.039999999997,21.0,3832.2999999999997,24.0,3623.64,20.0,14295.099999999999,23.0,11440.099999999999,22.0,8585.1,20.0
Jacksonville Jaguars,21715.2,21.0,16180.2,28.0,18947.7,24.0,3845.0999999999995,25.0,3682.6000000000004,28.0,14187.499999999998,19.0,11419.999999999998,20.0,8652.5,25.0
Minnesota Vikings,21603.48,20.0,15913.48,16.0,18758.479999999996,18.0,3595.7000000000003,12.0,3659.0800000000004,25.0,14348.7,26.0,11503.7,24.0,8658.7,28.0
New York Giants,21602.78,19.0,15983.779999999997,19.0,18793.28,19.0,3595.2,11.0,3683.8799999999997,29.0,14323.699999999999,25.0,11514.2,27.0,8704.7,30.0
Pittsburgh Steelers,21576.620000000003,18.0,15913.619999999999,17.0,18745.120000000003,16.0,3935.3999999999996,30.0,3542.92,10.0,14098.299999999996,15.0,11266.8,13.0,8435.3,12.0
Tennessee Titans,21573.240000000005,17.0,16017.240000000002,21.0,18795.240000000005,20.0,3662.8999999999996,17.0,3711.2400000000007,31.0,14199.099999999999,20.0,11421.1,21.0,8643.1,21.0
Washington Redskins,21537.56,16.0,15962.56,18.0,18750.06,17.0,3799.1,23.0,3593.5600000000004,16.0,14144.9,18.0,11357.4,18.0,8569.9,18.0
Philadelphia Eagles,21407.899999999998,15.0,15875.900000000001,15.0,18641.9,15.0,3756.2,19.0,3596.2000000000003,17.0,14055.5,13.0,11289.5,15.0,8523.5,15.0
Green Bay Packers,21385.780000000002,14.0,15710.779999999999,14.0,18548.280000000002,14.0,3547.3000000000006,8.0,3615.2799999999997,18.0,14223.2,21.0,11385.699999999999,19.0,8548.199999999999,17.0
