,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Denver Broncos,20697.08,32.0,15593.080000000002,32.0,18145.079999999994,32.0,4045.4999999999995,26.0,3355.8799999999997,25.0,13295.7,31.0,10743.7,31.0,8191.7,31.0
Jacksonville Jaguars,20624.079999999998,31.0,15474.079999999998,30.0,18049.08,30.0,3732.2999999999997,9.0,3453.08,31.0,13438.699999999999,32.0,10863.699999999999,32.0,8288.7,32.0
Houston Texans,20621.9,30.0,15511.900000000001,31.0,18066.9,31.0,3934.7999999999997,22.0,3408.6,30.0,13278.500000000002,29.0,10723.500000000002,28.0,8168.499999999999,29.0
Chicago Bears,20546.28,29.0,15454.279999999999,29.0,18000.28,29.0,3833.2,19.0,3484.8800000000006,32.0,13228.199999999999,27.0,10682.199999999999,27.0,8136.2,27.0
Tennessee Titans,20470.22,28.0,15347.22,28.0,17908.719999999998,28.0,3776.399999999999,11.0,3406.5199999999995,29.0,13287.300000000001,30.0,10725.8,29.0,8164.299999999999,28.0
Minnesota Vikings,20373.82,27.0,15274.820000000003,26.0,17824.320000000003,27.0,3797.6,13.0,3394.92,27.0,13181.300000000001,26.0,10631.8,26.0,8082.299999999999,26.0
Indianapolis Colts,20369.1,26.0,15274.100000000002,25.0,17821.6,26.0,3697.2999999999997,7.0,3396.8,28.0,13275.000000000002,28.0,10727.500000000002,30.0,8179.999999999999,30.0
Detroit Lions,20265.539999999997,25.0,15211.539999999999,24.0,17738.539999999997,24.0,3829.6,18.0,3368.8399999999997,26.0,13067.1,25.0,10540.100000000002,25.0,8013.100000000001,25.0
San Diego Chargers,20249.520000000004,24.0,15336.520000000002,27.0,17793.020000000004,25.0,4098.099999999999,28.0,3290.1199999999994,23.0,12861.300000000001,23.0,10404.8,23.0,7948.3,23.0
Green Bay Packers,20219.92,23.0,15141.92,23.0,17680.92,23.0,3839.1000000000004,20.0,3328.52,24.0,13052.300000000001,24.0,10513.300000000001,24.0,7974.299999999999,24.0
Tampa Bay Buccaneers,20067.46,22.0,15094.46,20.0,17580.96,21.0,4174.5,30.0,3150.5599999999995,19.0,12742.4,21.0,10255.9,21.0,7769.400000000002,22.0
Carolina Panthers,20045.359999999997,21.0,15117.359999999997,21.0,17581.359999999997,22.0,4161.0,29.0,3220.9599999999996,22.0,12663.399999999998,19.0,10199.4,19.0,7735.4,19.0
Atlanta Falcons,19972.480000000003,20.0,15122.48,22.0,17547.48,20.0,4199.900000000001,32.0,3193.8799999999997,21.0,12578.699999999997,17.0,10153.699999999997,18.0,7728.699999999999,18.0
New Orleans Saints,19931.54,19.0,15045.54,19.0,17488.54,19.0,4178.1,31.0,3159.8399999999997,20.0,12593.599999999999,18.0,10150.6,17.0,7707.600000000001,17.0
Kansas City Chiefs,19733.68,18.0,14675.680000000002,18.0,17204.68,18.0,3809.999999999999,15.0,3108.4800000000005,17.0,12815.199999999999,22.0,10286.199999999999,22.0,7757.199999999999,21.0
Oakland Raiders,19511.379999999997,17.0,14520.380000000001,15.0,17015.88,17.0,3685.3999999999996,4.0,3092.2799999999997,15.0,12733.7,20.0,10238.2,20.0,7742.700000000001,20.0
Washington Redskins,19409.399999999998,16.0,14580.399999999998,16.0,16994.899999999998,16.0,3943.3,23.0,3134.6000000000004,18.0,12331.500000000002,16.0,9917.0,16.0,7502.5,16.0
Arizona Cardinals,19399.92,15.0,14588.92,17.0,16994.42,15.0,4078.9,27.0,3057.72,14.0,12263.3,13.0,9857.8,14.0,7452.299999999999,14.0
Seattle Seahawks,19176.420000000002,14.0,14475.42,14.0,16825.920000000002,14.0,4038.2999999999997,25.0,3056.32,13.0,12081.800000000001,10.0,9731.300000000001,10.0,7380.8,13.0
Philadelphia Eagles,19175.479999999996,13.0,14386.48,13.0,16780.980000000003,13.0,3791.0000000000005,12.0,3105.2799999999997,16.0,12279.2,15.0,9884.699999999999,15.0,7490.2,15.0
St. Louis Rams,19110.52,12.0,14313.519999999999,12.0,16712.02,12.0,4025.8,24.0,2949.92,10.0,12134.800000000001,11.0,9736.300000000001,11.0,7337.8,10.0
Dallas Cowboys,19069.500000000004,11.0,14163.500000000002,11.0,16616.500000000004,11.0,3802.9,14.0,2993.5999999999995,12.0,12273.0,14.0,9820.0,13.0,7367.0,12.0
New York Giants,18913.34,10.0,14036.34,10.0,16474.84,10.0,3708.5000000000005,8.0,2984.24,11.0,12220.600000000002,12.0,9782.1,12.0,7343.6,11.0
San Francisco 49ers,18528.14,9.0,13830.140000000001,9.0,16179.140000000001,9.0,3865.9,21.0,2834.64,7.0,11827.6,8.0,9478.6,9.0,7129.5999999999985,9.0
Buffalo Bills,18423.54,8.0,13760.54,8.0,16092.04,8.0,3825.4999999999995,17.0,2839.44,9.0,11758.6,6.0,9427.1,7.0,7095.6,6.0
New England Patriots,18363.82,7.0,13753.82,7.0,16058.82,7.0,3812.1,16.0,2835.92,8.0,11715.800000000001,4.0,9410.800000000001,5.0,7105.8,7.0
Baltimore Ravens,18352.04,6.0,13619.04,6.0,15985.539999999999,6.0,3691.2999999999993,5.0,2821.6399999999994,6.0,11839.1,9.0,9472.600000000002,8.0,7106.099999999999,8.0
Pittsburgh Steelers,18259.64,5.0,13567.640000000001,5.0,15913.640000000001,5.0,3767.4999999999995,10.0,2778.04,5.0,11714.100000000002,3.0,9368.1,3.0,7022.0999999999985,3.0
