,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Tampa Bay Buccaneers,20372.84,32.0,14888.84,31.0,17630.84,32.0,3556.1,11.0,3307.6399999999994,31.0,13509.1,32.0,10767.1,32.0,8025.099999999999,32.0
Green Bay Packers,20210.34,31.0,14730.339999999998,28.0,17470.34,28.0,3706.7,23.0,3175.04,25.0,13328.599999999999,31.0,10588.6,28.0,7848.600000000001,25.0
Arizona Cardinals,20142.440000000002,30.0,14802.44,29.0,17472.440000000002,29.0,3532.6,9.0,3298.2399999999993,30.0,13311.599999999999,30.0,10641.6,30.0,7971.6,29.0
Seattle Seahawks,20117.3,29.0,14839.300000000001,30.0,17478.3,30.0,3500.1000000000004,7.0,3335.2,32.0,13282.000000000002,28.0,10643.000000000002,31.0,8004.000000000001,31.0
Pittsburgh Steelers,20073.200000000004,28.0,14947.199999999999,32.0,17510.2,31.0,3744.1,25.0,3258.6,28.0,13070.5,24.0,10507.5,25.0,7944.5,28.0
San Francisco 49ers,19958.96,27.0,14638.96,26.0,17298.96,26.0,3392.4999999999995,3.0,3273.5600000000004,29.0,13292.900000000001,29.0,10632.900000000001,29.0,7972.9000000000015,30.0
Minnesota Vikings,19941.88,26.0,14675.880000000001,27.0,17308.88,27.0,3804.4999999999995,30.0,3132.6800000000003,19.0,13004.699999999997,21.0,10371.699999999999,22.0,7738.7,23.0
Chicago Bears,19913.680000000004,25.0,14524.68,24.0,17219.180000000004,25.0,3476.2,6.0,3181.2799999999997,26.0,13256.2,27.0,10561.699999999999,27.0,7867.199999999999,27.0
Philadelphia Eagles,19769.079999999998,24.0,14437.08,22.0,17103.079999999998,23.0,3524.9,8.0,3151.48,23.0,13092.699999999999,25.0,10426.699999999999,24.0,7760.699999999999,24.0
New York Giants,19760.599999999995,23.0,14395.600000000002,19.0,17078.1,21.0,3558.8,13.0,3134.7999999999997,20.0,13066.999999999998,23.0,10384.5,23.0,7702.0,22.0
St. Louis Rams,19749.579999999998,22.0,14459.58,23.0,17104.579999999998,24.0,3364.1000000000004,2.0,3229.2799999999997,27.0,13156.2,26.0,10511.2,26.0,7866.200000000001,26.0
Dallas Cowboys,19689.180000000004,21.0,14422.180000000002,20.0,17055.68,20.0,3579.3999999999996,15.0,3149.08,22.0,12960.699999999999,19.0,10327.199999999999,19.0,7693.7,18.0
Kansas City Chiefs,19649.84,20.0,14422.839999999998,21.0,17036.34,19.0,3889.3999999999996,32.0,2979.84,5.0,12780.6,15.0,10167.099999999999,14.0,7553.5999999999985,13.0
Cleveland Browns,19614.2,19.0,14560.2,25.0,17087.2,22.0,3690.5000000000005,22.0,3168.1999999999994,24.0,12755.5,13.0,10228.5,17.0,7701.499999999999,21.0
Baltimore Ravens,19557.8,18.0,14368.800000000001,18.0,16963.3,18.0,3619.6999999999994,18.0,3098.5999999999995,16.0,12839.499999999998,17.0,10244.999999999998,18.0,7650.5,17.0
Oakland Raiders,19548.200000000004,17.0,14351.199999999999,17.0,16949.7,17.0,3746.2999999999993,26.0,3027.3999999999996,10.0,12774.5,14.0,10176.0,15.0,7577.499999999999,14.0
Carolina Panthers,19535.26,16.0,14267.26,15.0,16901.26,16.0,3442.0,4.0,3126.3599999999997,18.0,12966.9,20.0,10332.9,20.0,7698.900000000001,20.0
Atlanta Falcons,19522.91999999999,15.0,14168.92,9.0,16845.92,14.0,3336.3999999999996,1.0,3138.72,21.0,13047.799999999997,22.0,10370.8,21.0,7693.8,19.0
Washington Redskins,19474.660000000003,14.0,14222.66,12.0,16848.660000000003,15.0,3541.8000000000006,10.0,3079.96,15.0,12852.899999999998,18.0,10226.899999999998,16.0,7600.899999999999,15.0
New Orleans Saints,19384.299999999996,13.0,14078.3,5.0,16731.3,9.0,3590.9999999999995,16.0,3011.8,9.0,12781.5,16.0,10128.5,12.0,7475.5,8.0
San Diego Chargers,19326.12,12.0,14258.119999999999,14.0,16792.12,12.0,3837.9,31.0,2986.9200000000005,6.0,12501.300000000003,6.0,9967.3,5.0,7433.299999999999,5.0
Cincinnati Bengals,19325.42,11.0,14294.42,16.0,16809.92,13.0,3557.1,12.0,3121.5200000000004,17.0,12646.799999999997,11.0,10131.3,13.0,7615.8,16.0
Miami Dolphins,19314.3,10.0,14189.300000000001,11.0,16751.800000000003,11.0,3636.100000000001,19.0,3047.2,12.0,12631.0,9.0,10068.499999999998,9.0,7505.999999999998,9.0
Indianapolis Colts,19261.02,9.0,14145.019999999999,7.0,16703.019999999997,8.0,3600.9000000000005,17.0,3028.32,11.0,12631.800000000005,10.0,10073.800000000003,10.0,7515.799999999999,12.0
Denver Broncos,19252.86,8.0,14027.859999999997,4.0,16640.36,5.0,3753.0,27.0,2887.96,2.0,12611.900000000001,8.0,9999.400000000001,7.0,7386.899999999999,4.0
New England Patriots,19251.02,7.0,14229.02,13.0,16740.02,10.0,3757.3000000000006,28.0,3009.9199999999996,8.0,12483.8,5.0,9972.799999999997,6.0,7461.799999999998,7.0
Tennessee Titans,19227.100000000002,6.0,14124.099999999997,6.0,16675.6,6.0,3790.3999999999996,29.0,2956.2,4.0,12480.500000000002,4.0,9929.0,4.0,7377.499999999998,3.0
Detroit Lions,19194.42,5.0,13965.42,3.0,16579.92,3.0,3461.7,5.0,2993.92,7.0,12738.800000000001,12.0,10124.300000000001,11.0,7509.8,10.0
New York Jets,19193.6,4.0,14159.6,8.0,16676.600000000002,7.0,3578.9,14.0,3066.2,14.0,12548.5,7.0,10031.5,8.0,7514.499999999999,11.0
Buffalo Bills,19048.54,3.0,14171.54,10.0,16610.04,4.0,3667.5,21.0,3061.439999999999,13.0,12319.6,2.0,9881.1,3.0,7442.6,6.0
Jacksonville Jaguars,19021.36,2.0,13854.359999999999,1.0,16437.859999999997,2.0,3651.2,20.0,2915.7600000000007,3.0,12454.4,3.0,9870.9,2.0,7287.399999999999,2.0
Houston Texans,18919.260000000002,1.0,13900.26,2.0,16409.760000000002,1.0,3742.8999999999996,24.0,2880.96,1.0,12295.4,1.0,9785.9,1.0,7276.399999999999,1.0
