,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2006,Travis Wilson,WR,22,0,Oklahoma,6-2,214,4.47,36.5,,120.0,6.7,3.99,Cleveland Browns / 3rd / 78th pick / 2006
1,2,2006,Demetrius Williams,WR,22,9,Oregon,6-2,197,4.52,38.0,,127.0,6.84,4.08,Baltimore Ravens / 4th / 111th pick / 2006
2,3,2006,Brandon Williams,WR,22,0,Wisconsin,5-9,179,4.48,34.5,,115.0,6.87,4.07,San Francisco 49ers / 3rd / 84th pick / 2006
3,4,2006,Jeff Webb,WR,24,2,San Diego State,6-2,211,4.4,37.0,,126.0,6.81,4.08,Kansas City Chiefs / 6th / 190th pick / 2006
4,5,2006,Todd Watkins,WR,22,1,BYU,6-2,202,4.4,36.0,15.0,118.0,7.13,4.24,Arizona Cardinals / 7th / 218th pick / 2006
5,6,2006,Delanie Walker,WR,21,47,Central Missouri State,6-1,240,4.49,36.5,,118.0,,,San Francisco 49ers / 6th / 175th pick / 2006
6,7,2006,Maurice Stovall,WR,21,5,Notre Dame,6-4,217,4.57,35.0,,122.0,6.81,4.14,Tampa Bay Buccaneers / 3rd / 90th pick / 2006
7,8,2006,Brad Smith,WR,22,20,Missouri,6-2,213,4.46,39.5,,128.0,7.0,4.33,New York Jets / 4th / 103rd pick / 2006
8,9,2006,Michael Robinson,WR,23,8,Penn State,6-1,227,4.57,,,,,,San Francisco 49ers / 4th / 100th pick / 2006
9,10,2006,Willie Reid,WR,23,1,Florida State,5-10,188,4.34,37.5,,117.0,7.06,4.26,Pittsburgh Steelers / 3rd / 95th pick / 2006
10,11,2006,Ben Obomanu,WR,22,10,Auburn,6-1,205,4.45,38.0,,116.0,7.17,4.21,Seattle Seahawks / 7th / 249th pick / 2006
11,12,2006,Martin Nance,WR,22,0,Miami (OH),6-4,213,4.55,33.5,,112.0,6.91,4.08,
12,13,2006,Sinorice Moss,WR,22,4,Miami (FL),5-8,185,4.38,,,,,,New York Giants / 2nd / 44th pick / 2006
13,14,2006,Anthony Mix,WR,23,0,Auburn,6-4,235,4.48,31.5,,111.0,,,
14,15,2006,Brandon Marshall,WR,21,105,Central Florida,6-4,229,4.52,37.0,,120.0,,,Denver Broncos / 4th / 119th pick / 2006
15,16,2006,Greg Jennings,WR,22,77,West. Michigan,5-11,197,4.42,36.5,,117.0,6.68,4.16,Green Bay Packers / 2nd / 52nd pick / 2006
16,17,2006,Adam Jennings,WR,23,0,Fresno State,5-9,181,4.44,37.5,,118.0,6.88,4.12,Atlanta Falcons / 6th / 184th pick / 2006
17,18,2006,Chad Jackson,WR,21,2,Florida,6-1,213,4.32,38.5,,122.0,6.73,3.97,New England Patriots / 2nd / 36th pick / 2006
18,19,2006,Santonio Holmes,WR,22,54,Ohio State,5-11,188,4.35,,,,,,Pittsburgh Steelers / 1st / 25th pick / 2006
19,20,2006,Devin Hester,WR,23,57,Miami (FL),5-11,190,4.41,38.0,16.0,124.0,,,Chicago Bears / 2nd / 57th pick / 2006
20,21,2006,Mike Hass,WR,23,0,Oregon State,6-1,208,4.59,32.0,,116.0,6.97,4.14,New Orleans Saints / 6th / 171st pick / 2006
21,22,2006,Derek Hagan,WR,21,14,Arizona State,6-2,208,4.45,36.0,,124.0,,4.07,Miami Dolphins / 3rd / 82nd pick / 2006
22,23,2006,Skyler Green,WR,21,0,LSU,5-9,192,4.53,34.0,,118.0,,,Dallas Cowboys / 4th / 125th pick / 2006
23,24,2006,Marques Colston,WR,22,90,Hofstra,6-5,224,4.5,37.0,16.0,123.0,6.94,4.43,New Orleans Saints / 7th / 252nd pick / 2006
24,25,2006,Jason Carter,WR,23,0,Texas A&M,6-0,211,4.6,33.0,,116.0,6.89,4.21,
25,26,2006,Hank Baskett,WR,23,9,New Mexico,6-3,224,4.5,35.0,,119.0,6.79,4.17,
26,27,2006,Jason Avant,WR,22,36,Michigan,6-0,212,4.62,37.0,20.0,118.0,,,Philadelphia Eagles / 4th / 109th pick / 2006
27,28,2006,Miles Austin,WR,21,44,Monmouth (NJ),6-2,215,4.47,40.5,21.0,123.0,7.09,4.14,
28,29,2006,Devin Aromashodu,WR,21,11,Auburn,6-2,201,4.35,39.0,,120.0,7.04,4.16,Miami Dolphins / 7th / 233rd pick / 2006
29,30,2006,David Anderson,WR,22,8,Colorado State,5-10,192,4.57,34.0,,116.0,6.88,4.2,Houston Texans / 7th / 251st pick / 2006
