,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2006,Vince Young,QB,22,36,Texas,6-5,229,4.48,,,,,,Tennessee Titans / 1st / 3rd pick / 2006
1,2,2006,Charlie Whitehurst,QB,23,7,Clemson,6-5,223,4.75,33.0,,112.0,7.0,4.11,San Diego Chargers / 3rd / 81st pick / 2006
2,3,2006,Marcus Vick,QB,21,0,Virginia Tech,6-0,200,4.47,36.0,,117.0,6.94,4.08,
3,4,2006,Reggie McNeal,QB,22,0,Texas A&M,6-2,198,4.4,32.0,,121.0,6.96,4.25,Cincinnati Bengals / 6th / 193rd pick / 2006
4,5,2006,Ingle Martin,QB,23,0,Furman,6-2,220,4.71,36.0,,111.0,7.13,4.17,Green Bay Packers / 5th / 148th pick / 2006
5,6,2006,Matt Leinart,QB,22,12,USC,6-5,223,4.9,,,,,,Arizona Cardinals / 1st / 10th pick / 2006
6,7,2006,Tarvaris Jackson,QB,22,23,Arkansas,6-2,226,4.69,31.5,22.0,107.0,7.4,4.38,Minnesota Vikings / 2nd / 64th pick / 2006
7,8,2006,Bruce Gradkowski,QB,23,8,Toledo,6-1,217,4.59,34.0,,107.0,7.12,4.16,Tampa Bay Buccaneers / 6th / 194th pick / 2006
8,9,2006,Jay Cutler,QB,22,109,Vanderbilt,6-3,226,4.77,,23.0,,7.1,4.26,Denver Broncos / 1st / 11th pick / 2006
9,10,2006,Brodie Croyle,QB,23,2,Alabama,6-2,205,4.88,30.5,,104.0,7.34,4.25,Kansas City Chiefs / 3rd / 85th pick / 2006
10,11,2006,Kellen Clemens,QB,22,10,Oregon,6-2,224,4.89,,,,,,New York Jets / 2nd / 49th pick / 2006
11,12,2006,Brett Basanez,QB,22,0,Northwestern,6-1,220,4.76,34.0,,114.0,6.75,4.22,
