,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2001,Boo Williams,TE,21,11,Arkansas,6-4,237,4.72,35.5,,119.0,7.1,4.33,
1,2,2001,Tony Stewart,TE,21,4,Penn State,6-5,256,4.96,35.5,,109.0,7.3,4.4,Philadelphia Eagles / 5th / 147th pick / 2001
2,3,2001,Mike Roberg,TE,23,0,Idaho,6-4,256,4.75,34.5,16.0,117.0,7.28,4.4,Carolina Panthers / 7th / 227th pick / 2001
3,4,2001,Marcellus Rivers,TE,22,3,Oklahoma State,6-4,247,4.84,32.5,7.0,113.0,7.04,4.25,
4,5,2001,Ryan Prince,TE,23,0,Weber State,6-4,257,4.99,31.0,20.0,102.0,7.65,4.45,
5,6,2001,Dan O'Leary,TE,23,1,Notre Dame,6-4,252,5.02,32.0,16.0,113.0,7.4,4.31,Buffalo Bills / 6th / 195th pick / 2001
6,7,2001,Brian Natkin,TE,23,0,Texas-El Paso,6-2,251,4.95,27.0,20.0,98.0,7.78,4.59,
7,8,2001,Shad Meier,TE,22,3,Kansas State,6-5,256,4.85,34.0,20.0,113.0,7.14,4.15,Tennessee Titans / 3rd / 90th pick / 2001
8,9,2001,Brandon Manumaleuna,TE,21,9,Arizona,6-2,275,4.99,30.0,,106.0,7.49,4.26,St. Louis Rams / 4th / 129th pick / 2001
9,10,2001,Jabari Holloway,TE,22,1,Notre Dame,6-2,253,4.91,38.5,20.0,113.0,7.14,4.4,New England Patriots / 4th / 119th pick / 2001
10,11,2001,Todd Heap,TE,20,53,Arizona State,6-5,252,4.68,,,,,,Baltimore Ravens / 1st / 31st pick / 2001
11,12,2001,Antoine Harris,TE,18,3,Louisville,6-3,260,4.93,,11.0,,,,
12,13,2001,Alge Crumpler,TE,23,48,North Carolina,6-2,266,4.76,34.0,22.0,112.0,7.38,4.43,Atlanta Falcons / 2nd / 35th pick / 2001
13,14,2001,Sean Brewer,TE,23,0,San Jose State,6-4,255,4.73,36.0,14.0,117.0,7.37,4.18,Cincinnati Bengals / 3rd / 66th pick / 2001
14,15,2001,Billy Baber,TE,22,0,Virginia,6-4,255,4.76,33.0,22.0,106.0,7.12,4.19,Kansas City Chiefs / 5th / 141st pick / 2001
