,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2001,Chris Weinke,QB,28,9,Florida State,6-4,226,5.2,,,,,,Carolina Panthers / 4th / 106th pick / 2001
1,2,2001,Michael Vick,QB,20,113,Virginia Tech,6-0,210,4.33,,,,,,Atlanta Falcons / 1st / 1st pick / 2001
2,3,2001,Marques Tuiasosopo,QB,21,1,Washington,6-1,223,4.71,35.5,,115.0,7.36,4.35,Oakland Raiders / 2nd / 59th pick / 2001
3,4,2001,Sage Rosenfels,QB,23,14,Iowa State,6-4,228,4.74,34.0,,107.0,7.07,4.29,Washington Redskins / 4th / 109th pick / 2001
4,5,2001,Jesse Palmer,QB,22,1,Florida,6-2,231,4.78,35.5,,112.0,7.13,4.29,New York Giants / 4th / 125th pick / 2001
5,6,2001,Mike McMahon,QB,22,6,Rutgers,6-2,207,4.57,37.5,,124.0,7.12,4.12,Detroit Lions / 5th / 149th pick / 2001
6,7,2001,Cleo Lemon,QB,21,6,Arkansas State,6-2,226,4.87,35.5,,106.0,7.33,4.27,
7,8,2001,Tim Hasselbeck,QB,22,1,Boston Col.,6-1,211,4.83,33.0,,113.0,7.27,4.4,
8,9,2001,Quincy Carter,QB,23,18,Georgia,6-2,225,4.58,35.5,,113.0,7.12,4.12,Dallas Cowboys / 2nd / 53rd pick / 2001
9,10,2001,Drew Brees,QB,22,267,Purdue,6-0,213,4.83,32.0,,105.0,7.09,4.21,San Diego Chargers / 2nd / 32nd pick / 2001
