,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2016,Carson Wentz,QB,23,45,North Dakota State,6-5,237,4.77,30.5,,118.0,6.86,4.15,Philadelphia Eagles / 1st / 2nd pick / 2016
1,2,2016,Nate Sudfeld,QB,22,1,Indiana,6-6,234,5.02,29.0,,105.0,,,Washington Redskins / 6th / 187th pick / 2016
2,3,2016,Dak Prescott,QB,22,60,Mississippi State,6-2,226,4.79,32.5,,116.0,7.11,4.32,Dallas Cowboys / 4th / 135th pick / 2016
3,4,2016,Paxton Lynch,QB,22,2,Memphis,6-7,244,4.86,36.0,,118.0,7.14,4.26,Denver Broncos / 1st / 26th pick / 2016
4,5,2016,Cody Kessler,QB,22,5,USC,6-1,220,4.89,29.5,,104.0,7.32,4.0,Cleveland Browns / 3rd / 93rd pick / 2016
5,6,2016,Cardale Jones,QB,23,0,Ohio State,6-5,253,4.81,36.0,,,,,Buffalo Bills / 4th / 139th pick / 2016
6,7,2016,Kevin Hogan,QB,23,2,Stanford,6-3,218,4.78,32.5,,113.0,6.9,4.31,Kansas City Chiefs / 5th / 162nd pick / 2016
7,8,2016,Jared Goff,QB,21,43,California,6-4,215,4.82,27.0,,110.0,7.17,4.47,Los Angeles Rams / 1st / 1st pick / 2016
8,9,2016,Jeff Driskel,QB,22,5,Louisiana Tech,6-4,234,4.56,32.0,,122.0,7.19,4.25,San Francisco 49ers / 6th / 207th pick / 2016
9,10,2016,Connor Cook,QB,23,0,Michigan State,6-4,217,4.79,33.0,,113.0,7.21,4.28,Oakland Raiders / 4th / 100th pick / 2016
10,11,2016,Jacoby Brissett,QB,23,24,North Carolina State,6-4,231,4.94,31.0,,113.0,7.17,4.53,New England Patriots / 3rd / 91st pick / 2016
11,12,2016,Brandon Allen,QB,23,2,Arkansas,6-1,217,4.84,28.0,,110.0,7.06,4.33,Jacksonville Jaguars / 6th / 201st pick / 2016
