Unnamed: 0,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
0,Shaun Alexander,SEA,RB,28.0,16.0,16.0,29.0,15.0,0.0,0.0,0.0,1880.0,27.0,370.0,78.0,1.0,376.8,0.0,5.0,1.0
1,Larry Johnson,KAN,RB,26.0,16.0,9.0,49.0,33.0,0.0,0.0,0.0,1750.0,20.0,336.0,343.0,1.0,360.3,0.0,5.0,4.0
2,LaDainian Tomlinson,SDG,RB,26.0,16.0,16.0,77.0,51.0,47.0,3.0,4.0,1462.0,18.0,339.0,370.0,2.0,366.08,0.0,3.0,1.0
3,Tiki Barber,NYG,RB,30.0,16.0,16.0,70.0,54.0,0.0,0.0,1.0,1860.0,9.0,357.0,530.0,2.0,357.0,0.0,1.0,1.0
4,Edgerrin James,IND,RB,27.0,15.0,15.0,50.0,44.0,0.0,0.0,0.0,1506.0,13.0,360.0,337.0,1.0,310.3,0.0,2.0,1.0
5,Steve Smith,CAR,WR,26.0,16.0,16.0,150.0,103.0,0.0,0.0,0.0,25.0,1.0,4.0,1563.0,12.0,337.8,0.0,2.0,1.0
6,Clinton Portis,WAS,RB,24.0,16.0,16.0,41.0,30.0,17.0,1.0,2.0,1516.0,11.0,352.0,216.0,0.0,269.88,0.0,3.0,2.0
7,Antonio Gates,SDG,TE,25.0,15.0,15.0,140.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1101.0,10.0,259.1,0.0,0.0,0.0
8,Larry Fitzgerald,ARI,WR,22.0,16.0,16.0,165.0,103.0,0.0,0.0,0.0,41.0,0.0,8.0,1409.0,10.0,308.0,0.0,0.0,0.0
9,Santana Moss,WAS,WR,26.0,16.0,16.0,134.0,84.0,0.0,0.0,0.0,-3.0,0.0,3.0,1483.0,9.0,284.0,0.0,3.0,1.0
10,Chad Johnson,CIN,WR,27.0,16.0,16.0,155.0,97.0,0.0,0.0,0.0,33.0,0.0,5.0,1432.0,9.0,297.5,0.0,1.0,0.0
11,LaMont Jordan,OAK,RB,27.0,14.0,14.0,103.0,70.0,0.0,0.0,0.0,1025.0,9.0,272.0,563.0,2.0,292.8,0.0,2.0,1.0
12,Rudi Johnson,CIN,RB,26.0,16.0,14.0,30.0,23.0,0.0,0.0,0.0,1458.0,12.0,337.0,90.0,0.0,249.8,0.0,1.0,0.0
13,Joey Galloway,TAM,WR,34.0,16.0,16.0,152.0,83.0,0.0,0.0,0.0,4.0,0.0,2.0,1287.0,10.0,272.1,0.0,0.0,0.0
