Unnamed: 0,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
0,Emmitt Smith,DAL,RB,23.0,16.0,16.0,74.0,59.0,0.0,0.0,0.0,1713.0,18.0,373.0,335.0,1.0,369.8,0.0,4.0,0.0
1,Thurman Thomas,BUF,RB,26.0,16.0,16.0,87.0,58.0,0.0,0.0,0.0,1487.0,9.0,312.0,626.0,3.0,329.2999999999999,0.0,6.0,0.0
2,Barry Foster,PIT,RB,24.0,16.0,15.0,50.0,36.0,0.0,0.0,1.0,1690.0,11.0,390.0,344.0,0.0,287.4,0.0,9.0,0.0
3,Terry Allen,MIN,RB,24.0,16.0,16.0,70.0,49.0,0.0,0.0,0.0,1201.0,13.0,266.0,478.0,2.0,288.9,0.0,9.0,0.0
4,Steve Young,SFO,QB,31.0,16.0,16.0,0.0,0.0,3465.0,25.0,402.0,537.0,4.0,76.0,0.0,0.0,284.3,7.0,9.0,0.0
5,Sterling Sharpe,GNB,WR,27.0,16.0,16.0,162.0,108.0,0.0,0.0,0.0,8.0,0.0,4.0,1461.0,13.0,328.9000000000001,0.0,2.0,0.0
6,Lorenzo White,HOU,RB,26.0,16.0,16.0,77.0,57.0,0.0,0.0,0.0,1226.0,7.0,265.0,641.0,1.0,287.7,0.0,2.0,0.0
7,Rodney Hampton,NYG,RB,23.0,16.0,16.0,38.0,28.0,0.0,0.0,0.0,1141.0,14.0,257.0,215.0,0.0,245.6,0.0,1.0,0.0
8,Barry Sanders,DET,RB,24.0,16.0,16.0,40.0,29.0,0.0,0.0,1.0,1352.0,9.0,312.0,225.0,1.0,234.7,0.0,6.0,0.0
9,Jerry Rice,SFO,WR,30.0,16.0,16.0,139.0,84.0,0.0,0.0,0.0,58.0,1.0,9.0,1201.0,10.0,271.90000000000003,0.0,2.0,0.0
10,Ricky Watters,SFO,RB,23.0,14.0,13.0,52.0,43.0,0.0,0.0,1.0,1013.0,9.0,206.0,405.0,2.0,246.8,0.0,2.0,0.0
11,Cleveland Gary,RAM,RB,26.0,16.0,16.0,55.0,52.0,0.0,0.0,0.0,1125.0,7.0,279.0,293.0,3.0,235.8,0.0,9.0,0.0
12,Michael Irvin,DAL,WR,26.0,16.0,14.0,122.0,78.0,0.0,0.0,0.0,-9.0,0.0,1.0,1396.0,7.0,256.70000000000005,0.0,1.0,0.0
13,Andre Rison,ATL,WR,25.0,15.0,13.0,144.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,1119.0,11.0,266.9,0.0,2.0,0.0
14,Herschel Walker,PHI,RB,30.0,16.0,16.0,47.0,38.0,0.0,0.0,1.0,1070.0,8.0,267.0,278.0,2.0,220.8,0.0,6.0,0.0
15,Randall Cunningham,PHI,QB,29.0,15.0,15.0,1.0,0.0,2775.0,19.0,384.0,549.0,5.0,87.0,0.0,0.0,223.9,11.0,13.0,0.0
16,Reggie Cobb,TAM,RB,24.0,16.0,13.0,25.0,21.0,0.0,0.0,0.0,1171.0,9.0,310.0,156.0,0.0,201.7,0.0,3.0,0.0
