Unnamed: 0,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
0,Marshall Faulk,STL,RB,27.0,14.0,14.0,113.0,81.0,0.0,0.0,0.0,1359.0,18.0,253.0,830.0,8.0,455.9,0.0,0.0,0.0
1,Edgerrin James,IND,RB,22.0,16.0,16.0,87.0,63.0,0.0,0.0,0.0,1709.0,13.0,387.0,594.0,5.0,393.3,0.0,5.0,4.0
2,Daunte Culpepper,MIN,QB,23.0,16.0,16.0,0.0,0.0,3937.0,33.0,474.0,470.0,7.0,89.0,0.0,0.0,334.48,16.0,11.0,6.0
3,Jeff Garcia,SFO,QB,30.0,16.0,16.0,0.0,0.0,4278.0,31.0,561.0,414.0,4.0,72.0,0.0,0.0,338.52,10.0,7.0,1.0
4,Eddie George,TEN,RB,27.0,16.0,16.0,65.0,50.0,0.0,0.0,0.0,1509.0,14.0,403.0,453.0,2.0,334.2,0.0,5.0,4.0
5,Randy Moss,MIN,WR,23.0,16.0,16.0,129.0,77.0,0.0,0.0,0.0,5.0,0.0,3.0,1437.0,15.0,311.2,0.0,2.0,0.0
6,Tony Gonzalez,KAN,TE,24.0,16.0,16.0,150.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,1203.0,9.0,267.3,0.0,0.0,0.0
7,Terrell Owens,SFO,WR,27.0,14.0,13.0,146.0,97.0,0.0,0.0,0.0,11.0,0.0,3.0,1451.0,13.0,319.2000000000001,0.0,3.0,1.0
8,Marvin Harrison,IND,WR,28.0,16.0,16.0,169.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.0,14.0,327.3,0.0,2.0,0.0
9,Rod Smith,DEN,WR,30.0,16.0,16.0,173.0,100.0,0.0,0.0,0.0,99.0,1.0,6.0,1602.0,8.0,322.1,0.0,1.0,1.0
10,Mike Anderson,DEN,RB,27.0,16.0,12.0,32.0,23.0,0.0,0.0,0.0,1487.0,15.0,297.0,169.0,0.0,270.6,0.0,4.0,4.0
11,Rich Gannon,OAK,QB,35.0,16.0,16.0,0.0,0.0,3430.0,28.0,473.0,529.0,4.0,89.0,0.0,0.0,294.1,11.0,9.0,5.0
12,Ahman Green,GNB,RB,23.0,16.0,11.0,99.0,73.0,0.0,0.0,1.0,1175.0,10.0,263.0,559.0,3.0,316.4,0.0,6.0,4.0
13,Peyton Manning,IND,QB,24.0,16.0,16.0,0.0,0.0,4413.0,33.0,571.0,116.0,1.0,37.0,0.0,0.0,290.12,15.0,5.0,3.0
14,Fred Taylor,JAX,RB,24.0,13.0,13.0,53.0,36.0,0.0,0.0,0.0,1399.0,12.0,292.0,240.0,2.0,279.9,0.0,4.0,2.0
15,Robert Smith,MIN,RB,28.0,16.0,16.0,44.0,36.0,0.0,0.0,0.0,1521.0,7.0,295.0,348.0,3.0,280.9,0.0,4.0,1.0
16,Jamal Lewis,BAL,WR,21.0,16.0,13.0,36.0,27.0,0.0,0.0,0.0,1364.0,6.0,309.0,296.0,0.0,225.0,0.0,6.0,2.0
17,Derrick Alexander,KAN,WR,29.0,16.0,16.0,144.0,78.0,0.0,0.0,0.0,45.0,0.0,3.0,1391.0,10.0,281.6,0.0,0.0,0.0
18,Donovan McNabb,PHI,QB,24.0,16.0,16.0,4.0,2.0,3365.0,21.0,569.0,629.0,6.0,86.0,5.0,0.0,286.0,13.0,7.0,4.0
19,Isaac Bruce,STL,WR,28.0,16.0,16.0,135.0,87.0,0.0,0.0,0.0,11.0,0.0,1.0,1471.0,9.0,287.2000000000001,0.0,1.0,1.0
20,Curtis Martin,NYJ,RB,27.0,16.0,16.0,96.0,70.0,18.0,1.0,1.0,1204.0,9.0,316.0,508.0,2.0,307.92,0.0,2.0,2.0
21,Torry Holt,STL,WR,24.0,16.0,15.0,139.0,82.0,0.0,0.0,0.0,7.0,0.0,2.0,1635.0,6.0,278.2,0.0,2.0,2.0
22,Ricky Watters,SEA,RB,31.0,16.0,16.0,92.0,63.0,0.0,0.0,0.0,1242.0,7.0,278.0,613.0,2.0,298.5,0.0,5.0,2.0
23,Charlie Garner,SFO,RB,28.0,16.0,15.0,94.0,68.0,0.0,0.0,0.0,1142.0,7.0,258.0,647.0,3.0,300.9,0.0,4.0,3.0
24,Lamar Smith,MIA,RB,30.0,15.0,15.0,38.0,31.0,0.0,0.0,1.0,1139.0,14.0,309.0,201.0,2.0,255.0,0.0,3.0,3.0
25,Ed McCaffrey,DEN,WR,32.0,16.0,16.0,149.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,1317.0,9.0,286.7,0.0,0.0,0.0
26,Stephen Davis,WAS,RB,26.0,15.0,15.0,49.0,33.0,0.0,0.0,0.0,1318.0,11.0,332.0,313.0,0.0,254.1,0.0,4.0,4.0
27,Tiki Barber,NYG,RB,25.0,16.0,12.0,95.0,70.0,0.0,0.0,0.0,1006.0,8.0,213.0,719.0,1.0,290.5,0.0,9.0,3.0
28,Joe Horn,NOR,WR,28.0,16.0,16.0,151.0,94.0,0.0,0.0,0.0,10.0,0.0,6.0,1340.0,8.0,277.0,0.0,1.0,0.0
29,Cris Carter,MIN,WR,35.0,16.0,16.0,161.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,1274.0,9.0,275.4,0.0,3.0,1.0
30,Tim Brown,OAK,WR,34.0,16.0,16.0,133.0,76.0,0.0,0.0,0.0,12.0,0.0,3.0,1128.0,11.0,256.0,0.0,0.0,0.0
31,Elvis Grbac,KAN,QB,30.0,15.0,15.0,0.0,0.0,4169.0,28.0,547.0,110.0,1.0,30.0,0.0,0.0,261.76,14.0,7.0,3.0
32,James Stewart,DET,RB,29.0,16.0,16.0,48.0,32.0,0.0,0.0,0.0,1184.0,10.0,339.0,287.0,1.0,241.1,0.0,4.0,2.0
33,Jimmy Smith,JAX,WR,31.0,15.0,14.0,145.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,1213.0,8.0,260.3,0.0,1.0,0.0
34,Warrick Dunn,TAM,RB,25.0,16.0,14.0,69.0,44.0,0.0,0.0,0.0,1133.0,8.0,248.0,422.0,1.0,251.5,0.0,1.0,1.0
35,Amani Toomer,NYG,WR,26.0,16.0,14.0,124.0,78.0,0.0,0.0,0.0,91.0,1.0,5.0,1094.0,7.0,242.5,0.0,1.0,1.0
36,Eric Moulds,BUF,WR,27.0,16.0,16.0,164.0,94.0,0.0,0.0,0.0,24.0,0.0,2.0,1326.0,5.0,259.0,0.0,1.0,0.0
37,Shannon Sharpe,BAL,TE,32.0,16.0,15.0,105.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,5.0,178.0,0.0,0.0,0.0
38,Corey Dillon,CIN,RB,26.0,16.0,16.0,26.0,18.0,0.0,0.0,0.0,1435.0,7.0,315.0,158.0,0.0,213.3,0.0,4.0,3.0
39,Freddie Jones,SDG,TE,26.0,16.0,16.0,126.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,766.0,5.0,173.6,0.0,3.0,2.0
40,David Boston,ARI,WR,22.0,16.0,16.0,133.0,71.0,0.0,0.0,0.0,9.0,0.0,3.0,1156.0,7.0,227.5,0.0,2.0,1.0
41,Muhsin Muhammad,CAR,WR,27.0,16.0,16.0,156.0,102.0,0.0,0.0,0.0,12.0,0.0,2.0,1183.0,6.0,257.5,0.0,1.0,0.0
42,Ricky Williams,NOR,RB,23.0,10.0,10.0,55.0,44.0,34.0,0.0,1.0,1000.0,8.0,248.0,409.0,1.0,234.26,0.0,6.0,3.0
43,Keenan McCardell,JAX,WR,30.0,16.0,16.0,140.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,1207.0,5.0,238.7,0.0,3.0,3.0
44,Jerome Bettis,PIT,RB,28.0,16.0,16.0,19.0,13.0,0.0,0.0,2.0,1341.0,8.0,355.0,97.0,0.0,202.8,1.0,1.0,0.0
45,Frank Wycheck,TEN,TE,29.0,16.0,16.0,109.0,70.0,53.0,1.0,2.0,0.0,0.0,0.0,636.0,4.0,157.72,0.0,2.0,3.0
46,Antonio Freeman,GNB,WR,28.0,15.0,15.0,120.0,62.0,0.0,0.0,0.0,5.0,0.0,2.0,912.0,9.0,205.7,0.0,1.0,1.0
47,Kyle Brady,JAX,TE,28.0,16.0,15.0,94.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0,3.0,154.9,0.0,0.0,0.0
48,Mark Brunell,JAX,QB,30.0,16.0,16.0,0.0,0.0,3640.0,20.0,512.0,236.0,2.0,48.0,0.0,0.0,225.2,14.0,7.0,4.0
49,Chad Lewis,PHI,TE,29.0,16.0,16.0,110.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,3.0,160.5,0.0,0.0,0.0
50,Wayne Chrebet,NYJ,WR,27.0,16.0,16.0,143.0,69.0,0.0,0.0,0.0,-3.0,0.0,3.0,937.0,8.0,210.4,0.0,0.0,0.0
