Unnamed: 0,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
0,David Johnson,ARI,RB,25.0,16.0,16.0,120.0,80.0,0.0,0.0,0.0,1239.0,16.0,293.0,879.0,4.0,405.8,0.0,5.0,3.0
1,Ezekiel Elliott,DAL,RB,21.0,15.0,15.0,39.0,32.0,0.0,0.0,0.0,1631.0,15.0,322.0,363.0,1.0,325.4,0.0,5.0,1.0
2,LeSean McCoy,BUF,RB,28.0,15.0,15.0,57.0,50.0,0.0,0.0,0.0,1267.0,13.0,234.0,356.0,1.0,296.3,0.0,3.0,0.0
3,Aaron Rodgers,GNB,QB,33.0,16.0,16.0,0.0,0.0,4428.0,40.0,610.0,369.0,4.0,67.0,0.0,0.0,376.02,7.0,8.0,4.0
4,DeMarco Murray,TEN,RB,28.0,16.0,16.0,67.0,53.0,10.0,1.0,2.0,1287.0,9.0,293.0,377.0,3.0,293.7999999999999,0.0,3.0,1.0
5,Le'Veon Bell,PIT,RB,24.0,12.0,12.0,94.0,75.0,0.0,0.0,1.0,1268.0,7.0,261.0,616.0,2.0,315.4,0.0,4.0,1.0
6,Devonta Freeman,ATL,RB,24.0,16.0,16.0,65.0,54.0,0.0,0.0,0.0,1079.0,11.0,227.0,462.0,2.0,284.1,0.0,1.0,1.0
7,LeGarrette Blount,NWE,RB,30.0,16.0,8.0,8.0,7.0,0.0,0.0,0.0,1161.0,18.0,299.0,38.0,0.0,232.9,0.0,2.0,1.0
8,Matt Ryan,ATL,QB,31.0,16.0,16.0,0.0,0.0,4944.0,38.0,534.0,117.0,0.0,35.0,0.0,0.0,343.46,7.0,4.0,2.0
9,Mike Evans,TAM,WR,23.0,16.0,16.0,173.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.0,12.0,300.1,0.0,0.0,0.0
10,Jordy Nelson,GNB,WR,31.0,16.0,16.0,152.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,1257.0,14.0,304.7,0.0,1.0,1.0
11,Antonio Brown,PIT,WR,28.0,15.0,15.0,154.0,106.0,0.0,0.0,0.0,9.0,0.0,3.0,1284.0,12.0,307.2999999999999,0.0,0.0,0.0
12,Melvin Gordon,SDG,RB,23.0,13.0,11.0,57.0,41.0,0.0,0.0,0.0,997.0,10.0,254.0,419.0,2.0,250.6,0.0,2.0,2.0
13,Jordan Howard,CHI,RB,22.0,15.0,13.0,50.0,29.0,0.0,0.0,0.0,1313.0,6.0,252.0,298.0,1.0,230.1,0.0,2.0,1.0
14,Odell Beckham,NYG,WR,24.0,16.0,16.0,169.0,101.0,0.0,0.0,0.0,9.0,0.0,1.0,1367.0,10.0,296.6,0.0,3.0,1.0
15,Drew Brees,NOR,QB,37.0,16.0,16.0,0.0,0.0,5208.0,37.0,673.0,20.0,2.0,23.0,0.0,0.0,332.32,15.0,5.0,4.0
16,Mark Ingram,NOR,RB,27.0,16.0,14.0,58.0,46.0,0.0,0.0,0.0,1043.0,6.0,205.0,319.0,4.0,238.2,0.0,2.0,2.0
17,T.Y. Hilton,IND,WR,27.0,16.0,16.0,155.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,1448.0,6.0,271.8,0.0,0.0,0.0
18,Jay Ajayi,MIA,RB,23.0,15.0,12.0,35.0,27.0,0.0,0.0,0.0,1272.0,8.0,260.0,151.0,0.0,215.3,0.0,4.0,1.0
19,Julio Jones,ATL,WR,27.0,14.0,14.0,129.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1409.0,6.0,259.9,0.0,0.0,0.0
20,Travis Kelce,KAN,TE,27.0,16.0,15.0,117.0,85.0,0.0,0.0,0.0,-5.0,0.0,1.0,1125.0,4.0,221.0,0.0,0.0,0.0
21,Davante Adams,GNB,WR,24.0,16.0,15.0,121.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,997.0,12.0,244.7,0.0,2.0,1.0
22,Frank Gore,IND,RB,33.0,16.0,16.0,47.0,38.0,0.0,0.0,0.0,1025.0,4.0,263.0,277.0,4.0,214.2,0.0,2.0,1.0
23,Latavius Murray,OAK,RB,26.0,14.0,12.0,43.0,33.0,0.0,0.0,0.0,788.0,12.0,195.0,264.0,0.0,208.2,0.0,2.0,1.0
24,Brandin Cooks,NOR,WR,23.0,16.0,12.0,117.0,78.0,0.0,0.0,0.0,30.0,0.0,6.0,1173.0,8.0,246.3,0.0,1.0,0.0
25,Greg Olsen,CAR,TE,31.0,16.0,16.0,129.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1073.0,3.0,205.3,0.0,0.0,0.0
26,Andrew Luck,IND,QB,27.0,15.0,15.0,0.0,0.0,4240.0,31.0,545.0,341.0,2.0,64.0,0.0,0.0,303.7000000000001,13.0,6.0,5.0
27,Kyle Rudolph,MIN,TE,27.0,16.0,16.0,132.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,840.0,7.0,209.0,0.0,0.0,0.0
28,Kirk Cousins,WAS,QB,28.0,16.0,16.0,0.0,0.0,4917.0,25.0,606.0,96.0,4.0,34.0,0.0,0.0,300.2800000000001,12.0,9.0,3.0
29,Michael Thomas,NOR,WR,23.0,15.0,12.0,121.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.0,9.0,255.7,0.0,2.0,2.0
30,Doug Baldwin,SEA,WR,28.0,16.0,15.0,125.0,94.0,15.0,1.0,1.0,2.0,0.0,3.0,1128.0,7.0,253.6,0.0,1.0,0.0
31,Jimmy Graham,SEA,TE,30.0,16.0,15.0,95.0,65.0,0.0,0.0,0.0,0.0,0.0,1.0,923.0,6.0,189.3,0.0,2.0,2.0
32,Delanie Walker,TEN,TE,32.0,15.0,10.0,102.0,65.0,0.0,0.0,0.0,11.0,0.0,2.0,800.0,7.0,188.1,0.0,1.0,0.0
33,Isaiah Crowell,CLE,RB,23.0,16.0,16.0,53.0,40.0,0.0,0.0,0.0,952.0,7.0,198.0,319.0,0.0,205.1,0.0,2.0,2.0
34,Carlos Hyde,SFO,RB,26.0,13.0,13.0,33.0,27.0,0.0,0.0,0.0,988.0,6.0,217.0,163.0,3.0,190.1,0.0,5.0,3.0
35,Spencer Ware,KAN,RB,25.0,14.0,14.0,42.0,33.0,0.0,0.0,0.0,921.0,3.0,214.0,447.0,2.0,193.8,0.0,4.0,3.0
36,Lamar Miller,HOU,RB,25.0,14.0,14.0,39.0,31.0,0.0,0.0,0.0,1073.0,5.0,268.0,188.0,1.0,191.1,0.0,2.0,1.0
37,Tevin Coleman,ATL,RB,23.0,13.0,0.0,40.0,31.0,0.0,0.0,0.0,520.0,8.0,118.0,421.0,3.0,191.1,0.0,1.0,0.0
38,Michael Crabtree,OAK,WR,29.0,16.0,16.0,145.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1003.0,8.0,237.3,0.0,2.0,0.0
39,Amari Cooper,OAK,WR,22.0,16.0,14.0,132.0,83.0,0.0,0.0,0.0,0.0,0.0,1.0,1153.0,5.0,228.3,0.0,2.0,0.0
40,Dak Prescott,DAL,QB,23.0,16.0,16.0,0.0,0.0,3667.0,23.0,459.0,282.0,6.0,57.0,0.0,0.0,286.88,4.0,9.0,4.0
41,Cameron Brate,TAM,TE,25.0,15.0,10.0,81.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,8.0,171.0,0.0,1.0,0.0
42,Martellus Bennett,NWE,TE,29.0,16.0,12.0,73.0,55.0,0.0,0.0,0.0,10.0,0.0,2.0,701.0,7.0,168.1,0.0,0.0,0.0
43,Jeremy Hill,CIN,RB,24.0,15.0,13.0,27.0,21.0,0.0,0.0,0.0,839.0,9.0,222.0,174.0,0.0,176.3,0.0,0.0,0.0
44,Todd Gurley,LAR,RB,22.0,16.0,16.0,58.0,43.0,0.0,0.0,0.0,885.0,6.0,278.0,327.0,0.0,198.2,0.0,2.0,1.0
45,Rishard Matthews,TEN,WR,27.0,16.0,10.0,108.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,945.0,9.0,211.5,0.0,1.0,1.0
46,Matt Forte,NYJ,RB,31.0,14.0,13.0,43.0,30.0,0.0,0.0,0.0,813.0,7.0,218.0,263.0,1.0,183.6,0.0,1.0,1.0
47,Tyrell Williams,SDG,WR,24.0,16.0,12.0,119.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1059.0,7.0,216.9,0.0,0.0,0.0
48,Zach Ertz,PHI,TE,26.0,14.0,12.0,106.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0,4.0,183.6,0.0,0.0,0.0
