Unnamed: 0,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
0,Priest Holmes,KAN,RB,30.0,16.0,16.0,90.0,74.0,0.0,0.0,1.0,1420.0,27.0,320.0,690.0,0.0,445.0,0.0,1.0,1.0
1,Ahman Green,GNB,RB,26.0,16.0,16.0,60.0,50.0,0.0,0.0,0.0,1883.0,15.0,355.0,367.0,5.0,385.0,0.0,7.0,5.0
2,LaDainian Tomlinson,SDG,RB,24.0,16.0,16.0,137.0,100.0,21.0,1.0,1.0,1645.0,13.0,313.0,725.0,4.0,443.84,0.0,2.0,0.0
3,Jamal Lewis,BAL,RB,24.0,16.0,16.0,38.0,26.0,0.0,0.0,0.0,2066.0,14.0,387.0,205.0,0.0,325.1,0.0,8.0,6.0
4,Randy Moss,MIN,WR,26.0,16.0,16.0,172.0,111.0,0.0,0.0,1.0,18.0,0.0,6.0,1632.0,17.0,376.0,0.0,1.0,1.0
5,Torry Holt,STL,WR,27.0,16.0,15.0,183.0,117.0,0.0,0.0,0.0,5.0,0.0,1.0,1696.0,12.0,359.1,0.0,1.0,0.0
6,Clinton Portis,DEN,RB,22.0,13.0,13.0,51.0,38.0,0.0,0.0,0.0,1591.0,14.0,290.0,314.0,0.0,310.5,0.0,3.0,1.0
7,Shaun Alexander,SEA,RB,26.0,16.0,15.0,59.0,42.0,0.0,0.0,0.0,1435.0,14.0,326.0,295.0,2.0,305.0,0.0,4.0,3.0
8,Deuce McAllister,NOR,RB,25.0,16.0,16.0,87.0,69.0,0.0,0.0,2.0,1641.0,8.0,351.0,516.0,0.0,326.7,0.0,6.0,3.0
9,Fred Taylor,JAX,RB,27.0,16.0,16.0,74.0,48.0,0.0,0.0,0.0,1572.0,6.0,345.0,370.0,1.0,276.2,0.0,6.0,4.0
10,Chad Johnson,CIN,WR,25.0,16.0,14.0,154.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1355.0,10.0,285.5,0.0,0.0,0.0
11,Ricky Williams,MIA,RB,26.0,16.0,16.0,62.0,50.0,0.0,0.0,0.0,1372.0,9.0,392.0,351.0,1.0,272.29999999999995,0.0,7.0,5.0
12,Tony Gonzalez,KAN,TE,27.0,16.0,16.0,106.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,916.0,10.0,222.6,0.0,0.0,0.0
13,Anquan Boldin,ARI,WR,23.0,16.0,16.0,165.0,101.0,0.0,0.0,1.0,40.0,0.0,5.0,1377.0,8.0,282.7,1.0,3.0,3.0
14,Marvin Harrison,IND,WR,31.0,15.0,15.0,142.0,94.0,0.0,0.0,0.0,3.0,0.0,1.0,1272.0,10.0,279.5,0.0,2.0,1.0
15,Edgerrin James,IND,RB,25.0,13.0,13.0,71.0,51.0,0.0,0.0,0.0,1259.0,11.0,310.0,292.0,0.0,266.1,0.0,5.0,3.0
16,Hines Ward,PIT,WR,27.0,16.0,16.0,156.0,95.0,0.0,0.0,0.0,61.0,0.0,11.0,1163.0,10.0,277.40000000000003,0.0,0.0,0.0
17,Derrick Mason,TEN,WR,29.0,16.0,16.0,133.0,95.0,0.0,0.0,0.0,11.0,0.0,3.0,1303.0,8.0,274.40000000000003,0.0,0.0,0.0
18,Travis Henry,BUF,RB,25.0,15.0,15.0,40.0,28.0,0.0,0.0,1.0,1356.0,10.0,331.0,158.0,1.0,237.4,1.0,7.0,3.0
19,Santana Moss,NYJ,WR,24.0,16.0,12.0,117.0,74.0,0.0,0.0,0.0,67.0,0.0,10.0,1105.0,10.0,247.2,0.0,4.0,2.0
20,Stephen Davis,CAR,RB,29.0,14.0,14.0,17.0,14.0,0.0,0.0,0.0,1444.0,8.0,318.0,159.0,0.0,216.3,0.0,3.0,3.0
21,Darrell Jackson,SEA,WR,25.0,16.0,16.0,130.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.0,9.0,233.7,0.0,1.0,1.0
22,Daunte Culpepper,MIN,QB,26.0,14.0,14.0,0.0,0.0,3479.0,25.0,454.0,422.0,4.0,73.0,0.0,0.0,271.36,11.0,16.0,6.0
23,Keenan McCardell,TAM,WR,33.0,16.0,16.0,139.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1174.0,8.0,247.4,0.0,1.0,1.0
24,Chris Chambers,MIA,WR,25.0,16.0,16.0,130.0,64.0,0.0,0.0,0.0,30.0,0.0,4.0,963.0,11.0,227.3,0.0,1.0,1.0
25,Shannon Sharpe,DEN,TE,35.0,15.0,15.0,94.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,8.0,187.0,0.0,0.0,0.0
26,Terrell Owens,SFO,WR,30.0,15.0,15.0,146.0,80.0,0.0,0.0,0.0,-2.0,0.0,3.0,1102.0,9.0,244.0,0.0,0.0,0.0
27,Laveranues Coles,WAS,WR,26.0,16.0,16.0,159.0,82.0,0.0,0.0,0.0,39.0,0.0,10.0,1204.0,6.0,242.3,0.0,0.0,0.0
28,Joe Horn,NOR,WR,31.0,15.0,14.0,130.0,78.0,14.0,0.0,1.0,15.0,0.0,2.0,973.0,10.0,237.36,0.0,2.0,0.0
29,Steve Smith,CAR,WR,24.0,16.0,11.0,142.0,88.0,0.0,0.0,0.0,42.0,0.0,11.0,1110.0,7.0,245.2,0.0,5.0,0.0
30,Peyton Manning,IND,QB,27.0,16.0,16.0,1.0,1.0,4267.0,29.0,566.0,26.0,0.0,28.0,-2.0,0.0,266.08000000000004,10.0,6.0,2.0
31,Tiki Barber,NYG,RB,28.0,16.0,16.0,98.0,69.0,0.0,0.0,0.0,1216.0,2.0,278.0,461.0,1.0,242.7,0.0,9.0,6.0
32,Moe Williams,MIN,RB,29.0,16.0,7.0,87.0,65.0,0.0,0.0,0.0,745.0,5.0,174.0,644.0,3.0,249.9,0.0,2.0,1.0
33,Domanick Williams,HOU,RB,23.0,14.0,10.0,68.0,47.0,0.0,0.0,0.0,1031.0,8.0,238.0,351.0,0.0,227.2,0.0,4.0,3.0
34,Peter Warrick,CIN,WR,26.0,15.0,14.0,122.0,79.0,0.0,0.0,0.0,157.0,0.0,18.0,819.0,7.0,216.6,0.0,2.0,1.0
35,Marshall Faulk,STL,RB,30.0,11.0,11.0,61.0,45.0,0.0,0.0,0.0,818.0,10.0,209.0,290.0,1.0,221.8,0.0,0.0,0.0
36,Kevan Barlow,SFO,RB,24.0,16.0,4.0,44.0,35.0,0.0,0.0,0.0,1024.0,6.0,201.0,307.0,1.0,202.1,0.0,5.0,4.0
37,Todd Heap,BAL,TE,23.0,16.0,16.0,112.0,57.0,0.0,0.0,0.0,21.0,0.0,3.0,693.0,3.0,146.4,0.0,1.0,0.0
38,Amani Toomer,NYG,WR,29.0,16.0,16.0,152.0,63.0,0.0,0.0,0.0,5.0,0.0,1.0,1057.0,5.0,199.2,0.0,0.0,0.0
39,Trent Green,KAN,QB,33.0,16.0,16.0,0.0,0.0,4039.0,24.0,523.0,83.0,2.0,26.0,0.0,0.0,251.86,12.0,5.0,1.0
40,Steve McNair,TEN,QB,30.0,14.0,14.0,1.0,1.0,3215.0,24.0,400.0,138.0,4.0,38.0,4.0,0.0,237.8,7.0,12.0,6.0
41,David Boston,SDG,WR,25.0,14.0,14.0,115.0,70.0,0.0,0.0,0.0,18.0,0.0,3.0,880.0,7.0,197.8,0.0,2.0,2.0
42,Matt Hasselbeck,SEA,QB,28.0,16.0,16.0,0.0,0.0,3841.0,26.0,513.0,125.0,2.0,36.0,0.0,0.0,250.14,15.0,4.0,1.0
43,Isaac Bruce,STL,WR,31.0,15.0,15.0,119.0,69.0,66.0,0.0,2.0,17.0,0.0,2.0,981.0,5.0,201.44,0.0,0.0,0.0
