,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2002,Javon Walker,WR,23,42,Florida State,6-3,210,4.38,39.5,,128.0,6.86,4.05,Green Bay Packers / 1st / 20th pick / 2002
1,2,2002,Donte' Stallworth,WR,21,45,Tennessee,6-0,197,4.22,,,,,,New Orleans Saints / 1st / 13th pick / 2002
2,3,2002,Jake Schifino,WR,22,0,Akron,6-1,200,4.49,,,,,,Tennessee Titans / 5th / 151st pick / 2002
3,4,2002,Cliff Russell,WR,23,0,Utah,5-11,185,4.36,,,,,,Washington Redskins / 3rd / 87th pick / 2002
4,5,2002,Josh Reed,WR,21,33,LSU,5-10,210,4.54,,,,,,Buffalo Bills / 2nd / 36th pick / 2002
5,6,2002,Antwaan Randle El,WR,22,49,Indiana,5-10,191,4.49,,,,,,Pittsburgh Steelers / 2nd / 62nd pick / 2002
6,7,2002,Kendall Newson,WR,22,1,Middle Tennessee State,6-2,200,4.69,33.5,,117.0,6.87,4.27,Jacksonville Jaguars / 7th / 222nd pick / 2002
7,8,2002,Jason McAddley,WR,22,4,Alabama,6-1,203,4.47,36.5,,123.0,6.83,4.09,Arizona Cardinals / 5th / 149th pick / 2002
8,9,2002,Lee Mays,WR,23,1,Texas-El Paso,6-1,190,4.55,32.5,,119.0,7.08,4.17,Pittsburgh Steelers / 6th / 202nd pick / 2002
9,10,2002,Ashley Lelie,WR,22,39,Hawaii,6-3,197,4.49,,,,,,Denver Broncos / 1st / 19th pick / 2002
10,11,2002,Daryl Jones,WR,23,1,Miami (FL),5-9,180,4.35,,,,,,New York Giants / 7th / 226th pick / 2002
11,12,2002,Ron Johnson,WR,21,1,Minnesota,6-2,225,4.7,34.5,,118.0,7.12,4.02,Baltimore Ravens / 4th / 123rd pick / 2002
12,13,2002,Javin Hunter,WR,21,0,Notre Dame,5-11,186,4.47,41.0,,129.0,6.84,4.04,Baltimore Ravens / 6th / 206th pick / 2002
13,14,2002,Kahlil Hill,WR,22,0,Iowa,6-2,200,4.65,35.0,,,,,Atlanta Falcons / 6th / 184th pick / 2002
14,15,2002,Herb Haygood,WR,24,0,Michigan State,5-11,193,4.45,33.0,,114.0,6.65,4.26,Denver Broncos / 5th / 144th pick / 2002
15,16,2002,David Givens,WR,21,23,Notre Dame,6-0,217,4.56,40.5,,126.0,6.82,4.13,New England Patriots / 7th / 253rd pick / 2002
16,17,2002,Jabar Gaffney,WR,21,52,Florida,6-1,193,4.56,,,,6.87,4.06,Houston Texans / 2nd / 33rd pick / 2002
17,18,2002,Andre' Davis,WR,22,26,Virginia Tech,6-1,194,4.42,39.5,,123.0,6.77,4.1,Cleveland Browns / 2nd / 47th pick / 2002
18,19,2002,Tim Carter,WR,22,10,Auburn,6-0,190,4.32,39.0,,126.0,6.68,3.93,New York Giants / 2nd / 46th pick / 2002
19,20,2002,Kelly Campbell,WR,21,12,Georgia Tech,5-10,171,4.48,,,,,,
20,21,2002,Reche Caldwell,WR,22,21,Florida,6-0,194,4.53,41.5,,130.0,7.0,4.1,San Diego Chargers / 2nd / 48th pick / 2002
21,22,2002,Antonio Bryant,WR,20,42,Pittsburgh,6-1,188,4.57,37.0,,121.0,,,Dallas Cowboys / 2nd / 63rd pick / 2002
22,23,2002,Deion Branch,WR,22,64,Louisville,5-9,191,4.47,36.0,,117.0,6.71,3.78,New England Patriots / 2nd / 65th pick / 2002
