,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2002,Jerramy Stevens,TE,22,20,Washington,6-7,265,4.77,,,,,,Seattle Seahawks / 1st / 28th pick / 2002
1,2,2002,Jeremy Shockey,TE,21,59,Miami (FL),6-5,255,4.64,,,,,,New York Giants / 1st / 14th pick / 2002
2,3,2002,Matt Schobel,TE,23,12,TCU,6-5,263,,34.5,,,,,Cincinnati Bengals / 3rd / 67th pick / 2002
3,4,2002,Robert Royal,TE,22,9,LSU,6-5,253,4.97,31.0,14.0,114.0,7.37,4.27,Washington Redskins / 5th / 160th pick / 2002
4,5,2002,Justin Peelle,TE,22,9,Oregon,6-4,255,4.75,29.0,21.0,110.0,7.34,4.29,San Diego Chargers / 4th / 103rd pick / 2002
5,6,2002,John Owens,TE,22,0,Notre Dame,6-3,265,4.77,38.5,21.0,117.0,,,Detroit Lions / 5th / 138th pick / 2002
6,7,2002,Josh Norman,TE,21,3,Oklahoma,6-2,236,4.65,32.0,18.0,115.0,,,
7,8,2002,Randy McMichael,TE,22,39,Georgia,6-3,247,4.88,29.5,18.0,112.0,7.58,4.28,Miami Dolphins / 4th / 114th pick / 2002
8,9,2002,Chris Luzar,TE,23,0,Virginia,6-7,270,4.76,32.5,22.0,115.0,6.84,4.17,Jacksonville Jaguars / 4th / 118th pick / 2002
9,10,2002,Terry Jones,TE,22,5,Alabama,6-3,265,4.79,33.5,20.0,111.0,7.43,4.43,Baltimore Ravens / 5th / 155th pick / 2002
10,11,2002,Doug Jolley,TE,23,12,BYU,6-4,251,4.6,38.0,18.0,117.0,6.9,4.18,Oakland Raiders / 2nd / 55th pick / 2002
11,12,2002,Keith Heinrich,TE,22,1,SMU,6-5,255,4.77,35.0,21.0,120.0,6.87,4.1,Carolina Panthers / 6th / 174th pick / 2002
12,13,2002,Ryan Hannam,TE,22,2,New Mexico,6-2,251,4.69,30.5,18.0,113.0,7.07,4.21,Seattle Seahawks / 5th / 169th pick / 2002
13,14,2002,Daniel Graham,TE,23,22,Colorado,6-3,248,4.64,36.0,,118.0,,,New England Patriots / 1st / 21st pick / 2002
14,15,2002,Dwayne Blakley,TE,22,1,Missouri,6-5,256,4.96,32.5,21.0,107.0,7.33,4.29,
15,16,2002,Mike Banks,TE,22,0,Iowa State,6-4,260,4.84,31.5,,104.0,,,Arizona Cardinals / 7th / 223rd pick / 2002
16,17,2002,Chris Baker,TE,22,15,Michigan State,6-3,258,4.81,35.0,18.0,112.0,6.95,,New York Jets / 3rd / 88th pick / 2002
17,18,2002,Mark Anelli,TE,22,0,Wisconsin,6-4,262,4.8,,18.0,,,,San Francisco 49ers / 6th / 201st pick / 2002
