,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2004,Kellen Winslow,TE,20,42,Miami (FL),6-4,251,4.55,,24.0,120.0,,,Cleveland Browns / 1st / 6th pick / 2004
1,2,2004,Kris Wilson,TE,22,3,Pittsburgh,6-2,248,4.62,35.0,24.0,119.0,6.88,4.1,Kansas City Chiefs / 2nd / 61st pick / 2004
2,3,2004,Benjamin Watson,TE,23,56,Georgia,6-3,258,4.5,35.5,34.0,123.0,7.38,4.11,New England Patriots / 1st / 32nd pick / 2004
3,4,2004,Ben Utecht,TE,22,11,Minnesota,6-6,249,4.8,,,,,,
4,5,2004,Ben Troupe,TE,21,8,Florida,6-4,265,4.65,,,,,,Tennessee Titans / 2nd / 40th pick / 2004
5,6,2004,Sean Ryan,TE,23,1,Boston Col.,6-4,268,4.97,32.5,22.0,115.0,,,Dallas Cowboys / 5th / 144th pick / 2004
6,7,2004,Brett Pierce,TE,23,0,Stanford,6-5,250,4.95,27.0,19.0,103.0,7.13,4.37,
7,8,2004,Jason Peters,TE,22,139,Arkansas,6-4,336,4.93,29.0,21.0,115.0,7.7,4.75,
8,9,2004,Sean McHugh,TE,21,2,Penn State,6-5,264,4.92,29.0,18.0,115.0,7.36,4.09,Tennessee Titans / 7th / 241st pick / 2004
9,10,2004,Ben Hartsock,TE,23,2,Ohio State,6-4,263,4.8,35.0,23.0,117.0,7.1,3.98,Indianapolis Colts / 3rd / 68th pick / 2004
10,11,2004,Ronnie Ghent,TE,24,0,Louisville,6-2,248,5.02,27.5,11.0,103.0,7.47,4.5,
11,12,2004,Michael Gaines,TE,23,7,Central Florida,6-2,275,5.06,33.0,18.0,109.0,7.44,4.18,Carolina Panthers / 7th / 232nd pick / 2004
12,13,2004,Tim Euhus,TE,23,1,Oregon State,6-5,260,4.93,34.5,25.0,115.0,6.99,4.13,Buffalo Bills / 4th / 109th pick / 2004
13,14,2004,Jeff Dugan,TE,22,2,Maryland,6-4,263,5.0,28.0,21.0,109.0,7.4,4.32,Minnesota Vikings / 7th / 220th pick / 2004
14,15,2004,Chris Cooley,TE,21,38,Utah State,6-3,265,4.87,33.0,22.0,115.0,7.21,4.19,Washington Redskins / 3rd / 81st pick / 2004
15,16,2004,Courtney Anderson,TE,23,5,San Jose State,6-6,269,4.89,30.0,17.0,106.0,7.86,4.45,Oakland Raiders / 7th / 245th pick / 2004
