,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2012,David Wilson,RB,20,5,Virginia Tech,5-10,206,4.38,41.0,,132.0,7.09,4.12,New York Giants / 1st / 32nd pick / 2012
1,2,2012,Fozzy Whittaker,RB,23,8,Texas,5-9,193,4.49,,20.0,,,,
2,3,2012,Robert Turbin,RB,22,17,Utah State,5-10,222,4.42,36.0,28.0,122.0,7.16,4.31,Seattle Seahawks / 4th / 106th pick / 2012
3,4,2012,Trent Richardson,RB,21,18,Alabama,5-9,228,4.48,,,,,,Cleveland Browns / 1st / 3rd pick / 2012
4,5,2012,Chris Rainey,RB,24,1,Florida,5-8,180,4.36,36.5,16.0,120.0,6.5,3.93,Pittsburgh Steelers / 5th / 159th pick / 2012
5,6,2012,Tauren Poole,RB,22,0,Tennessee,5-10,205,4.48,34.0,24.0,118.0,7.36,4.19,
6,7,2012,Chris Polk,RB,22,6,Washington,5-10,215,4.52,31.5,,111.0,7.13,4.21,
7,8,2012,Bernard Pierce,RB,20,10,Temple,6-0,218,4.45,36.5,17.0,123.0,7.07,4.28,Baltimore Ravens / 3rd / 84th pick / 2012
8,9,2012,Isaiah Pead,RB,22,1,Cincinnati,5-10,197,4.39,33.0,,116.0,6.95,4.32,St. Louis Rams / 2nd / 50th pick / 2012
9,10,2012,Alfred Morris,RB,23,39,Florida Atlantic,5-10,219,4.63,35.5,16.0,117.0,7.01,4.19,Washington Redskins / 6th / 173rd pick / 2012
10,11,2012,Lamar Miller,RB,20,47,Miami (FL),5-11,212,4.34,33.0,,,,,Miami Dolphins / 4th / 97th pick / 2012
11,12,2012,Davin Meggett,RB,21,0,Maryland,5-8,211,4.5,35.0,23.0,118.0,7.14,4.32,
12,13,2012,Doug Martin,RB,23,43,Boise State,5-9,223,4.46,36.0,28.0,120.0,6.79,4.16,Tampa Bay Buccaneers / 1st / 31st pick / 2012
13,14,2012,LaMichael James,RB,22,2,Oregon,5-8,194,4.35,35.0,15.0,123.0,6.88,4.12,San Francisco 49ers / 2nd / 61st pick / 2012
14,15,2012,Ronnie Hillman,RB,20,18,San Diego State,5-9,200,4.42,37.0,17.0,,,,Denver Broncos / 3rd / 67th pick / 2012
15,16,2012,Dan Herron,RB,22,5,Ohio State,5-10,213,4.57,35.0,22.0,117.0,6.97,4.04,Cincinnati Bengals / 6th / 191st pick / 2012
16,17,2012,Jewel Hampton,RB,22,0,Southern Illinois,5-9,218,4.56,,26.0,,,,
17,18,2012,Jonas Gray,RB,21,4,Notre Dame,5-10,223,4.58,,20.0,,,,
18,19,2012,Cyrus Gray,RB,22,1,Texas A&M,5-10,206,4.4,32.5,21.0,114.0,7.17,,Kansas City Chiefs / 6th / 182nd pick / 2012
19,20,2012,Terrance Ganaway,RB,23,0,Baylor,5-11,239,4.61,37.5,,119.0,7.15,4.25,New York Jets / 6th / 202nd pick / 2012
20,21,2012,Brandon Bolden,RB,22,12,Mississippi,5-11,222,4.55,38.0,21.0,119.0,6.96,4.44,
21,22,2012,Vick Ballard,RB,21,5,Mississippi State,5-10,219,4.59,33.0,23.0,115.0,7.03,4.19,Indianapolis Colts / 5th / 170th pick / 2012
22,23,2012,Edwin Baker,RB,20,1,Michigan State,5-8,204,4.44,35.0,20.0,111.0,7.27,4.31,San Diego Chargers / 7th / 250th pick / 2012
