,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2012,Russell Wilson,QB,23,129,Wisconsin,5-11,204,4.53,34.0,,118.0,6.97,4.09,Seattle Seahawks / 3rd / 75th pick / 2012
1,2,2012,Brandon Weeden,QB,28,15,Oklahoma State,6-3,221,4.89,,,,,,Cleveland Browns / 1st / 22nd pick / 2012
2,3,2012,Ryan Tannehill,QB,23,72,Texas A&M,6-4,221,4.65,,,,,,Miami Dolphins / 1st / 8th pick / 2012
3,4,2012,Brock Osweiler,QB,21,15,Arizona State,6-7,242,4.83,,,,,,Denver Broncos / 2nd / 57th pick / 2012
4,5,2012,Kellen Moore,QB,22,2,Boise State,6-0,197,4.82,27.0,,99.0,7.41,4.56,
5,6,2012,Andrew Luck,QB,22,79,Stanford,6-4,234,4.59,36.0,,124.0,6.8,4.28,Indianapolis Colts / 1st / 1st pick / 2012
6,7,2012,Ryan Lindley,QB,22,-4,San Diego State,6-4,229,4.86,29.5,,108.0,7.52,4.45,Arizona Cardinals / 6th / 185th pick / 2012
7,8,2012,Case Keenum,QB,24,37,Houston,6-1,208,4.72,32.5,,103.0,,,
8,9,2012,Chandler Harnish,QB,23,0,Northern Illinois,6-2,219,4.68,32.5,,112.0,6.78,4.15,Indianapolis Colts / 7th / 253rd pick / 2012
9,10,2012,Robert Griffin,QB,22,38,Baylor,6-2,223,4.33,39.0,,120.0,,,Washington Redskins / 1st / 2nd pick / 2012
10,11,2012,Nick Foles,QB,23,32,Arizona,6-5,243,5.14,30.5,,112.0,,,Philadelphia Eagles / 3rd / 88th pick / 2012
11,12,2012,Austin Davis,QB,22,6,Southern Miss,6-2,219,4.69,31.0,,109.0,6.73,4.11,
12,13,2012,Kirk Cousins,QB,23,69,Michigan State,6-3,214,4.84,28.5,,109.0,7.05,4.5,Washington Redskins / 4th / 102nd pick / 2012
13,14,2012,B.J. Coleman,QB,23,0,Tenn-Chattanooga,6-3,233,4.94,,,109.0,7.07,4.38,Green Bay Packers / 7th / 243rd pick / 2012
