,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,Baltimore Colts,144.0,3377.0,852.0,4.0,41.0,12.0,207.0,224.0,432.0,2038.0,9.0,29.0,4.3,119.0,375.0,1339.0,6.0,3.6,71.0,72.0,799.0,17.0,,,59.519999999999996,481.8,369.8,257.8,145.9,1.0,5.0,4.0,2.0,2.0,687.22,2.0,575.22,2.0,463.22,1.0
1,Dallas Cowboys,186.0,3633.0,848.0,4.3,41.0,15.0,202.0,220.0,428.0,2438.0,20.0,26.0,5.1,123.0,369.0,1195.0,2.0,3.2,61.0,54.0,657.0,18.0,,,125.52,583.8,473.8,363.8,101.5,9.0,12.0,12.0,11.0,1.0,810.8199999999999,6.0,700.8199999999999,6.0,590.8199999999999,5.0
2,Los Angeles Rams,200.0,3118.0,801.0,3.9,44.0,19.0,190.0,158.0,353.0,1813.0,12.0,25.0,4.5,104.0,397.0,1305.0,9.0,3.3,66.0,88.0,806.0,20.0,,,70.52,411.3,332.3,253.3,146.5,2.0,1.0,1.0,1.0,3.0,628.3199999999999,1.0,549.3199999999999,1.0,470.32,2.0
3,Green Bay Packers,227.0,3596.0,831.0,4.3,34.0,17.0,213.0,157.0,327.0,1796.0,14.0,17.0,5.1,92.0,476.0,1800.0,11.0,3.8,105.0,60.0,541.0,16.0,,,93.84,420.6,342.1,263.6,212.0,4.0,2.0,2.0,3.0,6.0,726.44,3.0,647.94,3.0,569.44,3.0
4,Detroit Lions,241.0,3837.0,830.0,4.6,36.0,12.0,214.0,157.0,337.0,2157.0,12.0,24.0,5.8,105.0,457.0,1680.0,13.0,3.7,92.0,76.0,658.0,17.0,,,86.28,444.7,366.2,287.7,222.0,3.0,3.0,3.0,5.0,7.0,752.98,4.0,674.48,4.0,595.98,6.0
5,Minnesota Vikings,242.0,3758.0,791.0,4.8,38.0,22.0,210.0,185.0,315.0,1855.0,16.0,16.0,5.2,98.0,432.0,1903.0,8.0,4.4,98.0,74.0,875.0,14.0,,,106.2,466.5,374.0,281.5,194.3,6.0,4.0,5.0,4.0,4.0,767.0,5.0,674.5,5.0,582.0,4.0
6,Cleveland Browns,273.0,4090.0,888.0,4.6,46.0,14.0,259.0,213.0,439.0,2248.0,19.0,32.0,4.8,130.0,423.0,1842.0,11.0,4.4,110.0,61.0,620.0,19.0,,,101.92,551.8,445.3,338.8,222.2,5.0,11.0,9.0,7.0,8.0,875.92,7.0,769.4200000000001,7.0,662.9200000000001,7.0
7,St. Louis Cardinals,289.0,4419.0,866.0,5.1,21.0,8.0,238.0,210.0,399.0,2861.0,23.0,13.0,6.5,131.0,423.0,1558.0,10.0,3.7,90.0,71.0,728.0,17.0,,,180.44,634.1,529.1,424.1,199.8,14.0,14.0,14.0,14.0,5.0,1014.34,14.0,909.34,13.0,804.34,12.0
8,San Francisco 49ers,310.0,4020.0,896.0,4.5,31.0,11.0,250.0,201.0,416.0,2244.0,19.0,20.0,5.0,124.0,445.0,1776.0,12.0,4.0,111.0,71.0,646.0,15.0,,,125.76,539.4,438.9,338.4,227.6,10.0,9.0,7.0,6.0,9.0,892.76,8.0,792.26,8.0,691.76,8.0
9,New York Giants,325.0,4341.0,810.0,5.4,40.0,14.0,263.0,191.0,364.0,2340.0,18.0,26.0,6.1,121.0,425.0,2001.0,22.0,4.7,125.0,62.0,579.0,17.0,,,113.6,533.0,437.5,342.0,304.1,7.0,7.0,6.0,8.0,15.0,950.7,10.0,855.2,10.0,759.7,9.0
