,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,New Orleans Saints,202.0,4075.0,949.0,4.3,38.0,20.0,246.0,287.0,511.0,2470.0,13.0,18.0,4.3,146.0,381.0,1605.0,8.0,4.2,86.0,77.0,729.0,14.0,,,114.8,612.0,468.5,325.0,168.5,3.0,3.0,2.0,1.0,6.0,895.3,1.0,751.8,1.0,608.3,1.0
1,Pittsburgh Steelers,225.0,4658.0,949.0,4.9,43.0,21.0,266.0,252.0,478.0,2817.0,15.0,22.0,5.5,146.0,435.0,1841.0,6.0,4.2,99.0,104.0,814.0,21.0,,,128.68,623.7,497.7,371.7,178.1,5.0,6.0,7.0,8.0,9.0,930.48,3.0,804.48,3.0,678.48,4.0
2,San Francisco 49ers,236.0,4787.0,943.0,5.1,29.0,12.0,277.0,320.0,551.0,3369.0,20.0,17.0,5.7,174.0,351.0,1418.0,5.0,4.0,90.0,79.0,651.0,13.0,,,180.76,776.9,616.9,456.9,147.8,21.0,27.0,25.0,24.0,2.0,1105.46,19.0,945.46,18.0,785.46,14.0
3,San Diego Chargers,241.0,4227.0,907.0,4.7,36.0,11.0,250.0,271.0,491.0,2832.0,17.0,25.0,5.2,157.0,365.0,1395.0,10.0,3.8,80.0,98.0,798.0,13.0,,,131.28,656.2,520.7,385.2,177.5,7.0,10.0,11.0,11.0,8.0,964.98,7.0,829.48,7.0,693.98,5.0
4,Dallas Cowboys,243.0,3931.0,873.0,4.5,31.0,14.0,241.0,263.0,484.0,2687.0,16.0,17.0,5.1,147.0,345.0,1244.0,11.0,3.6,68.0,94.0,727.0,26.0,,,137.48000000000002,627.7,496.2,364.7,162.4,10.0,8.0,6.0,6.0,4.0,927.58,2.0,796.0799999999999,2.0,664.5799999999999,2.0
5,Philadelphia Eagles,245.0,4412.0,959.0,4.6,37.0,13.0,242.0,263.0,517.0,2931.0,20.0,24.0,5.1,146.0,387.0,1481.0,4.0,3.8,73.0,86.0,683.0,23.0,,,149.24,676.1,544.6,413.1,146.1,13.0,13.0,14.0,14.0,1.0,971.44,9.0,839.94,9.0,708.44,9.0
6,Minnesota Vikings,249.0,4515.0,997.0,4.5,42.0,14.0,293.0,320.0,508.0,2782.0,12.0,28.0,5.0,154.0,438.0,1733.0,11.0,4.0,113.0,98.0,768.0,26.0,,,103.28,670.2,510.2,350.2,211.3,1.0,12.0,10.0,4.0,11.0,984.7800000000001,11.0,824.78,6.0,664.78,3.0
7,Washington Redskins,255.0,4438.0,911.0,4.9,34.0,11.0,249.0,258.0,466.0,2742.0,15.0,23.0,5.4,138.0,406.0,1696.0,11.0,4.2,89.0,85.0,709.0,22.0,,,123.68,622.2,493.2,364.2,213.6,4.0,5.0,4.0,5.0,12.0,959.48,6.0,830.48,8.0,701.48,8.0
8,Houston Oilers,258.0,4211.0,907.0,4.6,31.0,11.0,254.0,248.0,445.0,2577.0,20.0,20.0,5.2,139.0,412.0,1634.0,6.0,4.0,93.0,114.0,886.0,22.0,,,143.07999999999998,625.7,501.7,377.7,177.4,11.0,7.0,8.0,10.0,7.0,946.1800000000001,4.0,822.1800000000001,4.0,698.1800000000001,7.0
9,Cleveland Browns,275.0,4757.0,963.0,4.9,33.0,20.0,281.0,291.0,486.0,3152.0,23.0,13.0,5.9,170.0,429.0,1605.0,5.0,3.7,86.0,93.0,764.0,25.0,,,192.07999999999998,744.2,598.7,453.2,150.5,24.0,23.0,23.0,23.0,3.0,1086.78,17.0,941.28,16.0,795.78,16.0
