,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,Chicago Bears,215.0,4360.0,977.0,4.5,35.0,9.0,264.0,245.0,545.0,3034.0,18.0,26.0,5.2,158.0,389.0,1326.0,5.0,3.4,76.0,102.0,804.0,30.0,,,141.36,656.4,533.9,411.4,144.6,7.0,7.0,8.0,8.0,1.0,942.36,2.0,819.86,2.0,697.36,2.0
1,Minnesota Vikings,233.0,4091.0,952.0,4.3,53.0,17.0,243.0,219.0,480.0,2489.0,12.0,36.0,4.8,132.0,435.0,1602.0,10.0,3.7,85.0,91.0,753.0,26.0,,,75.56,539.9,430.4,320.9,186.2,1.0,2.0,2.0,2.0,3.0,801.66,1.0,692.16,1.0,582.66,1.0
2,Buffalo Bills,237.0,4578.0,971.0,4.7,32.0,17.0,299.0,250.0,448.0,2724.0,14.0,15.0,5.5,146.0,477.0,1854.0,14.0,3.9,114.0,90.0,713.0,39.0,,,134.95999999999998,606.4,481.4,356.4,235.39999999999998,6.0,5.0,5.0,5.0,9.0,976.76,3.0,851.76,3.0,726.76,3.0
3,New Orleans Saints,283.0,5106.0,978.0,5.2,32.0,15.0,286.0,277.0,505.0,3327.0,19.0,17.0,6.2,167.0,442.0,1779.0,7.0,4.0,97.0,77.0,628.0,22.0,,,175.08,723.7,585.2,446.7,189.9,16.0,12.0,11.0,14.0,5.0,1088.68,8.0,950.1800000000001,9.0,811.6800000000001,10.0
4,New England Patriots,284.0,4681.0,961.0,4.9,35.0,15.0,272.0,234.0,436.0,2582.0,13.0,20.0,5.6,138.0,496.0,2099.0,20.0,4.2,119.0,108.0,858.0,15.0,,,115.28,570.2,453.2,336.2,299.9,3.0,3.0,3.0,3.0,25.0,985.38,5.0,868.3799999999999,6.0,751.3799999999999,6.0
5,Cleveland Browns,288.0,4767.0,1009.0,4.7,31.0,11.0,301.0,245.0,474.0,2847.0,13.0,20.0,5.6,162.0,498.0,1920.0,13.0,3.9,114.0,100.0,789.0,25.0,,,125.88,607.7,485.2,362.7,248.0,5.0,6.0,6.0,6.0,12.0,981.58,4.0,859.0799999999999,4.0,736.5799999999999,5.0
6,Los Angeles Rams,293.0,4986.0,1041.0,4.8,37.0,15.0,289.0,307.0,571.0,3300.0,17.0,22.0,5.3,166.0,414.0,1686.0,12.0,4.1,100.0,111.0,937.0,23.0,,,156.0,739.0,585.5,432.0,210.6,9.0,14.0,12.0,11.0,7.0,1105.6,10.0,952.1,10.0,798.6,8.0
7,San Francisco 49ers,294.0,4575.0,1013.0,4.5,38.0,16.0,277.0,292.0,530.0,2987.0,25.0,22.0,5.2,160.0,441.0,1588.0,8.0,3.6,90.0,76.0,603.0,27.0,,,175.48000000000002,740.7,594.7,448.7,174.8,17.0,17.0,15.0,15.0,2.0,1090.98,9.0,944.98,8.0,798.98,9.0
8,New York Giants,304.0,5086.0,1072.0,4.7,33.0,18.0,291.0,294.0,566.0,3327.0,23.0,15.0,5.4,177.0,454.0,1759.0,8.0,3.9,95.0,116.0,902.0,19.0,,,195.08,764.7,617.7,470.7,187.9,22.0,21.0,20.0,20.0,4.0,1147.68,11.0,1000.6800000000001,11.0,853.6800000000001,11.0
9,Detroit Lions,313.0,5316.0,1071.0,5.0,36.0,21.0,334.0,337.0,513.0,3279.0,17.0,15.0,5.9,179.0,511.0,2037.0,16.0,4.0,128.0,106.0,869.0,27.0,,,169.16,766.9,598.4,429.9,257.7,12.0,22.0,17.0,10.0,14.0,1193.76,18.0,1025.26,15.0,856.76,12.0
