,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,EXP,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,Indianapolis Colts,262.0,4475.0,980.0,4.6,37.0,15.0,288.0,325.0,498.0,2764.0,16.0,22.0,5.3,162.0,454.0,1711.0,10.0,3.8,111.0,85.0,722.0,15.0,25.3,21.6,120.41,130.56,697.4,534.9,372.4,201.1,1.0,4.0,2.0,1.0,11.0,1029.06,2.0,866.56,1.0,704.06,1.0
1,Pittsburgh Steelers,269.0,4262.0,933.0,4.6,25.0,14.0,249.0,292.0,536.0,2824.0,22.0,11.0,4.9,158.0,361.0,1438.0,6.0,4.0,74.0,73.0,556.0,17.0,26.3,13.1,176.82,178.95999999999998,706.4,560.4,414.4,151.8,12.0,5.0,5.0,4.0,2.0,1037.1599999999999,3.0,891.16,3.0,745.16,3.0
2,Tampa Bay Buccaneers,270.0,4451.0,977.0,4.6,35.0,19.0,258.0,297.0,490.0,2725.0,18.0,16.0,5.2,158.0,454.0,1726.0,11.0,3.8,93.0,86.0,706.0,7.0,24.2,18.7,157.35,149.0,677.5,529.0,380.5,200.6,2.0,2.0,1.0,2.0,10.0,1027.1,1.0,878.6,2.0,730.1,2.0
3,New England Patriots,274.0,4613.0,933.0,4.9,31.0,12.0,278.0,314.0,526.0,3041.0,23.0,19.0,5.3,172.0,360.0,1572.0,7.0,4.4,91.0,96.0,764.0,15.0,24.0,16.6,125.67,175.64,756.1,599.1,442.1,175.2,10.0,10.0,10.0,9.0,4.0,1106.94,5.0,949.94,4.0,792.94,4.0
4,San Diego Chargers,284.0,5124.0,1013.0,5.1,48.0,18.0,297.0,338.0,555.0,3412.0,20.0,30.0,5.7,185.0,416.0,1712.0,11.0,4.1,89.0,86.0,665.0,23.0,23.8,22.7,172.48,156.48,799.2,630.2,461.2,201.2,3.0,17.0,17.0,13.0,12.0,1156.88,9.0,987.88,8.0,818.8799999999999,7.0
5,Seattle Seahawks,291.0,5149.0,1035.0,5.0,34.0,14.0,278.0,333.0,568.0,3505.0,15.0,20.0,5.7,183.0,422.0,1644.0,16.0,3.9,78.0,99.0,756.0,17.0,25.5,15.9,186.62,160.2,773.5,607.0,440.5,232.39999999999998,5.0,12.0,11.0,7.0,20.0,1166.1,10.0,999.5999999999999,10.0,833.0999999999999,10.0
6,Green Bay Packers,291.0,5013.0,994.0,5.0,28.0,9.0,297.0,295.0,534.0,3366.0,23.0,19.0,5.9,176.0,424.0,1647.0,6.0,3.9,77.0,118.0,908.0,44.0,29.1,13.2,142.62,188.64,769.6,622.1,474.6,182.7,14.0,11.0,14.0,17.5,5.0,1140.94,7.0,993.44,9.0,845.94,12.0
7,Tennessee Titans,297.0,4665.0,978.0,4.8,34.0,12.0,268.0,349.0,569.0,3187.0,21.0,22.0,5.2,165.0,369.0,1478.0,11.0,4.0,80.0,90.0,745.0,23.0,27.3,15.8,127.77,167.48000000000002,793.7,619.2,444.7,189.8,7.0,15.0,12.0,10.0,8.0,1150.98,8.0,976.48,7.0,801.98,5.0
8,Philadelphia Eagles,300.0,4982.0,979.0,5.1,19.0,8.0,279.0,312.0,539.0,3449.0,16.0,11.0,6.0,177.0,403.0,1533.0,10.0,3.8,80.0,81.0,616.0,22.0,30.5,10.2,118.47,179.96,752.9,596.9,440.9,197.3,13.0,9.0,8.0,8.0,9.0,1130.1599999999999,6.0,974.16,6.0,818.16,6.0
9,Jacksonville Jaguars,304.0,5021.0,970.0,5.2,30.0,10.0,286.0,319.0,543.0,3416.0,20.0,20.0,5.9,181.0,390.0,1605.0,12.0,4.1,92.0,82.0,636.0,13.0,29.2,17.0,125.81,176.64,780.6,621.1,461.6,212.5,11.0,13.0,13.0,14.0,15.0,1169.74,12.0,1010.24,12.0,850.74,13.0
