,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,Philadelphia Eagles,222.0,4443.0,1032.0,4.3,35.0,10.0,270.0,265.0,543.0,2825.0,16.0,25.0,4.8,157.0,445.0,1618.0,8.0,3.6,87.0,87.0,789.0,26.0,,,127.0,643.5,511.0,378.5,189.8,4.0,6.0,5.0,5.0,2.0,960.3,5.0,827.8,5.0,695.3,2.0
1,Houston Oilers,251.0,4612.0,932.0,4.9,39.0,13.0,259.0,246.0,454.0,2801.0,16.0,26.0,5.7,147.0,444.0,1811.0,8.0,4.1,94.0,101.0,763.0,18.0,,,124.04,622.1,499.1,376.1,203.1,3.0,3.0,3.0,3.0,6.0,949.24,3.0,826.24,4.0,703.24,4.0
2,Buffalo Bills,260.0,4101.0,952.0,4.3,44.0,20.0,251.0,240.0,433.0,2282.0,15.0,24.0,4.9,120.0,486.0,1819.0,14.0,3.7,109.0,97.0,805.0,22.0,,,103.28,558.2,438.2,318.2,225.89999999999998,2.0,2.0,2.0,1.0,7.0,887.38,1.0,767.3799999999999,1.0,647.3799999999999,1.0
3,Chicago Bears,264.0,4907.0,1003.0,4.9,31.0,14.0,285.0,238.0,451.0,2892.0,20.0,17.0,5.8,149.0,506.0,2015.0,10.0,4.0,111.0,129.0,1109.0,25.0,,,161.68,647.2,528.2,409.2,233.5,11.0,7.0,7.0,8.0,9.0,1042.38,7.0,923.3800000000001,7.0,804.38,8.0
4,Atlanta Falcons,272.0,5264.0,1051.0,5.0,42.0,16.0,298.0,333.0,564.0,3594.0,24.0,26.0,5.9,175.0,441.0,1670.0,8.0,3.8,100.0,101.0,919.0,23.0,,,187.76,836.4,669.9,503.4,183.0,23.0,25.0,25.0,25.0,1.0,1207.1599999999999,17.0,1040.6599999999999,16.0,874.16,15.0
5,Detroit Lions,272.0,4533.0,955.0,4.7,34.0,11.0,265.0,256.0,462.0,2934.0,14.0,23.0,5.8,143.0,449.0,1599.0,9.0,3.6,100.0,98.0,815.0,22.0,,,127.36,633.4,505.4,377.4,191.9,5.0,4.0,4.0,4.0,3.0,952.66,4.0,824.66,2.0,696.66,3.0
6,Los Angeles Rams,289.0,4546.0,1011.0,4.5,42.0,17.0,281.0,245.0,510.0,2601.0,23.0,25.0,4.6,141.0,445.0,1945.0,13.0,4.4,112.0,83.0,778.0,28.0,,,146.04000000000002,643.1,520.6,398.1,238.5,8.0,5.0,6.0,7.0,10.0,1027.64,6.0,905.1400000000001,6.0,782.6400000000001,6.0
7,Washington Redskins,293.0,4695.0,1020.0,4.6,45.0,12.0,298.0,187.0,392.0,2171.0,17.0,33.0,5.0,127.0,585.0,2524.0,16.0,4.3,144.0,90.0,766.0,27.0,,,88.84,506.1,412.6,319.1,324.4,1.0,1.0,1.0,2.0,25.0,919.34,2.0,825.84,3.0,732.34,5.0
8,Miami Dolphins,305.0,5224.0,1062.0,4.9,45.0,17.0,309.0,290.0,505.0,3206.0,21.0,28.0,6.0,185.0,530.0,2018.0,13.0,3.8,107.0,108.0,923.0,17.0,,,156.24,736.6,591.6,446.6,245.8,9.0,17.0,17.0,13.0,12.0,1138.64,13.0,993.6400000000001,13.0,848.6400000000001,11.0
9,Oakland Raiders,306.0,5038.0,1079.0,4.7,52.0,17.0,319.0,296.0,524.0,3312.0,17.0,35.0,5.7,181.0,501.0,1726.0,19.0,3.4,108.0,102.0,922.0,30.0,,,130.48,729.2,581.2,433.2,252.60000000000002,6.0,16.0,11.0,11.0,14.0,1112.2800000000002,11.0,964.2800000000001,10.0,816.28,9.0
10,Minnesota Vikings,308.0,5856.0,1060.0,5.5,38.0,14.0,330.0,283.0,499.0,3400.0,24.0,24.0,6.4,170.0,531.0,2456.0,15.0,4.6,135.0,111.0,914.0,25.0,,,184.0,767.0,625.5,484.0,307.6,20.0,23.0,23.0,22.0,23.0,1258.6,23.0,1117.1,23.0,975.6,24.0
11,Cleveland Browns,310.0,5626.0,1053.0,5.3,32.0,10.0,340.0,336.0,536.0,3865.0,23.0,22.0,6.8,197.0,485.0,1761.0,12.0,3.6,105.0,96.0,766.0,38.0,,,202.6,860.5,692.5,524.5,228.1,25.0,26.0,26.0,26.0,8.0,1291.2,25.0,1123.2,24.0,955.2,21.0
12,Dallas Cowboys,311.0,5279.0,996.0,5.3,47.0,20.0,286.0,231.0,484.0,3210.0,21.0,27.0,6.1,160.0,469.0,2069.0,15.0,4.4,98.0,106.0,989.0,28.0,,,158.4,678.0,562.5,447.0,256.9,10.0,8.0,9.0,14.0,16.0,1093.3,8.0,977.8,11.0,862.3,13.0
13,Cincinnati Bengals,312.0,4804.0,995.0,4.8,42.0,22.0,286.0,284.0,491.0,3124.0,22.0,20.0,5.9,154.0,469.0,1680.0,13.0,3.6,111.0,106.0,809.0,21.0,,,172.95999999999998,728.4,586.4,444.4,202.0,14.0,15.0,14.0,12.0,4.0,1103.36,10.0,961.3599999999999,9.0,819.3599999999999,10.0
14,Pittsburgh Steelers,313.0,5134.0,1036.0,5.0,40.0,14.0,302.0,280.0,532.0,3372.0,25.0,26.0,6.1,171.0,486.0,1762.0,9.0,3.6,101.0,93.0,806.0,30.0,,,182.88,767.2,627.2,487.2,202.2,18.0,24.0,24.0,23.0,5.0,1152.28,15.0,1012.28,15.0,872.28,14.0
15,Denver Broncos,323.0,5245.0,1041.0,5.0,28.0,12.0,303.0,270.0,448.0,3125.0,20.0,16.0,6.4,158.0,554.0,2120.0,10.0,3.8,125.0,101.0,850.0,20.0,,,173.0,702.5,567.5,432.5,248.0,15.0,10.0,10.0,10.0,13.0,1123.5,12.0,988.5,12.0,853.5,12.0
16,New England Patriots,325.0,4762.0,984.0,4.8,34.0,10.0,270.0,266.0,458.0,2886.0,28.0,24.0,5.7,141.0,482.0,1876.0,12.0,3.9,118.0,92.0,833.0,11.0,,,179.44,722.6,589.6,456.6,239.60000000000002,16.0,14.0,15.5,17.0,11.0,1141.64,14.0,1008.6400000000001,14.0,875.6400000000001,16.0
17,San Diego Chargers,327.0,4691.0,1057.0,4.4,38.0,18.0,284.0,300.0,519.0,2849.0,18.0,20.0,4.9,156.0,478.0,1842.0,18.0,3.9,101.0,104.0,880.0,27.0,,,145.95999999999998,692.9,542.9,392.9,256.2,7.0,9.0,8.0,6.0,15.0,1095.06,9.0,945.06,8.0,795.06,7.0
18,Kansas City Chiefs,336.0,5315.0,1096.0,4.8,43.0,15.0,328.0,278.0,523.0,3109.0,25.0,28.0,5.6,179.0,536.0,2206.0,17.0,4.1,136.0,82.0,617.0,13.0,,,168.36,738.9,599.9,460.9,292.6,12.0,18.0,19.0,19.0,19.0,1199.8600000000001,16.0,1060.8600000000001,17.0,921.86,18.0
19,Tampa Bay Buccaneers,341.0,5405.0,1088.0,5.0,28.0,13.0,313.0,328.0,516.0,3304.0,17.0,15.0,6.1,168.0,548.0,2101.0,20.0,3.8,126.0,117.0,1077.0,19.0,,,170.16,760.4,596.4,432.4,304.1,13.0,22.0,18.0,9.0,21.0,1234.6599999999999,22.0,1070.6599999999999,18.0,906.66,17.0
20,St. Louis Cardinals,350.0,5384.0,1116.0,4.8,34.0,14.0,311.0,287.0,531.0,3325.0,23.0,20.0,5.8,176.0,547.0,2059.0,17.0,3.8,115.0,101.0,919.0,20.0,,,185.0,757.5,614.0,470.5,279.9,21.0,21.0,21.0,20.0,17.0,1222.4,19.0,1078.9,19.0,935.4,19.0
21,Green Bay Packers,371.0,5782.0,1059.0,5.5,27.0,14.0,316.0,259.0,460.0,3383.0,19.0,13.0,6.8,166.0,565.0,2399.0,19.0,4.2,136.0,109.0,872.0,14.0,,,185.32,711.3,581.8,452.3,325.9,22.0,11.0,12.0,15.0,26.0,1222.52,20.0,1093.02,22.0,963.52,23.0
22,Baltimore Colts,387.0,5546.0,1080.0,5.1,34.0,17.0,338.0,260.0,476.0,3336.0,21.0,17.0,6.6,164.0,574.0,2210.0,20.0,3.9,140.0,98.0,775.0,34.0,,,183.44,719.6,589.6,459.6,307.0,19.0,13.0,15.5,18.0,22.0,1210.04,18.0,1080.04,20.0,950.04,20.0
23,New York Jets,395.0,5615.0,1080.0,5.2,32.0,9.0,348.0,337.0,544.0,3664.0,27.0,23.0,6.4,198.0,508.0,1951.0,20.0,3.8,127.0,90.0,872.0,23.0,,,208.56,865.4,696.9,528.4,297.1,26.0,27.0,27.0,27.0,20.0,1371.06,26.0,1202.56,26.0,1034.06,26.0
